,Intensity
0,0.16324668456398936
1,0.13818092232874532
2,0.11443729864235011
3,0.09228731426625351
4,0.0720048907169052
5,0.053852717253771415
6,0.03806906635700085
7,0.024855895543670372
8,0.014368970061610212
9,0.0067106145349153075
10,0.0019255394563216354
11,0.0
12,0.0008643409272590547
13,0.004398774213396201
14,0.010442037476174108
15,0.01880240289817056
16,0.029270358538554107
17,0.041632175434329226
18,0.055683511189049316
19,0.07124218774147817
20,0.08815931878462722
21,0.10632804906764666
22,0.1256892989665756
23,0.14623407611465722
24,0.1680021122461661
25,0.1910767967929778
26,0.21557659720892206
27,0.24164336714168658
28,0.2694281354008707
29,0.29907513015067905
30,0.33070491446367745
31,0.3643975840289311
32,0.40017700069305295
33,0.4379970047409011
34,0.47773046546090936
35,0.5191618975669583
36,0.5619841971474073
37,0.6057998440177839
38,0.6501266885677253
39,0.6944082025935573
40,0.7380278379889627
41,0.7803269172394441
42,0.8206252873678925
43,0.8582438148133873
44,0.8925276911919718
45,0.9228694650073692
46,0.9487307153637823
47,0.9696613407998094
48,0.9853155467220488
49,0.9954637729127439
50,1.0
51,0.9989441002730765
52,0.9924391418981913
53,0.9807438036217362
54,0.9642202963913016
55,0.9433184064127281
56,0.9185564595843667
57,0.8905001503712987
58,0.8597402716578564
59,0.8268704212853875
60,0.7924657441128322
61,0.757063696814576
62,0.7211477004735971
63,0.6851343802561154
64,0.649364891295366
65,0.6141006063962939
66,0.5795232065207081
67,0.5457389819652437
68,0.5127869332658833
69,0.4806500678520773
70,0.44926913153041337
71,0.4185579011484058
72,0.3884191019319101
73,0.35876000287437965
74,0.3295067861220252
75,0.3006168785725532
76,0.2720885701800819
77,0.24396741562699953
78,0.21634911403578358
79,0.18937877382999027
