,Intensity
0,0.14483978138029227
1,0.12755409447269553
2,0.10923314807088881
3,0.09031045556774622
4,0.07137234501163899
5,0.053125070317330596
6,0.03635474536623106
7,0.021882398665230476
8,0.010516712311760558
9,0.0030071311814603642
10,0.0
11,0.0020002091308910022
12,0.009340514608340582
13,0.02216026195573099
14,0.040394711137536676
15,0.06377556140664076
16,0.09184264331449377
17,0.12396611604403131
18,0.1593779166515618
19,0.19721068680921516
20,0.2365419813328669
21,0.27644126471687386
22,0.3160170437692969
23,0.35446147515173676
24,0.39108992679130833
25,0.42537325403989734
26,0.4569609594994239
27,0.48569391696718284
28,0.5116059265553704
29,0.5349139970684257
30,0.5559978881462463
31,0.5753700530091334
32,0.5936376688925277
33,0.6114588958560269
34,0.6294958401103002
35,0.6483668963628048
36,0.6686011935496997
37,0.6905977665238083
38,0.7145918280352087
39,0.740630134022803
40,0.768556941577365
41,0.7980114799401612
42,0.8284372223390764
43,0.8591025951302758
44,0.8891321265049729
45,0.9175464549575352
46,0.9433091200005091
47,0.9653776718700755
48,0.9827563846871942
49,0.9945477529085976
50,1.0
51,0.9985480287293096
52,0.9898455836267048
53,0.9737868595670587
54,0.9505163509420976
55,0.9204263629961514
56,0.8841422664137278
57,0.8424962321838846
58,0.7964908003180213
59,0.747254179503836
60,0.695989615575825
61,0.6439214807366205
62,0.5922409056870878
63,0.5420537940165918
64,0.4943339215584307
65,0.4498835405515874
66,0.4093034950001866
67,0.37297433236386157
68,0.3410492963120265
69,0.31345943870786636
70,0.28993043172010413
71,0.27001002899701493
72,0.2531045527387754
73,0.23852230248753398
74,0.2255214176764173
75,0.21335949910075272
76,0.2013422165884298
77,0.1888682051146264
78,0.175467774861558
79,0.16083331953049568
