Folder_Name,Name,Bulb/Sensor Distance (cm),Company Name,Manufactured in Country,Price/Unit,Bulb_Type,Labeled Wattage,Recorded Wattage,Recorded Current,Oscilloscope Resolution (Volts/Division),Lux (40cm),Notes:
eiko_cfl_13w,Eiko CFL 13W,30,Eiko,USA,4.19,CFL,13,10.7,0.2,0.2,462.84,
eiko_cfl_23w,Eiko CFL 23W,30,Eiko,USA,4.49,CFL,23,17.4,0.35,0.2,760.26,
eiko_cfl_32w,Eiko CFL 32W,30,Eiko,USA,5.49,CFL,32,24.7,0.5,0.2,1.02k,
eiko_halogen_72w,Eiko Halogen 72W,40,Eiko,USA,1.79,Halogen,72,69.7,0.6,0.2,1.13k,
eiko_halogen_150w,Eiko Halogen 150W,60,Eiko,USA,4.79,Halogen,150,139,1.13,0.2,889.99,
eiko_incandescent_100w,Eiko Incandescent 100W,50,Eiko,USA,2.99,Incandescent,100,87.7,0.75,0.2,656.43,
eiko_led_11w,Eiko LED 11W,40,Eiko,USA,4.09,LED,11,10.4,0.09,0.2,1.11k,
eiko_led_12w,Eiko LED 12W,40,Eiko,USA,11.39,LED,12,11.8,0.13,0.2,2.27k,
eiko_led_15w,Eiko LED 15W,40,Eiko,USA,6.79,LED,15,13.8,0.13,0.2,1.47k,
eiko_led_8w,Eiko LED 8W,40,Eiko,USA,3.39,LED,8,7.9,0.08,0.2,679.87,lux decays with time(?)
eiko_ledflood_8w,Eiko LED 8W (Flood),40,Eiko,USA,3.99,LED,8,7.8,0.09,0.2,1.47k,
ge_incandescent_60w,Ge Incandescent 60W,40,Ge,USA,6.7,Incandescent,60,51.2,0.43,0.2,239.62,
halco_cfl_15w,Halco CFL 15W,30,Halco,USA,4.99,CFL,15,11.4,0.23,0.2,542.63,ProLume
halco_cfl_23w,Halco CFL 23W,30,Halco,USA,3.99,CFL,23,17.4,0.34,0.2,N/A,broke the bulb
halco_cfl_32w,Halco CFL 32W,30,Halco,USA,5.99,CFL,32,25,0.5,0.2,1.04k,
halco_halogenxenon_39w,Halco Halogen_Xenon 39W,40,Halco,USA,7.99,Halogen_Xenon,39,37.4,0.31,0.2,10.17k,used paper diffuser; some halogens are brighter when looking at the side view
halco_incandescent_60w,Halco Incandescent 60W,40,Halco,USA,1.59,Incandescent,60,51,0.43,0.2,293.18,
halco_incandescent_75w,Halco Incandescent 75W,40,Halco,USA,3.89,Incandescent,75,65.7,0.56,0.2,404.67,
halco_incandescent_100w,Halco Incandescent 100W,40,Halco,USA,4.49,Incandescent,100,83.2,0.71,0.2,484.94,rubber on outsides can burn
halco_led_4w,Halco LED 4W,40,Halco,USA,10.99,LED,4,3.8,0.03,0.2,332.27,
halco_led_4p5w,Halco LED 4.5W,40,Halco,USA,7.09,LED,4.5,3.8,0.04,0.2,167.27,bulb uses lens to focus light(?)
halco_led_9p5w,Halco LED 9.5W,50,Halco,USA,10.09,LED,9.5,8.9,0.08,0.2,1.97k,lux decays with time(?)
halco_led_10w,Halco LED 10W,40,Halco,USA,17.99,LED,10,9.2,0.08,0.2,1.72k,
halco_led_16w,Halco LED 16W,50,Halco,USA,10.49,LED,16,14,0.13,0.2,1.41k,
kobielectric_led_7w,Kobi Electric LED 7W,30,Kobi Electric,USA,4.99,LED,7,6.6,0.06,0.2,234.72,
philips_cfl_9w,Phillips CFL 9W,30,Phillips,USA,4.99,CFL,9,7.3,0.14,0.2,352.39,
philips_cfl_13w,Phillips CFL 13W,30,Phillips,USA,5.49,CFL,13,10.6,0.2,0.2,538.8,
philips_cfl_26w,Philips CFL 26W,30,Philips,USA,5.99,CFL,26,18.8,0.39,0.2,934.25,
philips_halogen_39w,Phillips Halogen 39W,40,Phillips,USA,11.49,Halogen,39,37.2,0.31,0.2,6.43k,Used paper diffuser
philips_incandescent_200w,Phillips Incandescent 200W,50,Phillips,USA,N/A,Incandescent,200,187,1.54,0.2,844.29,
philips_halogenincandescent_72w,Phillips Incandescent 72W,40,Phillips,USA,3.3,Incandescent,72,69,0.59,0.2,1.15k,
philips_led_6p5w,Philips LED 6.5W,40,Philips,USA,4.99,LED,6.5,5.5,0.08,0.2,449.03,
