Time,Intensity,Voltage
0.00019,4.04471111,0.53801508
0.0002,4.06682166,0.53801508
0.00021,4.06682166,0.68876885
0.00022,4.02260056,0.73902011
0.00023,4.05074126,0.73902011
0.00024,4.05878146,0.73902011
0.00025,4.04873121,0.88977388
0.00026000000000000003,4.03868096,0.53801508
0.00027,4.01456036,0.78927137
0.00028,4.03466086,0.73902011
0.00029,4.07486187,0.73902011
0.0003,4.04270106,0.83952262
0.00031,4.04873121,0.83952262
0.00032,4.01858046,0.94002514
0.00033,4.03466086,0.94002514
0.00034,4.01858046,0.94002514
0.00035,4.01054026,0.94002514
0.00036,4.05074126,0.94002514
0.00037,4.01858046,0.99027639
0.00038,4.01858046,0.94002514
0.00039,4.02662066,1.14103016
0.0004,4.02662066,0.94002514
0.00041,4.01456036,1.14103016
0.00042,4.02662066,1.14103016
0.00043,4.01054026,1.29178393
0.00044,4.04270106,1.54304022
0.00045,4.04873121,1.34203519
0.00046,4.02662066,1.34203519
0.00047,4.01255031,1.49278896
0.00048,4.00250006,1.34203519
0.00049,4.00652016,1.54304022
0.0005,4.03868096,1.34203519
0.0005099999999999999,3.99847996,1.54304022
0.0005200000000000001,4.01054026,1.34203519
0.00053,4.04873121,1.54304022
0.00054,4.01858046,1.54304022
0.00055,4.02662066,1.59329147
0.00056,4.04270106,1.94505027
0.00057,4.00250006,1.7942965
0.00058,4.02260056,1.74404524
0.00059,4.04069101,1.7942965
0.0006,4.02662066,1.94505027
0.00061,4.00652016,1.74404524
0.00062,4.01054026,1.84454776
0.00063,4.00451011,1.94505027
0.00064,3.99445986,1.94505027
0.00065,4.04270106,1.99530153
0.00066,4.03064076,2.04555278
0.00067,4.03667091,2.19630655
0.0006799999999999999,4.02662066,2.1460553
0.0006900000000000001,4.00451011,2.19630655
0.0007,3.99847996,2.34706032
0.0007099999999999999,4.01858046,2.29680907
0.00072,4.00250006,2.34706032
0.00073,4.01054026,2.34706032
0.00074,3.98641966,2.34706032
0.00075,4.01456036,2.39731158
0.0007599999999999999,4.03466086,2.34706032
0.0007700000000000001,4.04069101,2.34706032
0.00078,4.01456036,2.54806535
0.00079,4.02461061,2.59831661
0.0008,3.99445986,2.54806535
0.00081,3.98641966,2.54806535
0.00082,3.99445986,2.64856786
0.0008300000000000001,3.99043976,2.59831661
0.00084,3.97033925,2.74907038
0.00085,4.01858046,2.79932163
0.00086,3.99847996,2.84957289
0.0008699999999999999,4.00451011,2.9500754
0.00088,4.02662066,2.9500754
0.0008900000000000002,4.01657041,2.89982415
0.0009,3.98239955,2.84957289
0.00091,3.99445986,3.00032666
0.00092,3.99445986,2.9500754
0.00093,3.99445986,3.10082917
0.00094,3.96631915,3.15108043
0.00095,3.9643091,3.15108043
0.00096,4.01054026,2.9500754
0.00097,4.00451011,3.3018342000000005
0.00098,3.99043976,3.15108043
0.00099,3.99445986,3.20133169
0.001,4.00250006,3.15108043
0.00101,3.98842971,3.40233671
0.00102,3.99043976,3.35208546
0.00103,3.97435935,3.35208546
0.00104,3.96229905,3.15108043
0.00105,3.98239955,3.55309048
0.00106,3.99445986,3.45258797
0.00107,3.97837945,3.40233671
0.00108,3.97033925,3.35208546
0.00109,3.98842971,3.60334174
0.0011,4.00250006,3.55309048
0.00111,3.99847996,3.60334174
0.00112,3.97033925,3.75409551
0.00113,3.99646991,3.70384425
0.00114,4.00250006,3.75409551
0.00115,3.98239955,3.70384425
0.00116,4.00250006,3.75409551
0.00117,3.98842971,3.80434677
0.00118,3.98641966,3.75409551
0.00119,3.9522488,4.15610556
0.0012,3.96229905,3.75409551
0.00121,3.98641966,3.95510054
0.00122,3.98239955,3.95510054
0.00123,3.96229905,4.00535179
0.00124,3.99445986,3.95510054
0.00125,3.97033925,3.95510054
0.00126,3.95425885,4.15610556
0.00127,3.9522488,4.15610556
0.00128,3.97837945,4.15610556
0.00129,3.97837945,4.15610556
0.0013,3.96631915,4.15610556
0.00131,3.9763694,4.35711059
0.00132,3.97837945,4.35711059
0.00133,3.96631915,4.35711059
0.00134,3.96631915,4.4576131
0.00135,3.9401885,4.30685933
0.00136,3.98641966,4.35711059
0.00137,3.9723493,4.35711059
0.0013800000000000002,3.93817845,4.35711059
0.00139,3.9723493,4.50786436
0.0014,3.95425885,4.35711059
0.00141,3.9442086000000014,4.35711059
0.0014199999999999998,3.92611815,4.4576131
0.00143,3.98440961,4.55811562
0.00144,3.94621865,4.55811562
0.00145,3.98641966,4.60836687
0.00146,3.96631915,4.4576131
0.00147,3.98641966,4.60836687
0.00148,3.93817845,4.96012567
0.00149,3.98440961,4.60836687
0.0015,3.96229905,4.65861813
0.00151,3.920088,4.70886939
0.00152,3.97033925,4.75912064
0.00153,3.96229905,4.8093719
0.00154,3.95425885,4.75912064
0.00155,3.9683292,4.96012567
0.00156,3.92209805,4.96012567
0.00157,3.97435935,4.90987441
0.00158,3.95023875,4.96012567
0.00159,3.9723493,4.90987441
0.0016,3.97033925,4.96012567
0.00161,3.94621865,5.11087944
0.00162,3.95023875,4.96012567
0.0016300000000000002,3.92611815,4.96012567
0.00164,3.93013825,4.96012567
0.00165,3.9361684,5.1611307
0.0016600000000000002,3.94621865,5.06062818
