Time (s),Bulb Response Voltage (V),Source Voltage (V)
0.00013000000000000002,4.01858046,0.33701006
0.00014,4.04270106,0.43751257
0.00015,4.02863071,0.38726131
0.00016,4.05074126,0.53801508
0.00016999999999999999,4.03064076,0.53801508
0.00018,4.02662066,0.33701006
0.00018999999999999998,3.99445986,0.38726131
0.0002,4.01054026,0.53801508
0.00021,4.01657041,0.68876885
0.00022,4.01456036,0.43751257
0.00022999999999999998,4.05074126,0.68876885
0.00023999999999999998,3.99445986,0.73902011
0.00025,3.99847996,0.73902011
0.00026000000000000003,4.03868096,0.6385175999999999
0.00027,4.01255031,0.83952262
0.00028,4.02662066,0.73902011
0.00029,4.01657041,0.94002514
0.0003,4.01456036,0.6385175999999999
0.00031,4.03667091,0.73902011
0.00032,4.01054026,0.94002514
0.00033,4.01858046,0.78927137
0.00033999999999999997,4.05878146,0.94002514
0.00035,4.01054026,0.94002514
0.00036,4.01858046,0.94002514
0.00037,4.04069101,0.99027639
0.00037999999999999997,4.02662066,1.04052765
0.00039,4.01858046,1.14103016
0.0004,4.04270106,1.14103016
0.00041,4.02461061,1.14103016
0.00042,4.01054026,1.34203519
0.00043,4.03466086,1.14103016
0.00044,4.02662066,1.14103016
0.00045,3.98842971,1.24153268
0.00045999999999999996,4.00652016,1.34203519
0.00047000000000000004,4.00652016,1.34203519
0.00047999999999999996,4.01858046,1.34203519
0.00049,4.00853021,1.49278896
0.0005,3.98641966,1.54304022
0.0005099999999999999,4.02059051,1.54304022
0.0005200000000000001,4.03466086,1.34203519
0.00053,3.99646991,1.54304022
0.00054,4.02260056,1.64354273
0.00055,4.00451011,1.69379399
0.00056,3.97033925,1.74404524
0.00057,4.03667091,1.89479901
0.00058,4.02662066,1.64354273
0.00059,4.02059051,1.69379399
0.0006,3.97837945,1.74404524
0.00061,4.02260056,1.74404524
0.00062,4.00250006,1.94505027
0.00063,3.98440961,1.94505027
0.00064,4.01858046,1.94505027
0.00065,4.00853021,1.99530153
0.00066,3.99445986,2.04555278
0.00067,4.00853021,2.1460553
0.0006799999999999999,4.01054026,2.1460553
0.0006900000000000001,4.02059051,2.19630655
0.0007,4.00652016,2.34706032
0.0007099999999999999,4.00451011,2.29680907
0.00072,3.97033925,2.1460553
0.00073,3.97033925,2.19630655
0.00074,3.96631915,2.34706032
0.00075,3.95827895,2.34706032
0.0007599999999999999,3.99445986,2.34706032
0.0007700000000000001,3.98239955,2.54806535
0.00078,4.01054026,2.64856786
0.00079,3.95827895,2.69881912
0.0008,3.95425885,2.54806535
0.00081,4.01858046,2.69881912
0.00082,3.99043976,2.64856786
0.0008300000000000001,3.9683292000000003,2.69881912
0.00084,3.97837945,2.74907038
0.00085,4.00451011,2.74907038
0.00086,3.98239955,2.74907038
0.0008699999999999999,3.98239955,2.9500754000000002
0.00088,4.00250006,2.9500754000000002
0.0008900000000000002,3.96229905,3.00032666
0.0009,3.98641966,3.05057792
0.00091,3.98440961,2.9500754000000002
0.0009199999999999999,3.97837945,2.9500754000000002
0.00093,3.99847996,3.10082917
0.0009400000000000001,3.99043976,3.05057792
0.00095,3.97837945,3.25158294
0.0009599999999999999,3.97033925,3.35208546
0.0009699999999999999,4.00049001,3.15108043
0.00098,3.99043976,3.15108043
0.00099,3.960289,3.20133169
0.001,3.95425885,3.15108043
0.00101,3.99445986,3.35208546
0.0010199999999999999,3.96229905,3.35208546
0.00103,3.95023875,3.35208546
0.0010400000000000001,3.94621865,3.55309048
