Time (s),Bulb Response Voltage (V),Source Voltage (V)
0.00013000000000000002,3.73655784,0.38726131
0.00014,3.72851764,0.43751257
0.00015,3.72851764,0.53801508
0.00016,3.72047744,0.53801508
0.00016999999999999999,3.72449754,0.38726131
0.00018,3.73655784,0.53801508
0.00018999999999999998,3.73253774,0.6385175999999999
0.0002,3.71243723,0.53801508
0.00021,3.71243723,0.53801508
0.00022,3.71645734,0.73902011
0.00022999999999999998,3.71243723,0.58826634
0.00023999999999999998,3.71243723,0.73902011
0.00025,3.71846739,0.73902011
0.00026000000000000003,3.71243723,0.73902011
0.00027,3.70841713,0.78927137
0.00028,3.71243723,0.73902011
0.00029,3.71444729,0.94002514
0.0003,3.71645734,0.94002514
0.00031,3.71042718,0.94002514
0.00032,3.70439703,0.94002514
0.00033,3.70439703,0.99027639
0.00033999999999999997,3.68831663,1.04052765
0.00035,3.68831663,1.09077891
0.00036,3.70439703,0.94002514
0.00037,3.69434678,0.99027639
0.00037999999999999997,3.68831663,1.04052765
0.00039,3.69032668,1.14103016
0.0004,3.69635683,1.14103016
0.00041,3.67223623,1.29178393
0.00042,3.70037693,1.24153268
0.00043,3.69635683,1.29178393
0.00044,3.67223623,1.34203519
0.00045,3.67223623,1.34203519
0.00045999999999999996,3.68027643,1.4425377000000001
0.00047000000000000004,3.66620608,1.49278896
0.00047999999999999996,3.66419603,1.54304022
0.00049,3.66620608,1.39228645
0.0005,3.67625633,1.54304022
0.0005099999999999999,3.66620608,1.69379399
0.0005200000000000001,3.67223623,1.54304022
0.00053,3.66419603,1.54304022
0.00054,3.66821613,1.84454776
0.00055,3.65816588,1.59329147
0.00056,3.64007543,1.74404524
0.00057,3.65615583,1.74404524
0.00058,3.66017593,1.64354273
0.00059,3.66218598,1.94505027
0.0006,3.67223623,1.74404524
0.00061,3.65213573,1.94505027
0.00062,3.64811563,2.04555278
0.00063,3.64610558,2.09580404
0.00064,3.64811563,2.1460553
0.00065,3.63806538,1.99530153
0.00066,3.63203523,2.1460553
0.00067,3.65012568,2.34706032
0.0006799999999999999,3.63203523,2.1460553
0.0006900000000000001,3.63203523,2.09580404
0.0007,3.65615583,2.34706032
0.0007099999999999999,3.64811563,2.24655781
0.00072,3.63203523,2.34706032
0.00073,3.63203523,2.54806535
0.00074,3.64007543,2.34706032
0.00075,3.64007543,2.39731158
0.0007599999999999999,3.61595482,2.54806535
0.0007700000000000001,3.61193472,2.39731158
0.00078,3.62801513,2.44756284
0.00079,3.63203523,2.54806535
0.0008,3.60791462,2.54806535
0.00081,3.62198497,2.54806535
0.00082,3.61193472,2.64856786
0.0008300000000000001,3.62600507,2.74907038
0.00084,3.61595482,2.74907038
0.00085,3.62600507,2.74907038
0.00086,3.60389452,2.74907038
0.0008699999999999999,3.61193472,2.74907038
0.00088,3.63203523,2.9500754000000002
0.0008900000000000002,3.60590457,2.89982415
0.0009,3.59585432,2.9500754000000002
0.00091,3.62198497,2.9500754000000002
0.0009199999999999999,3.60791462,2.9500754000000002
0.00093,3.60791462,3.00032666
0.0009400000000000001,3.59987442,3.15108043
0.00095,3.61595482,3.15108043
0.0009599999999999999,3.59987442,2.9500754000000002
0.0009699999999999999,3.59987442,3.15108043
0.00098,3.61193472,3.15108043
0.00099,3.59585432,3.15108043
0.001,3.58379402,3.35208546
0.00101,3.59987442,3.20133169
0.0010199999999999999,3.59987442,3.25158294
0.00103,3.58781412,3.35208546
0.0010400000000000001,3.59183422,3.35208546
0.00105,3.58982417,3.40233671
0.00106,3.59987442,3.45258797
0.00107,3.58580407,3.35208546
0.00108,3.59183422,3.55309048
0.00109,3.58580407,3.55309048
0.0011,3.57575382,3.45258797
0.0011099999999999999,3.57977392,3.90484928
0.00112,3.57575382,3.55309048
0.0011300000000000001,3.57575382,3.70384425
0.00114,3.57173372,3.653593
0.00115,3.55967342,3.75409551
0.00116,3.59183422,3.75409551
0.00117,3.57173372,3.80434677
0.00118,3.56369352,3.75409551
0.00119,3.56369352,3.75409551
0.0012,3.56771362,4.15610556
0.00121,3.57776387,3.95510054
0.00122,3.55163322,3.95510054
0.00123,3.56369352,4.00535179
0.00124,3.56771362,3.95510054
0.00125,3.55163322,3.75409551
0.00126,3.57977392,3.95510054
0.0012699999999999999,3.55565332,3.95510054
0.00128,3.55967342,4.15610556
0.0012900000000000001,3.57575382,4.00535179
0.0013,3.56771362,3.95510054
0.00131,3.57173372,4.15610556
0.00132,3.55163322,4.15610556
0.00133,3.57173372,4.15610556
0.00134,3.55967342,4.35711059
0.00135,3.56168347,4.15610556
0.0013599999999999999,3.54359302,4.35711059
0.00137,3.55967342,4.30685933
0.0013800000000000002,3.55565332,4.35711059
0.00139,3.54359302,4.35711059
0.0014,3.57575382,4.35711059
0.00141,3.55364327,4.55811562
0.0014199999999999998,3.55163322,4.35711059
0.00143,3.53756286,4.55811562
0.00144,3.55967342,4.35711059
0.00145,3.55163322,4.55811562
0.00146,3.53555281,4.55811562
0.00147,3.55364327,4.55811562
0.00148,3.55163322,4.55811562
0.00149,3.55364327,4.55811562
0.0015,3.53957292,4.55811562
0.00151,3.55364327,4.60836687
0.0015199999999999999,3.54359302,4.75912064
0.0015300000000000001,3.52952266,4.75912064
0.0015400000000000001,3.55565332,4.55811562
0.00155,3.53555281,4.75912064
0.00156,3.52751261,4.75912064
0.00157,3.52952266,4.65861813
0.00158,3.54761312,4.75912064
0.00159,3.53957292,4.90987441
0.0016,3.52751261,4.96012567
0.00161,3.53555281,4.96012567
0.00162,3.53555281,4.75912064
0.0016300000000000002,3.53957292,5.01037693
0.00164,3.52751261,4.96012567
0.00165,3.54560307,4.96012567
0.0016600000000000002,3.52349251,4.96012567
0.0016699999999999998,3.53756286,4.96012567
0.00168,3.53555281,4.96012567
0.0016899999999999999,3.52952266,5.01037693
0.0017,3.53153271,4.96012567
0.0017100000000000001,3.54962317,5.1611307
0.00172,3.53555281,5.1611307
0.00173,3.52550256,5.1611307
0.0017399999999999998,3.53153271,5.06062818
0.00175,3.55364327,5.01037693
0.00176,3.51143221,5.1611307
0.0017699999999999999,3.52349251,5.01037693
0.0017800000000000001,3.51143221,5.1611307
0.00179,3.53756286,5.1611307
0.0018,3.53555281,5.36213572
0.0018100000000000002,3.51746236,5.1611307
0.00182,3.53153271,5.26163321
0.00183,3.52952266,5.21138195
0.0018399999999999998,3.52751261,5.36213572
0.00185,3.52148246,5.51288949
0.00186,3.52751261,5.36213572
0.00187,3.52349251,5.56314075
0.0018800000000000002,3.51947241,5.36213572
0.0018899999999999998,3.53957292,5.61339201
0.0019,3.52751261,5.56314075
0.0019100000000000002,3.50741211,5.76414578
0.0019199999999999998,3.52751261,5.56314075
0.00193,3.51947241,5.61339201
0.0019399999999999999,3.51545231,5.76414578
0.00195,3.52148246,5.76414578
0.00196,3.52751261,5.76414578
0.00197,3.52550256,5.61339201
0.00198,3.51545231,5.86464829
0.00199,3.50942216,5.61339201
0.002,3.51947241,5.76414578
0.00201,3.51746236,5.81439703
0.00202,3.51143221,5.86464829
0.00203,3.54359302,5.81439703
0.0020399999999999997,3.52751261,5.76414578
0.00205,3.53153271,5.81439703
0.00206,3.50741211,5.86464829
0.00207,3.51545231,5.9651508
0.0020800000000000003,3.51947241,5.9651508
0.00209,3.49937191,5.9651508
0.0021,3.52349251,5.9651508
0.0021100000000000003,3.52550256,6.26665834
0.00212,3.51143221,6.16615583
0.00213,3.53957292,6.16615583
0.00214,3.52349251,6.06565332
0.00215,3.52751261,6.11590457
0.00216,3.51947241,6.16615583
0.00217,3.53957292,6.16615583
0.00218,3.51947241,6.26665834
0.0021899999999999997,3.50942216,6.36716086
0.0022,3.50339201,6.16615583
0.00221,3.51947241,6.21640709
0.0022199999999999998,3.52751261,6.36716086
0.00223,3.51344226,6.51791463
0.00224,3.52751261,6.56816588
0.00225,3.51746236,6.51791463
0.0022600000000000003,3.51143221,6.46766337
0.00227,3.50741211,6.51791463
0.00228,3.51143221,6.56816588
0.00229,3.51344226,6.56816588
0.0023,3.51947241,6.56816588
0.00231,3.53555281,6.61841714
0.00232,3.51143221,6.76917091
0.00233,3.50741211,6.71891965
0.00234,3.51545231,6.76917091
0.00235,3.52148246,6.56816588
0.00236,3.51143221,6.76917091
0.00237,3.52550256,6.76917091
0.00238,3.51545231,6.76917091
0.0023899999999999998,3.51344226,6.86967342
0.0024,3.52751261,6.76917091
0.0024100000000000002,3.52550256,6.86967342
0.00242,3.52751261,6.76917091
0.00243,3.53153271,6.76917091
0.00244,3.51143221,6.97017594
0.00245,3.53555281,6.91992468
0.00246,3.53153271,7.07067845
0.00247,3.53153271,6.91992468
0.00248,3.52751261,7.17118096
0.00249,3.53153271,7.17118096
0.0025,3.53957292,7.07067845
0.00251,3.52148246,7.17118096
0.00252,3.52751261,7.17118096
0.00253,3.52550256,7.07067845
0.0025399999999999997,3.52349251,7.17118096
0.00255,3.52550256,7.27168348
0.00256,3.54359302,7.17118096
0.00257,3.53957292,7.22143222
0.0025800000000000003,3.52751261,7.27168348
0.00259,3.54359302,7.22143222
0.0026,3.54359302,7.37218599
0.0026100000000000003,3.53756286,7.42243725
0.00262,3.52349251,7.4726884999999985
0.00263,3.55565332,7.37218599
0.00264,3.54359302,7.37218599
0.00265,3.52751261,7.37218599
0.00266,3.54761312,7.37218599
0.00267,3.55163322,7.52293976
0.00268,3.53555281,7.37218599
0.0026899999999999997,3.52550256,7.57319102
0.0027,3.55565332,7.4726884999999985
0.00271,3.54761312,7.52293976
0.0027199999999999998,3.52751261,7.57319102
0.0027300000000000002,3.54962317,7.52293976
0.00274,3.55565332,7.57319102
0.00275,3.54560307,7.57319102
0.0027600000000000003,3.54359302,7.77419604
0.00277,3.55766337,7.57319102
0.00278,3.54359302,7.67369353
0.00279,3.54761312,7.77419604
0.0028,3.55163322,7.77419604
0.00281,3.55565332,7.57319102
0.00282,3.55565332,7.67369353
0.00283,3.55565332,7.62344227
0.0028399999999999996,3.55967342,7.77419604
0.00285,3.54359302,7.77419604
0.00286,3.55163322,7.87469856
0.0028699999999999997,3.56168347,7.8244473
0.00288,3.57575382,7.77419604
0.0028899999999999998,3.55163322,7.77419604
0.0029,3.57173372,7.87469856
0.0029100000000000003,3.57374377,7.92494981
0.00292,3.57575382,7.77419604
0.00293,3.56369352,7.97520107
0.00294,3.56771362,7.87469856
0.00295,3.55967342,8.12595484
0.00296,3.57575382,8.1762061
0.00297,3.55364327,7.97520107
0.00298,3.56771362,7.87469856
0.00299,3.56570357,7.8244473
0.003,3.57575382,7.77419604
0.00301,3.57977392,7.97520107
0.00302,3.58379402,7.87469856
0.00303,3.57575382,7.97520107
0.0030399999999999997,3.56771362,7.97520107
0.00305,3.58982417,7.97520107
0.0030600000000000002,3.58781412,7.97520107
0.00307,3.57977392,7.8244473
0.0030800000000000003,3.59987442,8.1762061
0.00309,3.59384427,7.97520107
0.0031,3.58379402,8.07570358
0.0031100000000000004,3.60188447,7.97520107
0.00312,3.58379402,8.1762061
0.00313,3.57977392,8.1762061
0.00314,3.58379402,7.97520107
0.00315,3.59585432,7.97520107
0.00316,3.58379402,8.1762061
0.00317,3.60188447,7.97520107
0.00318,3.61193472,8.07570358
0.0031899999999999997,3.60590457,8.02545233
0.0032,3.58379402,8.1762061
0.00321,3.60590457,8.02545233
0.00322,3.60389452,8.1762061
0.00323,3.61193472,8.1762061
0.00324,3.59183422,8.37721112
0.00325,3.61394477,8.1762061
0.0032600000000000003,3.60389452,8.1762061
0.0032700000000000003,3.60791462,8.22645735
0.00328,3.60791462,8.1762061
0.00329,3.61796487,8.1762061
0.0033,3.61997492,8.27670861
0.00331,3.61997492,8.1762061
0.0033200000000000005,3.61595482,8.37721112
0.0033299999999999996,3.61997492,8.22645735
0.0033399999999999997,3.61595482,8.1762061
0.00335,3.60389452,8.1762061
0.00336,3.63203523,8.1762061
0.00337,3.61997492,8.1762061
0.0033799999999999998,3.61997492,8.37721112
0.00339,3.62399502,8.1762061
0.0034,3.64007543,8.1762061
0.0034100000000000003,3.63203523,8.37721112
0.0034200000000000003,3.63203523,8.1762061
0.00343,3.63806538,8.1762061
0.00344,3.64811563,8.1762061
0.00345,3.64007543,8.02545233
0.00346,3.65615583,8.27670861
0.0034700000000000004,3.64007543,8.37721112
0.0034799999999999996,3.63203523,8.37721112
0.00349,3.64409553,8.37721112
0.0035,3.64811563,8.1762061
0.00351,3.63806538,8.42746238
0.00352,3.63203523,8.1762061
0.0035299999999999997,3.67223623,8.52796489
0.0035399999999999997,3.66419603,8.47771364
0.00355,3.64610558,8.42746238
0.0035600000000000002,3.64811563,8.37721112
0.0035700000000000007,3.66821613,8.37721112
0.00358,3.66017593,8.27670861
0.00359,3.65816588,8.42746238
0.0036,3.64007543,8.37721112
0.00361,3.66218598,8.52796489
