Time (s),Bulb Response Voltage (V),Source Voltage (V)
0.00011,3.50358035,0.2867588
0.00011999999999999999,3.53574116,0.53801508
0.00013000000000000002,3.52770096,0.38726131
0.00014,3.51966076,0.53801508
0.00015,3.5015703,0.53801508
0.00016,3.53574116,0.53801508
0.00016999999999999999,3.5096105000000004,0.53801508
0.00018,3.52368086,0.53801508
0.00018999999999999998,3.4895099999999997,0.53801508
0.0002,3.49554015,0.53801508
0.00021,3.51162056,0.53801508
0.00022,3.49956025,0.6385175999999999
0.00022999999999999998,3.51966076,0.73902011
0.00023999999999999998,3.51162056,0.53801508
0.00025,3.5096105000000004,0.58826634
0.00026000000000000003,3.51162056,0.73902011
0.00027,3.48347985,0.73902011
0.00028,3.50358035,0.73902011
0.00029,3.48749995,0.88977388
0.0003,3.47945975,0.94002514
0.00031,3.49152005,0.88977388
0.00032,3.49554015,0.73902011
0.00033,3.49152005,1.09077891
0.00033999999999999997,3.49554015,0.94002514
0.00035,3.49554015,1.09077891
0.00036,3.46337935,0.94002514
0.00037,3.49956025,1.14103016
0.00037999999999999997,3.49956025,1.04052765
0.00039,3.4694095000000003,1.29178393
0.0004,3.45533915,1.14103016
0.00041,3.47141955,1.14103016
0.00042,3.47141955,1.14103016
0.00043,3.46739945,1.19128142
0.00044,3.45533915,1.34203519
0.00045,3.4734296000000002,1.29178393
0.00045999999999999996,3.48347985,1.34203519
0.00047000000000000004,3.4854898999999997,1.34203519
0.00047999999999999996,3.48749995,1.54304022
0.00049,3.4814697999999997,1.54304022
0.0005,3.46739945,1.54304022
0.0005099999999999999,3.48749995,1.4425377000000001
0.0005200000000000001,3.47141955,1.74404524
0.00053,3.47543965,1.4425377000000001
0.00054,3.48347985,1.64354273
0.00055,3.45935925,1.54304022
0.00056,3.47945975,1.74404524
0.00057,3.46337935,1.59329147
0.00058,3.46337935,1.84454776
0.00059,3.4734296000000002,1.89479901
0.0006,3.43925875,1.94505027
0.00061,3.4694095000000003,1.94505027
0.00062,3.47141955,1.94505027
0.00063,3.4613693,1.94505027
0.00064,3.47141955,1.94505027
0.00065,3.4452888999999995,2.1460553
0.00066,3.43925875,2.1460553
0.00067,3.4412687999999996,2.1460553
0.0006799999999999999,3.42317834,2.1460553
0.0006900000000000001,3.4372487,2.34706032
0.0007,3.45131905,2.24655781
0.0007099999999999999,3.43121855,2.34706032
0.00072,3.42317834,2.34706032
0.00073,3.4493089999999995,2.34706032
0.00074,3.44729895,2.44756284
0.00075,3.45533915,2.39731158
0.0007599999999999999,3.45533915,2.34706032
0.0007700000000000001,3.4452888999999995,2.54806535
0.00078,3.45935925,2.54806535
0.00079,3.4332286,2.69881912
0.0008,3.43121855,2.54806535
0.00081,3.4613693,2.59831661
0.00082,3.43523865,2.64856786
0.0008300000000000001,3.43121855,2.69881912
0.00084,3.42317834,2.74907038
0.00085,3.4292085,2.89982415
0.00086,3.42719845,2.84957289
0.0008699999999999999,3.43925875,2.74907038
0.00088,3.41513814,2.9500754000000002
0.0008900000000000002,3.43523865,3.05057792
0.0009,3.42317834,2.9500754000000002
0.00091,3.40910799,3.15108043
0.0009199999999999999,3.44729895,2.9500754000000002
0.00093,3.43925875,3.10082917
0.0009400000000000001,3.42719845,3.15108043
0.00095,3.43925875,3.15108043
0.0009599999999999999,3.43925875,3.35208546
0.0009699999999999999,3.41915824,3.10082917
0.00098,3.41513814,3.25158294
0.00099,3.40910799,3.20133169
0.001,3.43121855,3.35208546
0.00101,3.4332286,3.35208546
0.0010199999999999999,3.42317834,3.35208546
0.00103,3.41111804,3.50283923
0.0010400000000000001,3.40709794,3.35208546
0.00105,3.41312809,3.40233671
0.00106,3.41915824,3.45258797
0.00107,3.39302759,3.50283923
0.00108,3.39101754,3.35208546
0.00109,3.41714819,3.35208546
0.0011,3.39905774,3.55309048
0.0011099999999999999,3.43121855,3.653593
0.00112,3.40709794,3.55309048
0.0011300000000000001,3.42317834,3.70384425
0.00114,3.40709794,3.75409551
0.00115,3.41513814,3.80434677
0.00116,3.39905774,3.75409551
0.00117,3.41714819,3.75409551
0.00118,3.41915824,3.75409551
0.00119,3.37493714,3.95510054
0.0012,3.39101754,3.95510054
0.00121,3.40709794,4.00535179
0.00122,3.40307784,3.95510054
0.00123,3.41312809,3.95510054
0.00124,3.41513814,4.15610556
0.00125,3.40709794,3.95510054
0.00126,3.39905774,4.05560305
0.0012699999999999999,3.39302759,4.00535179
0.00128,3.41513814,3.95510054
0.0012900000000000001,3.39503764,4.15610556
0.0013,3.38297734,4.05560305
