Time,Intensity,Voltage
0.00011,2.47633174,0.33701006
0.00012,2.47432169,0.33701006
0.00013000000000000002,2.47834179,0.38726131
0.00014,2.47030159,0.43751257
0.00015,2.44819104,0.38726131
0.00016,2.46628149,0.53801508
0.00017,2.44417094,0.43751257
0.00018,2.45422119,0.53801508
0.00019,2.46427144,0.53801508
0.0002,2.45020109,0.73902011
0.00021,2.46427144,0.58826634
0.00022,2.45422119,0.73902011
0.00023,2.45422119,0.73902011
0.00024,2.41000009,0.94002514
0.00025,2.42206039,0.73902011
0.00026000000000000003,2.43010059,0.6385175999999999
0.00027,2.40195988,0.88977388
0.00028,2.42608049,0.73902011
0.00029,2.43211064,0.94002514
0.0003,2.42206039,1.14103016
0.00031,2.41402019,0.94002514
0.00032,2.39391968,0.94002514
0.00033,2.39391968,0.88977388
0.00034,2.39391968,1.14103016
0.00035,2.38587948,0.99027639
0.00036,2.41804029,1.14103016
0.00037,2.38587948,1.19128142
0.00038,2.38185938,1.14103016
0.00039,2.38989958,1.14103016
0.0004,2.39391968,1.14103016
0.00041,2.38788953,1.14103016
0.00042,2.39793978,1.24153268
0.00043,2.38587948,1.19128142
0.00044,2.39391968,1.34203519
0.00045,2.37984933,1.34203519
0.00046,2.36577898,1.54304022
0.00047,2.37381918,1.49278896
0.00048,2.34567848,1.54304022
0.00049,2.33763828,1.69379399
0.0005,2.34969858,1.64354273
0.0005099999999999999,2.33964833,1.64354273
0.0005200000000000001,2.36979908,1.54304022
0.00053,2.36376893,1.69379399
0.00054,2.35371868,1.64354273
0.00055,2.34768853,1.74404524
0.00056,2.32959808,1.94505027
0.00057,2.34366843,1.74404524
0.00058,2.34165838,1.84454776
0.00059,2.34165838,1.84454776
0.0006,2.32959808,2.34706032
0.00061,2.32758803,1.99530153
0.00062,2.32557798,2.24655781
0.00063,2.34567848,1.99530153
0.00064,2.33763828,2.1460553
0.00065,2.32959808,2.29680907
0.00066,2.30547747,2.1460553
0.00067,2.31753778,2.19630655
0.0006799999999999999,2.28939707,2.1460553
0.0006900000000000001,2.30346742,2.34706032
0.0007,2.30145737,2.44756284
0.0007099999999999999,2.28738702,2.29680907
0.00072,2.33763828,2.54806535
0.00073,2.28738702,2.54806535
0.00074,2.30547747,2.44756284
0.00075,2.28336692,2.54806535
0.0007599999999999999,2.26527647,2.54806535
0.0007700000000000001,2.25924632,2.54806535
0.00078,2.27733677,2.74907038
0.00079,2.27130662,2.74907038
0.0008,2.28135687,2.54806535
0.00081,2.28135687,2.89982415
0.00082,2.24115587,2.74907038
0.0008300000000000001,2.28135687,2.9500754
0.00084,2.24919607,2.9500754
0.00085,2.25723627,2.79932163
0.00086,2.24919607,3.05057792
0.0008699999999999999,2.27130662,3.10082917
0.00088,2.26527647,2.9500754
0.0008900000000000002,2.23914582,2.9500754
0.0009,2.24919607,3.05057792
0.00091,2.22507546,3.15108043
0.00092,2.23311567,2.9500754
0.00093,2.22306541,3.00032666
0.00094,2.26929657,3.25158294
0.00095,2.23311567,3.20133169
0.00096,2.25723627,3.15108043
0.00097,2.24718602,3.3018342000000005
0.00098,2.22507546,3.25158294
0.00099,2.24718602,3.35208546
0.001,2.21703526,3.35208546
0.00101,2.22708551,3.40233671
0.00102,2.22507546,3.35208546
0.00103,2.22105536,3.55309048
0.00104,2.20095486,3.55309048
0.00105,2.23713577,3.50283923
0.00106,2.21703526,3.653593
0.00107,2.23110562,3.70384425
0.00108,2.23311567,3.75409551
0.00109,2.22306541,3.75409551
0.0011,2.22105536,3.653593
0.00111,2.22909557,3.75409551
0.00112,2.18487446,3.75409551
0.00113,2.19291466,3.75409551
0.00114,2.18889456,3.85459802
0.00115,2.18085436,3.80434677
0.00116,2.21703526,3.95510054
0.00117,2.21502521,4.10585431
0.00118,2.20497496,3.95510054
0.00119,2.20296491,4.00535179
0.0012,2.20095486,3.95510054
0.00121,2.19492471,3.95510054
0.00122,2.18085436,4.05560305
0.00123,2.20296491,4.10585431
0.00124,2.17683426,4.15610556
0.00125,2.17683426,4.10585431
0.00126,2.21703526,4.15610556
0.00127,2.18889456,4.15610556
0.00128,2.16075386,4.15610556
0.00129,2.16879406,4.15610556
0.0013,2.18889456,4.25660808
0.00131,2.17884431,4.20635682
0.00132,2.19291466,4.15610556
0.00133,2.16276391,4.35711059
0.00134,2.16879406,4.4576131
0.00135,2.17281416,4.40736185
0.00136,2.17683426,4.55811562
0.00137,2.16879406,4.35711059
0.0013800000000000002,2.17683426,4.35711059
0.00139,2.15874381,4.50786436
0.0014,2.15271366,4.75912064
0.00141,2.16879406,4.35711059
0.0014199999999999998,2.15271366,4.55811562
0.00143,2.15874381,4.55811562
0.00144,2.15271366,4.55811562
0.00145,2.15271366,4.70886939
0.00146,2.18085436,4.85962316
0.00147,2.16879406,4.75912064
0.00148,2.15271366,4.75912064
0.00149,2.16276391,4.96012567
0.0015,2.14869356,4.85962316
0.00151,2.17281416,4.75912064
0.00152,2.16879406,4.96012567
0.00153,2.14266341,4.85962316
0.00154,2.13261315,4.85962316
0.00155,2.15874381,4.96012567
0.00156,2.12859305,4.96012567
0.00157,2.16075386,4.90987441
0.00158,2.17281416,4.96012567
0.00159,2.1386433,5.01037693
0.0016,2.16879406,5.1611307
0.00161,2.14467346,5.31188447
0.00162,2.15271366,5.1611307
0.0016300000000000002,2.15271366,5.1611307
0.00164,2.16075386,5.1611307
0.00165,2.126583,5.1611307
0.0016600000000000002,2.14467346,5.1611307
0.0016699999999999998,2.1346232000000005,5.1611307
0.00168,2.12055285,5.36213572
0.00169,2.16879406,5.1611307
0.0017,2.13663325,5.1611307
0.00171,2.15673376,5.36213572
0.00172,2.14467346,5.36213572
0.00173,2.1306031,5.21138195
0.0017399999999999998,2.14065336,5.36213572
0.00175,2.12859305,5.66364326
0.00176,2.13663325,5.36213572
0.00177,2.1306031,5.56314075
0.00178,2.15673376,5.36213572
0.00179,2.16678401,5.51288949
0.0018,2.15271366,5.56314075
0.00181,2.1386433,5.41238698
0.00182,2.13261315,5.66364326
0.00183,2.15472371,5.71389452
0.00184,2.16075386,5.56314075
0.00185,2.1346232000000005,5.56314075
0.00186,2.14065336,5.66364326
0.00187,2.15673376,5.81439703
0.00188,2.15271366,5.56314075
0.00189,2.13261315,6.01540206
0.0019,2.14869356,5.76414578
0.00191,2.16678401,5.71389452
0.00192,2.12859305,5.9651508
0.00193,2.126583,6.11590457
0.00194,2.12859305,5.76414578
0.00195,2.1225629,5.9651508
0.00196,2.15271366,5.9651508
0.00197,2.13261315,5.9651508
0.00198,2.12457295,6.06565332
0.00199,2.12457295,5.9651508
0.002,2.15271366,6.16615583
0.00201,2.13261315,6.11590457
0.00202,2.15271366,6.16615583
0.00203,2.15070361,6.01540206
0.00204,2.12859305,6.16615583
0.00205,2.12859305,6.11590457
0.00206,2.15673376,6.16615583
0.00207,2.14467346,6.16615583
0.0020800000000000003,2.12859305,6.36716086
0.00209,2.1306031,6.36716086
0.0021,2.12457295,6.26665834
0.0021100000000000003,2.15874381,6.21640709
0.00212,2.16879406,6.36716086
0.00213,2.14668351,6.36716086
0.00214,2.16477396,6.36716086
0.00215,2.17884431,6.36716086
0.00216,2.14467346,6.36716086
0.00217,2.14869356,6.51791463
0.00218,2.14065336,6.46766337
0.00219,2.16276391,6.6686684000000005
0.0022,2.13663325,6.56816588
0.00221,2.15673376,6.61841714
0.00222,2.16879406,6.6686684000000005
0.00223,2.18487446,6.61841714
0.00224,2.16879406,6.56816588
0.00225,2.15472371,6.71891965
0.0022600000000000003,2.16879406,6.6686684000000005
0.00227,2.16879406,6.71891965
0.00228,2.16075386,7.17118096
0.00229,2.15271366,6.76917091
0.0023,2.16477396,6.97017594
0.00231,2.19291466,6.76917091
0.00232,2.17683426,6.97017594
0.00233,2.19090461,7.02042719
0.00234,2.18085436,6.97017594
0.00235,2.18688451,7.12092971
0.00236,2.18487446,6.97017594
0.00237,2.18487446,7.07067845
0.00238,2.19291466,7.17118096
0.00239,2.18889456,7.22143222
0.0024,2.18487446,7.17118096
0.00241,2.19291466,7.17118096
0.00242,2.19693476,7.27168348
0.00243,2.20698501,7.32193473
0.00244,2.16879406,6.97017594
0.00245,2.20095486,7.37218599
0.00246,2.20095486,7.27168348
0.00247,2.20899506,7.22143222
0.00248,2.21703526,7.37218599
0.00249,2.20899506,7.32193473
0.0025,2.22105536,7.37218599
0.00251,2.21703526,7.37218599
0.00252,2.24115587,7.37218599
0.00253,2.20497496,7.42243725
0.00254,2.20497496,7.4726884999999985
0.00255,2.22909557,7.42243725
0.00256,2.25723627,7.57319102
0.00257,2.25321617,7.57319102
0.0025800000000000003,2.24517597,7.4726884999999985
0.00259,2.24718602,7.62344227
0.0026,2.22507546,7.57319102
0.0026100000000000003,2.23713577,7.57319102
0.00262,2.24115587,7.67369353
0.00263,2.24919607,7.42243725
0.00264,2.25723627,7.77419604
0.00265,2.25723627,7.72394479
0.00266,2.26929657,7.87469856
0.00267,2.25522622,7.62344227
0.00268,2.26527647,7.77419604
0.00269,2.25723627,7.77419604
0.0027,2.24115587,7.77419604
0.00271,2.27331667,7.8244473
0.00272,2.26527647,7.77419604
0.00273,2.25723627,7.77419604
0.00274,2.27733677,7.87469856
0.00275,2.29743727,8.07570358
0.0027600000000000003,2.28939707,7.97520107
0.00277,2.27733677,7.8244473
0.00278,2.29341717,8.07570358
0.00279,2.30346742,7.97520107
0.0028,2.31351767,7.97520107
0.00281,2.31351767,7.97520107
0.00282,2.30949757,7.97520107
0.00283,2.34366843,8.1762061
0.00284,2.32959808,7.97520107
0.00285,2.32959808,8.1762061
0.00286,2.33361818,8.1762061
0.00287,2.32758803,7.97520107
0.00288,2.32155788,7.97520107
0.00289,2.32356793,8.1762061
0.0029,2.32155788,8.27670861
0.0029100000000000003,2.32758803,8.27670861
0.00292,2.33763828,8.1762061
0.00293,2.33160813,8.32695987
0.00294,2.34567848,8.27670861
0.00295,2.35170863,8.32695987
0.00296,2.35371868,8.1762061
0.00297,2.36175888,8.32695987
0.00298,2.36577898,8.37721112
0.00299,2.36778903,8.1762061
0.003,2.35371868,8.1762061
0.00301,2.37180913,8.47771364
0.00302,2.38587948,8.37721112
0.00303,2.39994983,8.1762061
0.00304,2.36979908,8.37721112
0.00305,2.37381918,8.22645735
0.00306,2.38989958,8.37721112
0.00307,2.38386943,8.37721112
0.0030800000000000003,2.37783928,8.37721112
0.00309,2.38989958,8.52796489
0.0031,2.41804029,8.37721112
0.0031100000000000004,2.41402019,8.52796489
0.00312,2.41804029,8.37721112
0.00313,2.40396994,8.37721112
0.00314,2.43412069,8.37721112
0.00315,2.39994983,8.32695987
0.00316,2.42608049,8.37721112
0.00317,2.42809054,8.42746238
0.00318,2.41000009,8.37721112
0.00319,2.42407044,8.47771364
0.0032,2.45824129,8.37721112
0.00321,2.44216089,8.57821615
0.00322,2.43814079,8.47771364
0.00323,2.46628149,8.72896992
0.00324,2.43412069,8.57821615
0.00325,2.46025134,8.52796489
0.0032600000000000003,2.46628149,8.57821615
0.0032700000000000003,2.44216089,8.57821615
0.00328,2.46628149,8.77922118
0.00329,2.47633174,8.42746238
0.0033,2.47834179,8.57821615
0.00331,2.48839204,8.57821615
0.0033200000000000005,2.5064825,8.37721112
0.00333,2.50849255,8.42746238
0.00334,2.4944222000000003,8.57821615
0.00335,2.5064825,8.42746238
0.00336,2.5145227,8.57821615
0.00337,2.48236189,8.57821615
0.00338,2.5145227,8.47771364
0.00339,2.48236189,8.57821615
0.0034,2.5145227,8.57821615
0.0034100000000000003,2.5145227,8.62846741
0.0034200000000000003,2.5064825,8.57821615
0.00343,2.52859305,8.67871866
0.00344,2.5145227,8.77922118
0.00345,2.50849255,8.57821615
0.00346,2.5185428,8.67871866
0.0034700000000000004,2.50849255,8.57821615
0.00348,2.5386433,8.57821615
0.00349,2.54065335,8.67871866
0.0035,2.5466835,8.57821615
0.00351,2.55271365,8.62846741
0.00352,2.57884431,8.77922118
0.00353,2.5547237000000003,8.62846741
0.00354,2.5708041,8.77922118
0.00355,2.57281415,8.72896992
0.00356,2.5627639,8.77922118
0.0035700000000000007,2.5507036,8.92997495
0.00358,2.566784,8.67871866
0.00359,2.57683425,8.77922118
0.0036,2.5708041,8.57821615
0.00361,2.59291466,8.92997495
0.00362,2.58286441,8.77922118
0.00363,2.59291466,8.72896992
0.00364,2.61100511,8.77922118
0.00365,2.57884431,8.92997495
0.00366,2.60296491,8.57821615
0.00367,2.60698501,8.77922118
0.00368,2.62708551,8.77922118
0.00369,2.61703526,8.77922118
0.0037,2.63914581,8.77922118
0.00371,2.61703526,8.980226199999997
0.00372,2.61904531,8.77922118
0.00373,2.61502521,8.62846741
0.00374,2.62708551,8.87972369
0.00375,2.62909556,8.77922118
0.00376,2.65924631,8.980226199999997
0.00377,2.63311566,8.77922118
0.00378,2.66326641,8.87972369
0.00379,2.66929657,8.72896992
0.0038,2.65924631,8.77922118
0.00381,2.65723626,8.92997495
0.003820000000000001,2.64316591,8.77922118
0.00383,2.68738702,8.77922118
0.00384,2.69944732,8.77922118
0.00385,2.66326641,8.980226199999997
0.00386,2.65522621,8.77922118
0.00387,2.68939707,8.67871866
0.00388,2.71552772,8.77922118
0.00389,2.69743727,8.92997495
0.0039,2.69140712,8.77922118
0.00391,2.68939707,8.77922118
0.00392,2.68336692,8.980226199999997
0.00393,2.68537697,8.92997495
0.00394,2.70346742,8.87972369
0.00395,2.69341717,8.92997495
0.00396,2.68336692,8.980226199999997
0.00397,2.72758802,8.92997495
0.00398,2.73160812,8.77922118
0.00399,2.72155787,8.82947243
0.004,2.73160812,8.77922118
0.0040100000000000005,2.74165837,8.92997495
0.00402,2.72356792,8.77922118
0.00403,2.73964832,8.77922118
0.00404,2.71552772,8.77922118
0.00405,2.72758802,8.82947243
0.00406,2.72356792,8.87972369
0.004070000000000001,2.76376893,8.77922118
0.004079999999999999,2.77180913,8.980226199999997
0.00409,2.75572873,8.77922118
0.0041,2.75170862,8.87972369
0.00411,2.75170862,8.77922118
0.00412,2.76376893,8.77922118
0.00413,2.75371868,8.92997495
0.00414,2.78788953,8.77922118
0.00415,2.76979908,8.77922118
0.0041600000000000005,2.77984933,8.980226199999997
0.00417,2.79793978,8.77922118
0.00418,2.77984933,8.67871866
0.00419,2.78587948,8.980226199999997
0.0042,2.81201013,8.77922118
0.00421,2.79793978,8.980226199999997
0.004220000000000001,2.79994983,8.87972369
0.004229999999999999,2.79793978,8.82947243
0.00424,2.79592973,8.77922118
0.00425,2.81402018,8.77922118
0.00426,2.81201013,8.980226199999997
0.00427,2.80597998,8.77922118
