Time (s),Bulb Response Voltage (V),Source Voltage (V)
0.0001,2.86311554,0.33701006
0.00011,2.88924619,0.48776383
0.00012,2.83899494,0.33701006
0.00013000000000000002,2.86311554,0.33701006
0.00014,2.85909544,0.43751257
0.00015,2.85708539,0.38726131
0.00016,2.82291454,0.53801508
0.00017,2.85105524,0.68876885
0.00018,2.82291454,0.53801508
0.00019,2.82291454,0.53801508
0.0002,2.83095474,0.33701006
0.00021,2.81286429,0.38726131
0.00022,2.84703514,0.73902011
0.00023,2.83095474,0.53801508
0.00024,2.81487434,0.73902011
0.00025,2.83497484,0.53801508
0.00026000000000000003,2.80281403,0.6385175999999999
0.00027,2.80482408,0.78927137
0.00028,2.80683414,0.73902011
0.00029,2.81688439,0.58826634
0.0003,2.79075373,0.83952262
0.00031,2.80884419,0.88977388
0.00032,2.78271353,0.73902011
0.00033,2.81889444,0.88977388
0.00034,2.77869343,0.94002514
0.00035,2.78070348,1.09077891
0.00036,2.78271353,0.94002514
0.00037,2.77467333,0.94002514
0.00038,2.77869343,1.14103016
0.00039,2.79879393,1.14103016
0.0004,2.78271353,1.14103016
0.00041,2.77869343,1.29178393
0.00042,2.76261303,1.24153268
0.00043,2.76261303,1.34203519
0.00044,2.76663313,1.34203519
0.00045,2.77668338,1.34203519
0.00046,2.76261303,1.24153268
0.00047,2.73447233,1.54304022
0.00048,2.74251253,1.54304022
0.00049,2.74452258,1.49278896
0.0005,2.77065323,1.54304022
0.0005099999999999999,2.74452258,1.39228645
0.0005200000000000001,2.75055273,1.54304022
0.00053,2.73447233,1.59329147
0.00054,2.73447233,1.74404524
0.00055,2.71839193,1.59329147
0.00056,2.75055273,1.74404524
0.00057,2.73648238,1.69379399
0.00058,2.72241203,1.74404524
0.00059,2.73045223,1.7942965
0.0006,2.73447233,1.94505027
0.00061,2.71437182,1.94505027
0.00062,2.73045223,2.04555278
0.00063,2.70432157,2.09580404
0.00064,2.74251253,2.1460553
0.00065,2.70231152,2.1460553
0.00066,2.70231152,2.04555278
