Time,Intensity,Voltage
0.00011,1.95051512,0.2867588
0.00012,1.97061562,0.33701006
0.00013000000000000002,1.95654527,0.38726131
0.00014,1.96659552,0.33701006
0.00015,1.95855532,0.6385175999999999
0.00016,1.94649502,0.33701006
0.00017,1.94448496,0.48776383
0.00018,1.93845481,0.53801508
0.00019,1.95252517,0.53801508
0.0002,1.94649502,0.53801508
0.00021,1.94046486,0.58826634
0.00022,1.93845481,0.53801508
0.00023,1.92639451,0.58826634
0.00024,1.93041461,0.73902011
0.00025,1.94046486,0.68876885
0.00026000000000000003,1.93041461,0.73902011
0.00027,1.93644476,0.68876885
0.00028,1.92237441,0.73902011
0.00029,1.92639451,0.68876885
0.0003,1.92237441,0.83952262
0.00031,1.90227391,0.88977388
0.00032,1.92237441,0.73902011
0.00033,1.91232416,0.78927137
0.00034,1.89825381,0.94002514
0.00035,1.90830406,0.99027639
0.00036,1.90629401,0.94002514
0.00037,1.89825381,1.24153268
0.00038,1.90629401,1.04052765
0.00039,1.90428396,1.14103016
0.0004,1.89021361,1.14103016
0.00041,1.89222366,1.29178393
0.00042,1.88619351,1.14103016
0.00043,1.88016336,1.14103016
0.00044,1.87413321,1.34203519
0.00045,1.88418346,1.19128142
0.00046,1.88619351,1.34203519
0.00047,1.87815331,1.34203519
0.00048,1.87413321,1.54304022
0.00049,1.88619351,1.49278896
0.0005,1.86609301,1.34203519
0.0005099999999999999,1.86408296,1.54304022
0.0005200000000000001,1.86609301,1.54304022
0.00053,1.85805281,1.54304022
0.00054,1.86207291,1.54304022
0.00055,1.8540327,1.54304022
0.00056,1.88217341,1.54304022
0.00057,1.86006286,1.74404524
0.00058,1.8540327,1.74404524
0.00059,1.85202265,1.74404524
0.0006,1.8419724,2.1460553
0.00061,1.83594225,1.99530153
0.00062,1.8379523,1.84454776
0.00063,1.83996235,2.1460553
0.00064,1.8419724,2.1460553
0.00065,1.83996235,2.1460553
0.00066,1.8218719,2.1460553
0.00067,1.84800255,1.99530153
0.0006799999999999999,1.825892,2.34706032
0.0006900000000000001,1.8339322,2.1460553
0.0007,1.8379523,2.24655781
0.0007099999999999999,1.8218719,2.34706032
0.00072,1.8178518,2.34706032
0.00073,1.81584175,2.19630655
0.00074,1.825892,2.54806535
0.00075,1.81584175,2.54806535
0.0007599999999999999,1.8098116,2.34706032
0.0007700000000000001,1.80378145,2.54806535
0.00078,1.8178518,2.44756284
0.00079,1.825892,2.54806535
0.0008,1.8017714,2.54806535
0.00081,1.81584175,2.54806535
0.00082,1.8098116,2.64856786
0.0008300000000000001,1.79172115,2.74907038
0.00084,1.7937312,2.9500754
0.00085,1.78770105,2.74907038
0.00086,1.785691,2.84957289
0.0008699999999999999,1.7937312,2.9500754
0.00088,1.7937312,2.9500754
0.0008900000000000002,1.8138317,3.00032666
0.0009,1.7897111,2.9500754
0.00091,1.78368095,2.9500754
0.00092,1.76961059,3.15108043
0.00093,1.76961059,3.10082917
0.00094,1.7776508000000002,3.15108043
0.00095,1.7776508000000002,2.9500754
0.00096,1.76961059,3.15108043
0.00097,1.7776508000000002,3.15108043
0.00098,1.75755029,3.25158294
0.00099,1.75755029,3.50283923
0.001,1.785691,3.35208546
0.00101,1.76961059,3.50283923
0.00102,1.75755029,3.45258797
0.00103,1.76358044,3.45258797
0.00104,1.75353019,3.35208546
0.00105,1.75554024,3.55309048
0.00106,1.74548999,3.55309048
0.00107,1.75956034,3.50283923
0.00108,1.73744979,3.75409551
0.00109,1.74548999,3.60334174
0.0011,1.74146989,3.653593
0.00111,1.75152014,3.55309048
0.00112,1.73744979,3.95510054
0.00113,1.75152014,3.75409551
0.00114,1.73342969,3.95510054
0.00115,1.72538949,4.10585431
0.00116,1.72940959,3.75409551
0.00117,1.71935934,3.95510054
0.00118,1.71734929,3.85459802
0.00119,1.72538949,3.90484928
0.0012,1.72136939,3.95510054
0.00121,1.74146989,3.80434677
0.00122,1.72136939,3.95510054
0.00123,1.71734929,3.95510054
0.00124,1.72940959,4.15610556
0.00125,1.71332919,4.10585431
0.00126,1.70528899,4.25660808
0.00127,1.70126889,4.15610556
