Time (s),Bulb Response Voltage (V),Source Voltage (V)
0.0001,1.95051512,0.13600503
0.00011,1.95453522,0.33701006
0.00012,1.98669602,0.33701006
0.00013000000000000002,1.93041461,0.33701006
0.00014,1.94247491,0.33701006
0.00015,1.94448496,0.33701006
0.00016,1.92237441,0.33701006
0.00017,1.94448496,0.53801508
0.00018,1.93845481,0.53801508
0.00019,1.94046486,0.38726131
0.0002,1.90629401,0.33701006
0.00021,1.94649502,0.68876885
0.00022,1.91835431,0.73902011
0.00023,1.92639451,0.68876885
0.00024,1.91433421,0.53801508
0.00025,1.89825381,0.6385175999999999
0.00026000000000000003,1.92237441,0.73902011
0.00027,1.90629401,0.68876885
0.00028,1.89825381,0.53801508
0.00029,1.90629401,0.88977388
0.0003,1.88619351,0.94002514
0.00031,1.89624376,0.58826634
0.00032,1.89825381,0.94002514
0.00033,1.88820356,0.94002514
0.00034,1.89825381,0.94002514
0.00035,1.89222366,0.88977388
0.00036,1.87413321,1.14103016
0.00037,1.89423371,1.14103016
0.00038,1.87815331,1.04052765
0.00039,1.86609301,1.14103016
0.0004,1.86609301,1.14103016
0.00041,1.88619351,1.34203519
0.00042,1.87413321,1.24153268
0.00043,1.86006286,1.19128142
0.00044,1.88217341,1.14103016
0.00045,1.87815331,1.34203519
0.00046,1.87413321,1.34203519
0.00047,1.8540327,1.54304022
0.00048,1.88217341,1.34203519
0.00049,1.86810306,1.49278896
0.0005,1.86207291,1.34203519
0.0005099999999999999,1.85604275,1.39228645
0.0005200000000000001,1.87413321,1.34203519
0.00053,1.8500126,1.59329147
0.00054,1.8540327,1.64354273
0.00055,1.8379523,1.74404524
0.00056,1.87413321,1.54304022
0.00057,1.83996235,1.59329147
0.00058,1.8379523,1.84454776
0.00059,1.8500126,1.94505027
0.0006,1.8339322,1.94505027
0.00061,1.83996235,1.74404524
0.00062,1.8379523,1.94505027
0.00063,1.83594225,1.7942965
0.00064,1.825892,1.94505027
0.00065,1.8178518,2.09580404
0.00066,1.8339322,2.24655781
