Time (s),Bulb Response Voltage (V),Source Voltage (V)
0.0001,3.24506275,0.13600503
0.00011,3.2470728,0.18625629
0.00012,3.25310295,0.13600503
0.00013000000000000002,3.21893209,0.48776383
0.00014,3.22496224,0.33701006
0.00015,3.255113,0.53801508
0.00016,3.21290194,0.33701006
0.00017,3.22898234,0.38726131
0.00018,3.23702255,0.53801508
0.00019,3.23702255,0.53801508
0.0002,3.24506275,0.53801508
0.00021,3.23099239,0.38726131
0.00022,3.21290194,0.53801508
0.00023,3.22295219,0.58826634
0.00024,3.22898234,0.53801508
0.00025,3.19079139,0.68876885
0.00026000000000000003,3.22094214,0.73902011
0.00027,3.23099239,0.73902011
0.00028,3.18074114,0.53801508
0.00029,3.23501249,0.73902011
0.0003,3.20888184,0.6385175999999999
0.00031,3.22898234,0.73902011
0.00032,3.22094214,0.73902011
0.00033,3.20084164,0.73902011
0.00034,3.19682154,0.73902011
0.00035,3.20888184,0.88977388
0.00036,3.20486174,0.94002514
0.00037,3.22898234,1.09077891
0.00038,3.20486174,0.94002514
0.00039,3.20084164,0.99027639
0.0004,3.18074114,0.94002514
0.00041,3.19079139,1.14103016
0.00042,3.20486174,1.14103016
0.00043,3.20084164,1.14103016
0.00044,3.17270094,1.14103016
0.00045,3.19280144,1.29178393
0.00046,3.18878134,1.34203519
0.00047,3.17270094,1.34203519
0.00048,3.18878134,1.34203519
0.00049,3.19481149,1.39228645
0.0005,3.16466074,1.34203519
0.0005099999999999999,3.16868084,1.54304022
0.0005200000000000001,3.16466074,1.54304022
0.00053,3.16868084,1.59329147
0.00054,3.18476124,1.54304022
0.00055,3.17471099,1.54304022
0.00056,3.18878134,1.34203519
0.00057,3.16667079,1.54304022
0.00058,3.16466074,1.64354273
0.00059,3.18074114,1.84454776
0.0006,3.18878134,1.74404524
0.00061,3.16466074,1.94505027
0.00062,3.17672104,1.84454776
0.00063,3.15662054,1.84454776
0.00064,3.16466074,1.94505027
0.00065,3.16265069,1.7942965
0.00066,3.14054013,1.94505027
0.00067,3.14456023,2.1460553
0.0006799999999999999,3.15662054,1.94505027
0.0006900000000000001,3.15059039,2.1460553
0.0007,3.16064064,2.1460553
0.0007099999999999999,3.15662054,2.1460553
0.00072,3.14054013,2.34706032
0.00073,3.13853008,2.29680907
0.00074,3.14456023,2.1460553
0.00075,3.14858034,2.39731158
0.0007599999999999999,3.13249993,2.34706032
0.0007700000000000001,3.12445973,2.49781409
0.00078,3.14858034,2.44756284
0.00079,3.13652003,2.54806535
0.0008,3.15662054,2.54806535
0.00081,3.14858034,2.54806535
0.00082,3.13652003,2.64856786
0.0008300000000000001,3.11842958,2.69881912
0.00084,3.12445973,2.74907038
0.00085,3.12847983,2.74907038
0.00086,3.12847983,2.74907038
0.0008699999999999999,3.14255018,2.89982415
0.00088,3.14054013,2.9500754
0.0008900000000000002,3.13450998,2.9500754
0.0009,3.12043963,2.84957289
0.00091,3.12445973,3.00032666
0.00092,3.16466074,2.9500754
0.00093,3.11641953,3.10082917
0.00094,3.10033913,3.15108043
0.00095,3.14657028,3.15108043
0.00096,3.14054013,3.15108043
0.00097,3.12244968,3.15108043
0.00098,3.14054013,3.35208546
0.00099,3.13249993,3.35208546
0.001,3.08425873,3.15108043
0.00101,3.13048988,3.20133169
0.00102,3.10435923,3.25158294
0.00103,3.13048988,3.35208546
0.00104,3.09229893,3.35208546
0.00105,3.11641953,3.35208546
0.00106,3.14054013,3.35208546
0.00107,3.12244968,3.55309048
0.00108,3.12445973,3.55309048
0.00109,3.12646978,3.60334174
0.0011,3.11239943,3.75409551
0.00111,3.10435923,3.55309048
0.00112,3.13249993,3.55309048
0.00113,3.10234918,3.55309048
0.00114,3.09229893,3.85459802
0.00115,3.09229893,3.75409551
0.00116,3.08425873,3.75409551
0.00117,3.08626878,3.70384425
0.00118,3.09631903,3.75409551
0.00119,3.09631903,3.75409551
0.0012,3.09229893,3.95510054
0.00121,3.10636928,3.95510054
0.00122,3.10033913,3.95510054
0.00123,3.09832908,3.90484928
0.00124,3.10837933,3.75409551
0.00125,3.08224868,4.10585431
0.00126,3.11239943,3.95510054
0.00127,3.07018838,4.15610556
0.00128,3.07621853,4.15610556
0.00129,3.09028888,4.10585431
0.0013,3.08023863,4.05560305
0.00131,3.09028888,4.15610556
0.00132,3.06817833,4.15610556
0.00133,3.08425873,4.15610556
0.00134,3.09229893,4.25660808
0.00135,3.07822858,4.35711059
0.00136,3.06013812,4.35711059
0.00137,3.10234918,4.35711059
0.0013800000000000002,3.08425873,4.35711059
0.00139,3.05611802,4.35711059
0.0014,3.08425873,4.55811562
0.00141,3.06616828,4.35711059
0.0014199999999999998,3.06817833,4.55811562
0.00143,3.07018838,4.40736185
0.00144,3.07621853,4.55811562
0.00145,3.05611802,4.75912064
0.00146,3.09229893,4.4576131
0.00147,3.05812807,4.55811562
0.00148,3.06817833,4.55811562
0.00149,3.06415823,4.60836687
0.0015,3.07219843,4.65861813
0.00151,3.05209792,4.60836687
0.00152,3.07621853,4.75912064
0.00153,3.06616828,4.75912064
0.00154,3.09631903,4.75912064
0.00155,3.07621853,4.60836687
0.00156,3.08425873,4.55811562
0.00157,3.06415823,4.75912064
0.00158,3.05611802,4.85962316
0.00159,3.07420848,4.8093719
0.0016,3.08425873,4.96012567
0.00161,3.05008787,4.96012567
0.00162,3.06013812,5.06062818
0.0016300000000000002,3.05611802,4.96012567
0.00164,3.04405772,5.1611307
0.00165,3.09028888,5.1611307
0.0016600000000000002,3.06415823,5.1611307
0.0016699999999999998,3.07018838,5.31188447
0.00168,3.07621853,5.36213572
0.00169,3.06817833,5.11087944
0.0017,3.05611802,5.1611307
0.00171,3.06013812,5.01037693
0.00172,3.04405772,5.1611307
0.00173,3.06013812,5.1611307
0.0017399999999999998,3.06013812,5.26163321
0.00175,3.07018838,5.36213572
0.00176,3.06817833,5.1611307
0.00177,3.07219843,5.36213572
0.00178,3.04807782,5.26163321
0.00179,3.04807782,5.36213572
0.0018,3.06817833,5.56314075
0.00181,3.03601752,5.36213572
0.00182,3.05209792,5.36213572
0.00183,3.04606777,5.36213572
0.00184,3.02797732,5.36213572
0.00185,3.07219843,5.61339201
0.00186,3.06013812,5.46263824
0.00187,3.04405772,5.76414578
0.00188,3.07621853,5.76414578
0.00189,3.06817833,5.71389452
0.0019,3.04807782,5.86464829
0.00191,3.07621853,5.61339201
0.00192,3.06817833,5.76414578
0.00193,3.03802757,5.61339201
0.00194,3.06415823,5.86464829
0.00195,3.04204767,5.91489955
0.00196,3.05209792,5.76414578
0.00197,3.06214818,5.91489955
0.00198,3.04003762,5.9651508
0.00199,3.07621853,6.01540206
0.002,3.03601752,5.9651508
0.00201,3.04606777,5.9651508
0.00202,3.05611802,6.06565332
0.00203,3.04405772,5.9651508
0.00204,3.05209792,5.9651508
0.00205,3.06415823,6.01540206
0.00206,3.05209792,6.06565332
0.00207,3.04807782,6.21640709
0.0020800000000000003,3.06013812,6.36716086
0.00209,3.02998737,6.06565332
0.0021,3.03199742,6.16615583
0.0021100000000000003,3.05410797,6.3169096
0.00212,3.02797732,6.16615583
0.00213,3.06415823,6.16615583
0.00214,3.04405772,6.16615583
0.00215,3.01993712,6.3169096
0.00216,3.06817833,6.36716086
0.00217,3.03400747,6.36716086
0.00218,3.02797732,6.36716086
0.00219,3.04405772,6.51791463
0.0022,3.06013812,6.36716086
0.00221,3.01993712,6.41741211
0.00222,3.05209792,6.46766337
0.00223,3.03199742,6.51791463
0.00224,3.04405772,6.56816588
0.00225,3.03199742,6.61841714
0.0022600000000000003,3.01993712,6.6686684000000005
0.00227,3.03400747,6.56816588
0.00228,3.06013812,6.76917091
0.00229,3.03400747,6.71891965
0.0023,3.05209792,6.76917091
0.00231,3.04204767,6.76917091
0.00232,3.06013812,6.76917091
0.00233,3.07219843,6.81942217
0.00234,3.04807782,6.86967342
0.00235,3.04606777,6.81942217
0.00236,3.06817833,6.97017594
0.00237,3.05410797,7.02042719
0.00238,3.05209792,6.97017594
0.00239,3.07018838,7.12092971
0.0024,3.06013812,6.97017594
0.00241,3.02797732,7.17118096
0.00242,3.03601752,7.17118096
0.00243,3.03601752,6.97017594
0.00244,3.04405772,7.17118096
0.00245,3.04003762,7.02042719
0.00246,3.04003762,7.17118096
0.00247,3.07621853,7.17118096
0.00248,3.04405772,7.37218599
0.00249,3.02797732,7.17118096
0.0025,3.04003762,7.17118096
0.00251,3.06817833,7.37218599
0.00252,3.02797732,7.37218599
0.00253,3.07018838,7.22143222
0.00254,3.05209792,7.27168348
0.00255,3.05812807,7.42243725
0.00256,3.05209792,7.17118096
0.00257,3.06817833,7.52293976
0.0025800000000000003,3.05611802,7.57319102
0.00259,3.04807782,7.67369353
0.0026,3.06817833,7.57319102
0.0026100000000000003,3.07219843,7.37218599
0.00262,3.05611802,7.57319102
0.00263,3.04606777,7.57319102
0.00264,3.07621853,7.77419604
0.00265,3.07219843,7.37218599
0.00266,3.03199742,7.67369353
0.00267,3.05410797,7.62344227
0.00268,3.04405772,7.77419604
0.00269,3.07420848,7.72394479
0.0027,3.07219843,7.77419604
0.00271,3.06817833,7.72394479
0.00272,3.06013812,7.77419604
0.00273,3.06214818,7.77419604
0.00274,3.05611802,7.67369353
0.00275,3.06214818,7.97520107
0.0027600000000000003,3.06013812,7.77419604
0.00277,3.04405772,7.77419604
0.00278,3.08827883,7.77419604
0.00279,3.05008787,7.97520107
0.0028,3.06013812,7.97520107
0.00281,3.07822858,7.92494981
0.00282,3.07219843,7.97520107
0.00283,3.07822858,7.8244473
0.00284,3.06817833,8.1762061
0.00285,3.06817833,8.12595484
0.00286,3.05209792,8.07570358
0.00287,3.08023863,8.12595484
0.00288,3.05209792,7.97520107
0.00289,3.08827883,8.02545233
0.0029,3.07621853,7.97520107
0.0029100000000000003,3.07420848,8.1762061
0.00292,3.09229893,8.1762061
0.00293,3.08224868,8.12595484
0.00294,3.06415823,8.1762061
0.00295,3.08023863,8.1762061
0.00296,3.08425873,8.1762061
0.00297,3.08425873,8.1762061
0.00298,3.08425873,8.27670861
0.00299,3.08023863,8.1762061
0.003,3.06817833,8.1762061
0.00301,3.08023863,8.1762061
0.00302,3.08425873,8.27670861
0.00303,3.09832908,8.22645735
