Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,4.09192228,0.18625629
0.0001,4.09192228,0.23650754
0.00011,4.11403283,0.33701006
0.00011999999999999999,4.04770118,0.33701006
0.00013000000000000002,4.05574138,0.33701006
0.00014,4.05976148,0.23650754
0.00015,4.11805293,0.33701006
0.00016,4.08790218,0.33701006
0.00016999999999999999,4.06780168,0.53801508
0.00018,4.07584188,0.73902011
0.00018999999999999998,4.08187203,0.68876885
0.0002,4.09594238,0.73902011
0.00021,4.08187203,0.53801508
0.00022,4.09996248,0.53801508
0.00022999999999999998,4.06780168,0.58826634
0.00023999999999999998,4.08790218,0.73902011
0.00025,4.06579163,0.68876885
0.00026000000000000003,4.07584188,0.73902011
0.00027,4.09795243,0.73902011
0.00028,4.08790218,0.73902011
0.00029,4.06378158,0.83952262
0.0003,4.04770118,0.83952262
0.00031,4.08589213,0.94002514
0.00032,4.03162077,0.94002514
0.00033,4.07785193,0.78927137
0.00033999999999999997,4.06780168,1.04052765
0.00035,4.07785193,0.94002514
0.00036,4.03966098,0.73902011
0.00037,4.09192228,0.99027639
0.00037999999999999997,4.06780168,1.04052765
0.00039,4.05574138,1.14103016
0.0004,4.06378158,1.14103016
0.00041,4.08589213,1.09077891
0.00042,4.03564087,1.14103016
0.00043,4.05976148,1.14103016
0.00044,4.07986198,1.34203519
0.00045,4.03564087,1.34203519
0.00045999999999999996,4.05976148,1.4425377000000001
0.00047000000000000004,4.02157052,1.34203519
0.00047999999999999996,4.09594238,1.14103016
0.00049,4.04971123,1.49278896
0.0005,4.03966098,1.4425377000000001
0.0005099999999999999,4.06579163,1.54304022
0.0005200000000000001,4.07986198,1.54304022
0.00053,4.04368108,1.54304022
0.00054,4.02760067,1.64354273
0.00055,4.06981173,1.69379399
0.00056,4.03162077,1.54304022
0.00057,4.04569113,1.84454776
0.00058,4.02760067,1.74404524
0.00059,4.08790218,1.74404524
0.0006,4.08790218,1.94505027
0.00061,4.04770118,1.89479901
0.00062,4.05172128,1.94505027
0.00063,4.06579163,1.94505027
0.00064,4.03966098,2.1460553
0.00065,4.05373133,2.09580404
0.00066,4.02760067,2.1460553
0.00067,4.01755042,2.1460553
0.0006799999999999999,4.03162077,2.1460553
0.0006900000000000001,4.05574138,2.19630655
0.0007,4.05172128,2.24655781
0.0007099999999999999,4.05775143,2.19630655
0.00072,4.05574138,2.34706032
0.00073,4.05976148,2.19630655
0.00074,4.01554037,2.34706032
0.00075,4.00951022,2.34706032
0.0007599999999999999,4.05574138,2.54806535
0.0007700000000000001,4.06378158,2.39731158
0.00078,4.01152027,2.64856786
0.00079,4.00147002,2.54806535
0.0008,3.99945997,2.54806535
0.00081,4.03564087,2.69881912
0.00082,4.05574138,2.64856786
0.0008300000000000001,4.07383183,2.74907038
0.00084,4.03966098,2.9500754000000002
0.00085,4.05574138,2.74907038
0.00086,4.01554037,2.74907038
0.0008699999999999999,4.03363082,2.74907038
0.00088,4.05574138,2.74907038
0.0008900000000000002,4.04368108,2.79932163
0.0009,4.02760067,2.84957289
0.00091,4.04770118,3.15108043
0.0009199999999999999,4.01554037,2.9500754000000002
0.00093,4.00951022,3.00032666
0.0009400000000000001,4.03162077,3.15108043
0.00095,4.01755042,3.15108043
0.0009599999999999999,3.99945997,2.9500754000000002
0.0009699999999999999,3.99744992,3.15108043
0.00098,3.99945997,3.35208546
0.00099,4.01152027,3.20133169
0.001,3.99945997,3.35208546
0.00101,4.00348007,3.3018342000000005
0.0010199999999999999,4.03564087,3.35208546
0.00103,4.04368108,3.40233671
0.0010400000000000001,3.99945997,3.35208546
0.00105,4.01152027,3.35208546
0.00106,4.02358057,3.45258797
0.00107,4.03765093,3.60334174
0.00108,3.99141977,3.35208546
0.00109,4.02760067,3.40233671
0.0011,3.99141977,3.653593
0.0011099999999999999,4.03966098,3.70384425
0.00112,4.02358057,3.55309048
0.0011300000000000001,4.02157052,3.75409551
0.00114,3.99945997,3.653593
0.00115,4.00348007,3.95510054
0.00116,3.99141977,3.75409551
0.00117,4.00147002,3.95510054
0.00118,3.99543987,3.95510054
0.00119,3.98337957,3.95510054
0.0012,4.03162077,3.95510054
0.00121,4.01956047,3.95510054
0.00122,3.98739967,4.05560305
0.00123,4.01353032,4.10585431
0.00124,4.00750017,4.15610556
0.00125,4.00750017,4.00535179
0.00126,4.00750017,3.95510054
0.0012699999999999999,4.03162077,3.95510054
0.00128,3.98337957,4.15610556
0.0012900000000000001,4.00549012,4.00535179
0.0013,3.98337957,4.15610556
