Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,2.23744969,0.13600503
0.0001,2.24749994,0.23650754
0.00011,2.25554014,0.33701006
0.00011999999999999999,2.25554014,0.33701006
0.00013000000000000002,2.24347984,0.38726131
0.00014,2.24347984,0.43751257
0.00015,2.24749994,0.53801508
0.00016,2.24749994,0.33701006
0.00016999999999999999,2.24146979,0.53801508
0.00018,2.23945974,0.53801508
0.00018999999999999998,2.23945974,0.58826634
0.0002,2.22337934,0.53801508
0.00021,2.24548989,0.73902011
0.00022,2.22337934,0.6385175999999999
0.00022999999999999998,2.22136929,0.53801508
0.00023999999999999998,2.22337934,0.33701006
0.00025,2.21533914,0.68876885
0.00026000000000000003,2.21935924,0.83952262
0.00027,2.23342959,0.58826634
0.00028,2.23945974,0.73902011
0.00029,2.22739944,0.68876885
0.0003,2.21131904,0.94002514
0.00031,2.20126879,0.73902011
0.00032,2.20729894,0.94002514
0.00033,2.21734919,0.94002514
0.00033999999999999997,2.21131904,0.83952262
0.00035,2.22136929,1.09077891
0.00036,2.19925874,1.14103016
0.00037,2.19925874,1.09077891
0.00037999999999999997,2.20327884,1.14103016
0.00039,2.20729894,1.09077891
0.0004,2.19925874,1.14103016
0.00041,2.20930899,1.19128142
0.00042,2.19925874,1.34203519
0.00043,2.20327884,1.14103016
0.00044,2.20729894,1.14103016
0.00045,2.18719844,1.34203519
0.00045999999999999996,2.19925874,1.4425377000000001
0.00047000000000000004,2.18317834,1.39228645
0.00047999999999999996,2.19925874,1.34203519
0.00049,2.18317834,1.39228645
0.0005,2.17915823,1.34203519
0.0005099999999999999,2.17513813,1.54304022
0.0005200000000000001,2.19121854,1.34203519
0.00053,2.17714818,1.54304022
0.00054,2.18317834,1.54304022
0.00055,2.17312808,1.84454776
0.00056,2.17513813,1.54304022
0.00057,2.17312808,1.69379399
0.00058,2.19121854,1.74404524
0.00059,2.18719844,1.74404524
0.0006,2.17513813,1.94505027
0.00061,2.18518839,1.89479901
0.00062,2.17513813,2.04555278
0.00063,2.18719844,1.99530153
0.00064,2.19925874,1.74404524
0.00065,2.17513813,2.1460553
0.00066,2.19121854,2.1460553
0.00067,2.18719844,2.1460553
0.0006799999999999999,2.17513813,2.1460553
0.0006900000000000001,2.18116829,2.19630655
0.0007,2.17513813,2.24655781
0.0007099999999999999,2.18317834,2.1460553
0.00072,2.15905773,2.1460553
0.00073,2.18116829,2.34706032
0.00074,2.15101753,2.34706032
0.00075,2.16307783,2.34706032
0.0007599999999999999,2.15905773,2.1460553
0.0007700000000000001,2.16307783,2.39731158
0.00078,2.16307783,2.54806535
0.00079,2.15905773,2.39731158
0.0008,2.16709793,2.74907038
0.00081,2.16508788,2.49781409
0.00082,2.14699743,2.64856786
0.0008300000000000001,2.14699743,2.54806535
0.00084,2.15905773,2.74907038
0.00085,2.16307783,2.74907038
