Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,1.66273873,0.18625629
0.0001,1.64665833,0.23650754
0.00011,1.66474878,0.33701006
0.00011999999999999999,1.63459802,0.33701006
0.00013000000000000002,1.67077893,0.33701006
0.00014,1.64263823,0.53801508
0.00015,1.66273873,0.33701006
0.00016,1.61851762,0.33701006
0.00016999999999999999,1.65670858,0.38726131
0.00018,1.63057792,0.53801508
0.00018999999999999998,1.62856787,0.53801508
0.0002,1.65067843,0.53801508
0.00021,1.61047742,0.53801508
0.00022,1.63057792,0.6385175999999999
0.00022999999999999998,1.61047742,0.53801508
0.00023999999999999998,1.61851762,0.73902011
0.00025,1.60444727,0.73902011
0.00026000000000000003,1.63057792,0.6385175999999999
0.00027,1.63057792,0.73902011
0.00028,1.61047742,0.73902011
0.00029,1.59238697,0.73902011
0.0003,1.61851762,0.83952262
0.00031,1.58233672,0.94002514
0.00032,1.56223622,0.73902011
0.00033,1.58032667,0.94002514
0.00033999999999999997,1.57831662,1.04052765
0.00035,1.57429652,0.94002514
0.00036,1.55419602,0.94002514
0.00037,1.58836687,0.99027639
0.00037999999999999997,1.59037692,1.04052765
0.00039,1.57228647,0.99027639
0.0004,1.57027642,0.94002514
0.00041,1.59439702,1.29178393
0.00042,1.54615581,1.24153268
0.00043,1.55821612,1.4425377000000001
0.00044,1.57831662,1.54304022
0.00045,1.55419602,1.34203519
0.00045999999999999996,1.52203521,1.34203519
0.00047000000000000004,1.53208546,1.34203519
0.00047999999999999996,1.55419602,1.34203519
0.00049,1.56022617,1.49278896
0.0005,1.53811561,1.4425377000000001
0.0005099999999999999,1.53610556,1.34203519
0.0005200000000000001,1.54615581,1.34203519
0.00053,1.54012566,1.69379399
0.00054,1.50595481,1.54304022
0.00055,1.51801511,1.74404524
0.00056,1.48987441,1.74404524
0.00057,1.53409551,1.59329147
0.00058,1.52203521,1.74404524
0.00059,1.52605531,1.74404524
0.0006,1.52203521,1.74404524
0.00061,1.48987441,1.89479901
0.00062,1.50193471,2.04555278
0.00063,1.51801511,2.1460553
0.00064,1.49791461,1.94505027
0.00065,1.48384426,1.99530153
0.00066,1.49389451,2.1460553
0.00067,1.49389451,2.1460553
0.0006799999999999999,1.4577136,1.94505027
0.0006900000000000001,1.48987441,2.1460553
0.0007,1.46977391,2.24655781
0.0007099999999999999,1.49992466,2.34706032
0.00072,1.48987441,2.1460553
0.00073,1.47781411,2.34706032
0.00074,1.48585431,2.34706032
0.00075,1.4657538,2.34706032
0.0007599999999999999,1.4657538,2.54806535
0.0007700000000000001,1.45972365,2.54806535
0.00078,1.4456533,2.34706032
0.00079,1.46374375,2.54806535
0.0008,1.48987441,2.54806535
0.00081,1.45570355,2.74907038
0.00082,1.47379401,2.84957289
0.0008300000000000001,1.44766335,2.74907038
0.00084,1.4577136,2.74907038
0.00085,1.4416332,2.89982415
0.00086,1.4536935,2.74907038
0.0008699999999999999,1.4376131,2.74907038
0.00088,1.4577136,2.9500754000000002
0.0008900000000000002,1.4376131,2.9500754000000002
0.0009,1.4295729,2.9500754000000002
0.00091,1.45168345,2.9500754000000002
0.0009199999999999999,1.4335930000000001,2.9500754000000002
0.00093,1.4175126,3.10082917
0.0009400000000000001,1.4295729,3.05057792
0.00095,1.4175126,3.15108043
0.0009599999999999999,1.4335930000000001,2.9500754000000002
0.0009699999999999999,1.42756285,3.05057792
0.00098,1.4054523,3.25158294
0.00099,1.4416332,3.35208546
0.001,1.393392,3.35208546
0.00101,1.4376131,3.35208546
0.0010199999999999999,1.4175126,3.35208546
0.00103,1.40344225,3.20133169
0.0010400000000000001,1.4335930000000001,3.15108043
0.00105,1.39138195,3.35208546
0.00106,1.4255528,3.55309048
0.00107,1.41148245,3.35208546
0.00108,1.4094723999999998,3.35208546
0.00109,1.3893719,3.55309048
0.0011,1.4255528,3.55309048
0.0011099999999999999,1.38736185,3.70384425
0.00112,1.3853518,3.75409551
0.0011300000000000001,1.3974121000000002,3.60334174
0.00114,1.4054523,3.85459802
0.00115,1.4054523,3.70384425
0.00116,1.4094723999999998,3.75409551
0.00117,1.37329149,3.90484928
0.00118,1.4054523,3.75409551
0.00119,1.4094723999999998,3.80434677
0.0012,1.36927139,3.95510054
0.00121,1.39540205,3.90484928
0.00122,1.4014322,3.85459802
0.00123,1.39540205,4.10585431
0.00124,1.4175126,3.95510054
0.00125,1.39540205,3.95510054
0.00126,1.3853518,3.95510054
0.0012699999999999999,1.40344225,4.15610556
0.00128,1.36123119,3.95510054
0.0012900000000000001,1.39540205,4.15610556
0.0013,1.3853518,4.25660808
0.00131,1.4054523,4.15610556
0.00132,1.36927139,4.15610556
0.00133,1.36324124,4.15610556
0.00134,1.3893719,4.35711059
0.00135,1.38334175,4.35711059
0.0013599999999999999,1.36123119,4.15610556
0.00137,1.38736185,4.50786436
0.0013800000000000002,1.3853518,4.25660808
0.00139,1.35721109,4.70886939
0.0014,1.3853518,4.55811562
0.00141,1.3893719,4.55811562
0.0014199999999999998,1.3893719,4.4576131
0.00143,1.37932165,4.50786436
0.00144,1.36123119,4.55811562
0.00145,1.393392,4.60836687
0.00146,1.35721109,4.4576131
0.00147,1.35319099,4.70886939
0.00148,1.393392,4.75912064
0.00149,1.38736185,4.60836687
0.0015,1.37329149,4.65861813
0.00151,1.36726134,4.60836687
0.0015199999999999999,1.35319099,4.55811562
0.0015300000000000001,1.37329149,4.96012567
0.0015400000000000001,1.3813316999999998,4.85962316
0.00155,1.393392,4.90987441
0.00156,1.37731159,4.96012567
0.00157,1.39540205,4.96012567
0.00158,1.3853518,5.06062818
0.00159,1.3974121000000002,5.11087944
0.0016,1.4014322,4.96012567
0.00161,1.35922114,4.96012567
0.00162,1.3893719,4.96012567
0.0016300000000000002,1.37932165,5.01037693
0.00164,1.34515079,4.96012567
0.00165,1.39540205,5.31188447
0.0016600000000000002,1.36525129,5.06062818
0.0016699999999999998,1.40746235,5.1611307
0.00168,1.4094723999999998,4.96012567
0.0016899999999999999,1.36123119,5.01037693
0.0017,1.3893719,5.1611307
0.0017100000000000001,1.37731159,5.31188447
0.00172,1.36123119,5.1611307
0.00173,1.3974121000000002,5.21138195
0.0017399999999999998,1.3813316999999998,5.1611307
0.00175,1.36123119,5.31188447
0.00176,1.36927139,5.36213572
0.0017699999999999999,1.38334175,5.51288949
0.0017800000000000001,1.4175126,5.26163321
0.00179,1.4054523,5.41238698
0.0018,1.36927139,5.56314075
0.0018100000000000002,1.4175126,5.41238698
0.00182,1.3974121000000002,5.46263824
0.00183,1.40344225,5.41238698
0.0018399999999999998,1.4255528,5.56314075
0.00185,1.36927139,5.56314075
0.00186,1.3853518,5.56314075
0.00187,1.4014322,5.76414578
0.0018800000000000002,1.4094723999999998,5.76414578
0.0018899999999999998,1.4335930000000001,5.76414578
0.0019,1.4014322,5.76414578
0.0019100000000000002,1.41550255,5.76414578
0.0019199999999999998,1.3853518,5.56314075
0.00193,1.4134924999999998,5.76414578
0.0019399999999999999,1.4134924999999998,5.76414578
0.00195,1.41550255,5.76414578
0.00196,1.4014322,5.9651508
0.00197,1.4215327,5.81439703
0.00198,1.4094723999999998,5.86464829
0.00199,1.39942215,5.9651508
0.002,1.4416332,5.9651508
0.00201,1.41952265,6.01540206
0.00202,1.4295729,5.9651508
0.00203,1.4134924999999998,5.9651508
0.0020399999999999997,1.4014322,5.9651508
0.00205,1.393392,6.11590457
0.00206,1.4295729,6.16615583
0.00207,1.393392,5.9651508
0.0020800000000000003,1.4577136,5.9651508
0.00209,1.43560305,6.16615583
0.0021,1.4014322,6.06565332
0.0021100000000000003,1.44364325,6.16615583
0.00212,1.4335930000000001,6.36716086
0.00213,1.43962315,6.3169096
0.00214,1.4416332,6.26665834
0.00215,1.4496733999999998,6.36716086
0.00216,1.4094723999999998,6.56816588
0.00217,1.4617337,6.41741211
0.00218,1.4416332,6.56816588
0.0021899999999999997,1.45972365,6.51791463
0.0022,1.47379401,6.56816588
0.00221,1.4456533,6.36716086
