Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,1.78535179,0.2867588
0.0001,1.81952265,0.13600503
0.00011,1.79138194,0.33701006
0.00011999999999999999,1.82756285,0.13600503
0.00013000000000000002,1.78937189,0.33701006
0.00014,1.77530154,0.43751257
0.00015,1.77932164,0.38726131
0.00016,1.81148244,0.53801508
0.00016999999999999999,1.78937189,0.68876885
0.00018,1.79540204,0.33701006
0.00018999999999999998,1.77731159,0.53801508
0.0002,1.80344224,0.53801508
0.00021,1.77530154,0.73902011
0.00022,1.77128144,0.6385175999999999
0.00022999999999999998,1.79540204,0.73902011
0.00023999999999999998,1.75520104,0.53801508
0.00025,1.76525129,0.73902011
0.00026000000000000003,1.75118094,0.73902011
0.00027,1.80143219,0.73902011
0.00028,1.81148244,0.94002514
0.00029,1.80143219,0.88977388
0.0003,1.79138194,0.6385175999999999
0.00031,1.75520104,0.78927137
0.00032,1.77932164,0.94002514
0.00033,1.75319099,0.94002514
0.00033999999999999997,1.76324124,0.94002514
0.00035,1.75118094,0.94002514
0.00036,1.77932164,0.94002514
0.00037,1.75721109,1.14103016
0.00037999999999999997,1.76726134,1.04052765
0.00039,1.76123119,1.14103016
0.0004,1.77128144,1.14103016
0.00041,1.75922114,0.99027639
0.00042,1.74314074,1.14103016
0.00043,1.76324124,1.14103016
0.00044,1.77932164,1.34203519
0.00045,1.74515079,1.34203519
0.00045999999999999996,1.75922114,1.24153268
0.00047000000000000004,1.74515079,1.34203519
0.00047999999999999996,1.76324124,1.34203519
0.00049,1.73912064,1.54304022
0.0005,1.73912064,1.54304022
0.0005099999999999999,1.73309049,1.54304022
0.0005200000000000001,1.77128144,1.54304022
0.00053,1.75319099,1.69379399
0.00054,1.73108044,1.74404524
0.00055,1.76525129,1.54304022
0.00056,1.71500003,1.54304022
0.00057,1.72304023,1.59329147
0.00058,1.71500003,1.64354273
0.00059,1.72907038,1.94505027
0.0006,1.72304023,1.74404524
0.00061,1.72304023,1.94505027
0.00062,1.73912064,2.04555278
0.00063,1.72907038,1.94505027
