Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,0.70914573,0.38726131
0.0001,0.72321608,0.43751257
0.00011,0.74331658,0.48776383
0.00011999999999999999,0.69507537,0.53801508
0.00013000000000000002,0.72522613,0.33701006
0.00014,0.73125628,0.43751257
0.00015,0.75336683,0.53801508
0.00016,0.69507537,0.53801508
0.00016999999999999999,0.71919598,0.53801508
0.00018,0.71919598,0.73902011
0.00018999999999999998,0.72522613,0.58826634
0.0002,0.72723618,0.73902011
0.00021,0.72522613,0.58826634
0.00022,0.71919598,0.73902011
0.00022999999999999998,0.70713568,0.73902011
0.00023999999999999998,0.69507537,0.94002514
0.00025,0.69306532,0.73902011
0.00026000000000000003,0.69909547,0.73902011
0.00027,0.70110552,0.73902011
0.00028,0.68703517,0.73902011
0.00029,0.71718593,0.73902011
0.0003,0.68703517,0.94002514
0.00031,0.70512563,0.73902011
0.00032,0.71919598,0.94002514
0.00033,0.70110552,1.09077891
0.00033999999999999997,0.66693467,1.04052765
0.00035,0.69105527,1.14103016
0.00036,0.68703517,1.14103016
0.00037,0.67899497,0.94002514
0.00037999999999999997,0.68301507,1.14103016
0.00039,0.69306532,1.09077891
0.0004,0.67899497,1.14103016
0.00041,0.69909547,1.14103016
0.00042,0.67497487,1.34203519
0.00043,0.72522613,1.29178393
0.00044,0.69507537,1.54304022
0.00045,0.67698492,1.34203519
0.00045999999999999996,0.68703517,1.54304022
0.00047000000000000004,0.69507537,1.34203519
0.00047999999999999996,0.69507537,1.34203519
0.00049,0.68502512,1.69379399
0.0005,0.67899497,1.54304022
0.0005099999999999999,0.67497487,1.59329147
0.0005200000000000001,0.66291457,1.74404524
0.00053,0.65688442,1.69379399
0.00054,0.68301507,1.74404524
0.00055,0.64482412,1.74404524
0.00056,0.66291457,1.74404524
0.00057,0.64281407,1.89479901
0.00058,0.67497487,2.04555278
0.00059,0.65085427,1.89479901
0.0006,0.66291457,1.94505027
0.00061,0.67698492,2.1460553
0.00062,0.65487437,2.04555278
0.00063,0.69306532,1.99530153
0.00064,0.63879397,2.1460553
0.00065,0.63879397,2.29680907
0.00066,0.67095477,2.04555278
0.00067,0.66090452,2.1460553
0.0006799999999999999,0.63879397,1.94505027
0.0006900000000000001,0.66291457,2.29680907
0.0007,0.62271357,2.34706032
0.0007099999999999999,0.65688442,2.49781409
0.00072,0.67095477,2.34706032
0.00073,0.64482412,2.34706032
0.00074,0.65487437,2.44756284
0.00075,0.65286432,2.54806535
0.0007599999999999999,0.66291457,2.74907038
0.0007700000000000001,0.66090452,2.69881912
0.00078,0.65889447,2.74907038
0.00079,0.62070352,2.74907038
0.0008,0.66291457,2.74907038
0.00081,0.65487437,2.54806535
0.00082,0.63879397,2.64856786
0.0008300000000000001,0.64080402,2.74907038
0.00084,0.65487437,2.74907038
0.00085,0.64281407,2.79932163
0.00086,0.63879397,2.84957289
0.0008699999999999999,0.61869347,2.9500754000000002
0.00088,0.67095477,2.9500754000000002
0.0008900000000000002,0.65688442,3.10082917
0.0009,0.63477387,2.9500754000000002
0.00091,0.63477387,3.15108043
0.0009199999999999999,0.63879397,3.15108043
0.00093,0.61668342,2.9500754000000002
0.0009400000000000001,0.62673367,3.15108043
0.00095,0.63477387,3.15108043
0.0009599999999999999,0.64683417,3.35208546
0.0009699999999999999,0.65286432,3.35208546
0.00098,0.63477387,3.25158294
0.00099,0.62673367,3.15108043
0.001,0.59859296,3.55309048
0.00101,0.64281407,3.3018342000000005
0.0010199999999999999,0.64683417,3.45258797
0.00103,0.61869347,3.40233671
0.0010400000000000001,0.59859296,3.55309048
0.00105,0.62874372,3.40233671
0.00106,0.59859296,3.55309048
0.00107,0.62271357,3.70384425
0.00108,0.65487437,3.55309048
0.00109,0.59859296,3.75409551
0.0011,0.63075377,3.75409551
0.0011099999999999999,0.60663316,3.75409551
0.00112,0.59055276,3.55309048
0.0011300000000000001,0.59457286,3.60334174
0.00114,0.62673367,3.85459802
0.00115,0.58251256,3.80434677
0.00116,0.58251256,3.75409551
0.00117,0.61065326,3.75409551
0.00118,0.60261306,3.95510054
0.00119,0.60261306,3.85459802
0.0012,0.59055276,3.95510054
0.00121,0.61869347,3.95510054
0.00122,0.61065326,3.95510054
0.00123,0.63276382,4.10585431
0.00124,0.59859296,3.95510054
0.00125,0.62673367,4.15610556
0.00126,0.61869347,4.15610556
0.0012699999999999999,0.61467336,4.15610556
0.00128,0.59055276,4.15610556
0.0012900000000000001,0.59457286,4.15610556
0.0013,0.59055276,4.25660808
0.00131,0.61668342,4.35711059
0.00132,0.59859296,3.95510054
0.00133,0.58452261,4.15610556
0.00134,0.58251256,4.15610556
0.00135,0.58251256,4.30685933
0.0013599999999999999,0.59055276,4.55811562
0.00137,0.61467336,4.35711059
0.0013800000000000002,0.61467336,4.4576131
0.00139,0.59256281,4.55811562
0.0014,0.56643216,4.55811562
0.00141,0.60060301,4.55811562
0.0014199999999999998,0.59457286,4.55811562
0.00143,0.60663316,4.55811562
0.00144,0.59055276,4.75912064
0.00145,0.58653266,4.70886939
