Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,3.79839185,0.2867588
0.0001,3.78231145,0.33701006
0.00011,3.76623105,0.13600503
0.00011999999999999999,3.79839185,0.33701006
0.00013000000000000002,3.7923617,0.33701006
0.00014,3.74211044,0.33701006
0.00015,3.77427125,0.53801508
0.00016,3.77427125,0.33701006
0.00016999999999999999,3.76221094,0.53801508
0.00018,3.74613054,0.53801508
0.00018999999999999998,3.75417074,0.53801508
0.0002,3.77427125,0.33701006
0.00021,3.74814059,0.58826634
0.00022,3.76221094,0.6385175999999999
0.00022999999999999998,3.7722612,0.68876885
0.00023999999999999998,3.77427125,0.73902011
0.00025,3.76623105,0.53801508
0.00026000000000000003,3.75015064,0.53801508
0.00027,3.78231145,0.58826634
0.00028,3.77427125,0.73902011
0.00029,3.76422099,0.73902011
0.0003,3.76221094,0.73902011
0.00031,3.76422099,0.78927137
0.00032,3.75819084,0.94002514
0.00033,3.74613054,0.94002514
0.00033999999999999997,3.75417074,0.94002514
0.00035,3.72804009,0.94002514
0.00036,3.72603004,1.14103016
0.00037,3.73608029,0.94002514
0.00037999999999999997,3.79437175,1.04052765
0.00039,3.7843214999999994,1.29178393
0.0004,3.79035165,0.94002514
0.00041,3.74211044,1.14103016
0.00042,3.77025115,1.14103016
0.00043,3.7682411,1.19128142
0.00044,3.76623105,1.34203519
0.00045,3.76221094,1.24153268
0.00045999999999999996,3.72603004,1.34203519
0.00047000000000000004,3.77829135,1.34203519
0.00047999999999999996,3.72603004,1.34203519
0.00049,3.74613054,1.34203519
0.0005,3.74211044,1.34203519
0.0005099999999999999,3.76422099,1.49278896
0.0005200000000000001,3.74211044,1.54304022
0.00053,3.73407024,1.69379399
0.00054,3.77025115,1.54304022
0.00055,3.7682411,1.69379399
0.00056,3.72603004,1.54304022
0.00057,3.75417074,1.69379399
0.00058,3.75015064,1.94505027
0.00059,3.73005014,1.69379399
0.0006,3.70994964,1.94505027
0.00061,3.7722612,1.94505027
0.00062,3.75417074,1.84454776
0.00063,3.75417074,1.94505027
0.00064,3.74211044,1.94505027
0.00065,3.75618079,1.99530153
0.00066,3.74613054,2.1460553
0.00067,3.76623105,2.09580404
0.0006799999999999999,3.72603004,2.1460553
0.0006900000000000001,3.73206019,2.1460553
0.0007,3.75417074,2.24655781
0.0007099999999999999,3.72804009,2.1460553
0.00072,3.70994964,2.34706032
0.00073,3.76221094,2.44756284
0.00074,3.73407024,2.34706032
0.00075,3.75618079,2.54806535
0.0007599999999999999,3.75015064,2.54806535
0.0007700000000000001,3.74814059,2.49781409
0.00078,3.75417074,2.64856786
0.00079,3.73407024,2.54806535
0.0008,3.75015064,2.54806535
0.00081,3.75216069,2.59831661
0.00082,3.75015064,2.64856786
0.0008300000000000001,3.70994964,2.69881912
0.00084,3.77427125,2.74907038
0.00085,3.73608029,2.79932163
0.00086,3.74211044,2.84957289
0.0008699999999999999,3.72200994,2.79932163
0.00088,3.72603004,2.9500754000000002
0.0008900000000000002,3.73206019,2.74907038
0.0009,3.74211044,2.84957289
0.00091,3.74613054,2.9500754000000002
0.0009199999999999999,3.70994964,2.9500754000000002
0.00093,3.71798984,2.89982415
0.0009400000000000001,3.69788934,3.05057792
0.00095,3.73005014,3.15108043
0.0009599999999999999,3.71798984,3.15108043
0.0009699999999999999,3.71597979,3.10082917
0.00098,3.75417074,3.15108043
0.00099,3.71396974,3.15108043
0.001,3.72603004,3.15108043
0.00101,3.71999989,3.3018342000000005
0.0010199999999999999,3.73005014,3.25158294
0.00103,3.71195969,3.35208546
0.0010400000000000001,3.70190944,3.15108043
0.00105,3.73005014,3.35208546
0.00106,3.71396974,3.35208546
0.00107,3.73005014,3.55309048
0.00108,3.72603004,3.55309048
0.00109,3.70793959,3.55309048
0.0011,3.72200994,3.653593
0.0011099999999999999,3.71999989,3.80434677
0.00112,3.72603004,3.55309048
0.0011300000000000001,3.69587929,3.60334174
0.00114,3.70190944,3.653593
0.00115,3.71999989,3.75409551
0.00116,3.69386924,3.75409551
0.00117,3.69788934,3.90484928
0.00118,3.70190944,3.85459802
0.00119,3.71999989,3.95510054
