Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,1.26101757,0.13600503
0.0001,1.27508792,0.23650754
0.00011,1.30523867,0.18625629
0.00011999999999999999,1.27106782,0.33701006
0.00013000000000000002,1.29920852,0.48776383
0.00014,1.25498741,0.33701006
0.00015,1.26503767,0.33701006
0.00016,1.27106782,0.53801508
0.00016999999999999999,1.28312812,0.33701006
0.00018,1.28312812,0.53801508
0.00018999999999999998,1.27709797,0.53801508
0.0002,1.27106782,0.53801508
0.00021,1.27508792,0.53801508
0.00022,1.25900752,0.53801508
0.00022999999999999998,1.25297736,0.53801508
0.00023999999999999998,1.28714822,0.53801508
0.00025,1.26302762,0.48776383
0.00026000000000000003,1.26704772,0.73902011
0.00027,1.25699747,0.53801508
0.00028,1.27910802,0.53801508
0.00029,1.24895726,0.73902011
0.0003,1.24694721,0.73902011
0.00031,1.27307787,0.88977388
0.00032,1.23890701,0.94002514
0.00033,1.29518842,0.6385175999999999
0.00033999999999999997,1.25900752,0.73902011
0.00035,1.27307787,0.78927137
0.00036,1.27910802,0.94002514
0.00037,1.26704772,0.94002514
0.00037999999999999997,1.25498741,0.94002514
0.00039,1.27910802,0.94002514
0.0004,1.27910802,1.14103016
0.00041,1.23890701,1.09077891
0.00042,1.26704772,1.14103016
0.00043,1.25096731,1.14103016
0.00044,1.27910802,1.14103016
0.00045,1.23890701,1.29178393
0.00045999999999999996,1.25096731,1.14103016
0.00047000000000000004,1.26905777,1.19128142
0.00047999999999999996,1.24694721,1.34203519
0.00049,1.24493716,1.34203519
0.0005,1.24292711,1.34203519
0.0005099999999999999,1.25900752,1.39228645
0.0005200000000000001,1.23890701,1.54304022
0.00053,1.23287686,1.39228645
0.00054,1.25498741,1.4425377000000001
0.00055,1.23287686,1.59329147
0.00056,1.27106782,1.54304022
0.00057,1.22282661,1.69379399
0.00058,1.24694721,1.54304022
0.00059,1.23086681,1.69379399
0.0006,1.24694721,1.54304022
0.00061,1.25297736,1.69379399
0.00062,1.24292711,1.94505027
0.00063,1.23890701,1.89479901
0.00064,1.25498741,1.94505027
0.00065,1.24493716,1.7942965
0.00066,1.23890701,2.04555278
0.00067,1.23488691,1.99530153
0.0006799999999999999,1.25498741,2.1460553
0.0006900000000000001,1.23086681,2.09580404
0.0007,1.23890701,2.24655781
0.0007099999999999999,1.20875626,2.19630655
0.00072,1.25498741,2.1460553
0.00073,1.24091706,2.34706032
0.00074,1.23488691,2.34706032
0.00075,1.25498741,2.34706032
0.0007599999999999999,1.22282661,2.34706032
0.0007700000000000001,1.23086681,2.49781409
0.00078,1.22684671,2.34706032
0.00079,1.20674621,2.49781409
0.0008,1.22282661,2.54806535
0.00081,1.23890701,2.59831661
0.00082,1.23488691,2.64856786
0.0008300000000000001,1.21277636,2.54806535
0.00084,1.21478641,2.54806535
0.00085,1.22282661,2.69881912
0.00086,1.21880651,2.64856786
0.0008699999999999999,1.21277636,2.74907038
0.00088,1.23890701,2.74907038
0.0008900000000000002,1.19870601,2.74907038
0.0009,1.21478641,2.74907038
0.00091,1.22081656,2.84957289
0.0009199999999999999,1.25498741,2.9500754000000002
0.00093,1.25297736,2.74907038
0.0009400000000000001,1.20674621,2.9500754000000002
0.00095,1.24493716,2.9500754000000002
0.0009599999999999999,1.20674621,2.9500754000000002
0.0009699999999999999,1.22081656,2.9500754000000002
0.00098,1.23488691,2.9500754000000002
0.00099,1.21679646,3.10082917
0.001,1.21478641,3.15108043
0.00101,1.22483666,3.15108043
0.0010199999999999999,1.21076631,3.15108043
0.00103,1.22282661,3.3018342000000005
0.0010400000000000001,1.23086681,3.15108043
0.00105,1.21880651,3.25158294
0.00106,1.23086681,3.15108043
0.00107,1.19468591,3.50283923
0.00108,1.19066581,3.55309048
0.00109,1.22282661,3.35208546
0.0011,1.21880651,3.45258797
0.0011099999999999999,1.21478641,3.40233671
0.00112,1.23890701,3.55309048
