Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,4.21888183,0.13600503
0.0001,4.21084163,0.13600503
0.00011,4.21486173,0.18625629
0.00011999999999999999,4.21486173,0.33701006
0.00013000000000000002,4.19476123,0.33701006
0.00014,4.19878133,0.33701006
0.00015,4.18672103,0.18625629
0.00016,4.20682153,0.33701006
0.00016999999999999999,4.19275118,0.38726131
0.00018,4.19476123,0.43751257
0.00018999999999999998,4.20682153,0.38726131
0.0002,4.17466073,0.53801508
0.00021,4.18069088,0.53801508
0.00022,4.19476123,0.6385175999999999
0.00022999999999999998,4.17466073,0.53801508
0.00023999999999999998,4.19074113,0.73902011
0.00025,4.19074113,0.68876885
0.00026000000000000003,4.18672103,0.6385175999999999
0.00027,4.18471098,0.73902011
0.00028,4.17466073,0.53801508
0.00029,4.17265068,0.73902011
0.0003,4.18270093,0.73902011
0.00031,4.18069088,0.58826634
0.00032,4.15858033,0.73902011
0.00033,4.16461048,0.73902011
0.00033999999999999997,4.15456023,0.83952262
0.00035,4.16863058,0.88977388
0.00036,4.17466073,0.94002514
0.00037,4.15255017,0.94002514
0.00037999999999999997,4.17064063,0.94002514
0.00039,4.16662053,0.94002514
0.0004,4.16662053,0.94002514
0.00041,4.15456023,1.29178393
0.00042,4.14652002,1.14103016
0.00043,4.16059038,1.29178393
0.00044,4.15858033,1.14103016
0.00045,4.14652002,1.34203519
0.00045999999999999996,4.15858033,1.24153268
0.00047000000000000004,4.13847982,1.14103016
0.00047999999999999996,4.13445972,1.34203519
0.00049,4.13847982,1.34203519
0.0005,4.14652002,1.4425377000000001
0.0005099999999999999,4.13043962,1.49278896
0.0005200000000000001,4.15054012,1.34203519
0.00053,4.13244967,1.49278896
0.00054,4.11837932,1.54304022
0.00055,4.14450997,1.54304022
0.00056,4.12641952,1.34203519
0.00057,4.12842957,1.69379399
0.00058,4.11435922,1.64354273
0.00059,4.13043962,1.74404524
0.0006,4.15054012,1.54304022
0.00061,4.12641952,1.69379399
0.00062,4.12641952,1.74404524
0.00063,4.13445972,1.94505027
0.00064,4.11837932,1.94505027
0.00065,4.13244967,1.94505027
0.00066,4.12239942,1.94505027
0.00067,4.10229892,1.94505027
0.0006799999999999999,4.12641952,2.1460553
0.0006900000000000001,4.11636927,2.1460553
0.0007,4.11033912,2.1460553
0.0007099999999999999,4.09827882,2.1460553
0.00072,4.11837932,2.1460553
0.00073,4.11234917,2.1460553
0.00074,4.11033912,2.34706032
0.00075,4.12038937,2.1460553
0.0007599999999999999,4.10229892,2.1460553
0.0007700000000000001,4.10028887,2.29680907
0.00078,4.09827882,2.34706032
0.00079,4.10430897,2.34706032
0.0008,4.09425872,2.34706032
0.00081,4.09626877,2.49781409
0.00082,4.10631902,2.54806535
0.0008300000000000001,4.11033912,2.49781409
0.00084,4.10229892,2.74907038
0.00085,4.09626877,2.69881912
0.00086,4.09023862,2.64856786
0.0008699999999999999,4.09827882,2.59831661
0.00088,4.08621852,2.74907038
0.0008900000000000002,4.10028887,2.59831661
0.0009,4.08219842,2.64856786
0.00091,4.07214817,2.74907038
0.0009199999999999999,4.07817832,2.9500754000000002
0.00093,4.10229892,2.9500754000000002
0.0009400000000000001,4.09425872,2.9500754000000002
0.00095,4.09023862,2.9500754000000002
0.0009599999999999999,4.07013812,2.9500754000000002
0.0009699999999999999,4.07013812,2.9500754000000002
0.00098,4.08219842,3.05057792
0.00099,4.07817832,3.15108043
0.001,4.06209791,3.15108043
0.00101,4.06611801,3.15108043
0.0010199999999999999,4.07415822,3.05057792
0.00103,4.08822857,3.15108043
0.0010400000000000001,4.08621852,3.35208546
0.00105,4.06410796,3.35208546
0.00106,4.08219842,3.35208546
0.00107,4.07214817,3.50283923
0.00108,4.07817832,3.55309048
0.00109,4.04802756,3.35208546
0.0011,4.06209791,3.35208546
0.0011099999999999999,4.05606776,3.50283923
0.00112,4.06209791,3.35208546
0.0011300000000000001,4.04601751,3.40233671
0.00114,4.06611801,3.55309048
0.00115,4.07013812,3.40233671
0.00116,4.06209791,3.55309048
0.00117,4.06611801,3.55309048
0.00118,4.04601751,3.653593
0.00119,4.05405771,3.75409551
0.0012,4.03797731,3.55309048
0.00121,4.05204766,3.75409551
0.00122,4.05003761,3.85459802
0.00123,4.04802756,3.80434677
0.00124,4.08621852,3.75409551
0.00125,4.06812807,3.653593
0.00126,4.05003761,3.95510054
0.0012699999999999999,4.05606776,3.95510054
0.00128,4.04601751,3.95510054
0.0012900000000000001,4.04199741,3.95510054
0.0013,4.02993711,3.85459802
0.00131,4.02993711,4.10585431
0.00132,4.02993711,3.95510054
0.00133,4.03194716,3.95510054
0.00134,4.02993711,4.05560305
0.00135,4.05807781,4.10585431
0.0013599999999999999,4.05405771,3.95510054
0.00137,4.02993711,4.15610556
0.0013800000000000002,4.04199741,4.15610556
0.00139,4.04199741,4.15610556
0.0014,4.01385671,4.35711059
0.00141,4.02591701,4.40736185
0.0014199999999999998,4.02189691,4.25660808
0.00143,4.02993711,4.35711059
0.00144,4.03797731,4.35711059
0.00145,4.01988686,4.35711059
0.00146,4.05003761,4.4576131
0.00147,4.04601751,4.25660808
0.00148,4.01385671,4.15610556
0.00149,4.03194716,4.35711059
0.0015,4.02189691,4.4576131
0.00151,4.02390696,4.55811562
0.0015199999999999999,4.02189691,4.35711059
0.0015300000000000001,4.02993711,4.40736185
0.0015400000000000001,4.01787681,4.55811562
0.00155,4.00782656,4.70886939
0.00156,4.00581651,4.55811562
0.00157,4.01988686,4.8093719
0.00158,4.02189691,4.65861813
0.00159,4.01586676,4.75912064
0.0016,4.01385671,4.96012567
0.00161,4.00782656,4.75912064
0.00162,4.02189691,4.75912064
0.0016300000000000002,4.00983661,4.75912064
0.00164,4.00581651,4.96012567
0.00165,4.01586676,4.90987441
0.0016600000000000002,4.03395721,4.96012567
0.0016699999999999998,4.00983661,4.90987441
0.00168,4.00581651,4.96012567
0.0016899999999999999,4.01988686,4.96012567
0.0017,4.02189691,4.96012567
0.0017100000000000001,4.01988686,4.96012567
0.00172,3.99777631,5.1611307
0.00173,4.00179641,4.96012567
0.0017399999999999998,4.00581651,4.85962316
0.00175,4.03194716,4.96012567
0.00176,4.02993711,4.96012567
0.0017699999999999999,4.00380646,5.11087944
0.0017800000000000001,4.00179641,5.1611307
0.00179,4.00179641,5.1611307
0.0018,3.98973611,5.1611307
0.0018100000000000002,4.03194716,5.36213572
0.00182,4.00581651,5.06062818
0.00183,4.01787681,5.31188447
0.0018399999999999998,4.01385671,5.36213572
0.00185,3.99777631,5.21138195
0.00186,3.99777631,5.26163321
0.00187,4.00782656,5.21138195
0.0018800000000000002,3.99777631,5.1611307
0.0018899999999999998,3.99375621,5.36213572
0.0019,4.01787681,5.46263824
0.0019100000000000002,4.00782656,5.51288949
0.0019199999999999998,4.01385671,5.56314075
0.00193,3.99576626,5.61339201
0.0019399999999999999,3.99375621,5.56314075
0.00195,3.98973611,5.51288949
0.00196,4.01385671,5.56314075
0.00197,4.00179641,5.56314075
0.00198,4.00179641,5.76414578
0.00199,4.00179641,5.71389452
0.002,3.98973611,5.76414578
0.00201,3.99174616,5.61339201
0.00202,3.98973611,5.86464829
0.00203,3.99978636,5.71389452
0.0020399999999999997,3.99777631,5.76414578
0.00205,4.01586676,5.91489955
0.00206,4.00581651,5.76414578
0.00207,3.99174616,5.81439703
0.0020800000000000003,4.01385671,5.9651508
0.00209,3.98370596,5.9651508
0.0021,4.00581651,5.9651508
