Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,3.93829157,0.13600503
0.0001,3.96040212,0.23650754
0.00011,3.95839207,0.18625629
0.00011999999999999999,3.96844232,0.33701006
0.00013000000000000002,3.97648253,0.18625629
0.00014,3.95236192,0.33701006
0.00015,3.97246243,0.48776383
0.00016,3.95236192,0.33701006
0.00016999999999999999,3.97246243,0.48776383
0.00018,3.95638202,0.53801508
0.00018999999999999998,3.94834182,0.38726131
0.0002,3.98452273,0.53801508
0.00021,3.95236192,0.33701006
0.00022,3.96040212,0.6385175999999999
0.00022999999999999998,3.96241217,0.53801508
0.00023999999999999998,3.94432172,0.73902011
0.00025,3.96643227,0.73902011
0.00026000000000000003,3.96040212,0.6385175999999999
0.00027,3.96643227,0.78927137
0.00028,3.95236192,0.73902011
0.00029,3.95437197,0.58826634
0.0003,3.95638202,0.83952262
0.00031,3.95638202,0.73902011
0.00032,3.93628152,0.73902011
0.00033,3.96643227,0.88977388
0.00033999999999999997,3.94432172,0.83952262
0.00035,3.94834182,0.94002514
0.00036,3.92824132,0.94002514
0.00037,3.95236192,0.94002514
0.00037999999999999997,3.92824132,1.04052765
0.00039,3.94030162,0.99027639
0.0004,3.94432172,1.14103016
0.00041,3.95236192,1.14103016
0.00042,3.92824132,1.14103016
0.00043,3.95236192,1.29178393
0.00044,3.96040212,0.94002514
0.00045,3.92623127,1.34203519
0.00045999999999999996,3.94030162,1.34203519
0.00047000000000000004,3.93829157,1.34203519
0.00047999999999999996,3.92020112,1.34203519
0.00049,3.94633177,1.49278896
0.0005,3.93226142,1.34203519
0.0005099999999999999,3.94633177,1.34203519
0.0005200000000000001,3.92020112,1.54304022
0.00053,3.92422122,1.69379399
0.00054,3.93628152,1.54304022
0.00055,3.92020112,1.54304022
0.00056,3.92020112,1.74404524
0.00057,3.92422122,1.69379399
0.00058,3.92020112,1.64354273
0.00059,3.91819107,1.64354273
0.0006,3.92020112,1.94505027
0.00061,3.93025137,1.74404524
0.00062,3.92020112,1.84454776
0.00063,3.93829157,1.74404524
0.00064,3.93628152,1.74404524
0.00065,3.93427147,1.7942965
0.00066,3.92422122,2.1460553
0.00067,3.93427147,2.1460553
0.0006799999999999999,3.92824132,2.1460553
0.0006900000000000001,3.93427147,1.94505027
0.0007,3.91618102,2.04555278
0.0007099999999999999,3.90814082,2.19630655
0.00072,3.90412072,2.34706032
0.00073,3.90010062,2.29680907
0.00074,3.90814082,2.24655781
0.00075,3.89809057,2.34706032
0.0007599999999999999,3.91216092,2.34706032
0.0007700000000000001,3.91618102,2.39731158
0.00078,3.92020112,2.54806535
0.00079,3.91015087,2.49781409
0.0008,3.91216092,2.54806535
0.00081,3.92422122,2.54806535
0.00082,3.91216092,2.54806535
0.0008300000000000001,3.90613077,2.54806535
0.00084,3.92824132,2.54806535
0.00085,3.93226142,2.74907038
0.00086,3.90010062,2.54806535
0.0008699999999999999,3.90412072,2.69881912
0.00088,3.91216092,2.74907038
0.0008900000000000002,3.91417097,2.74907038
0.0009,3.91216092,2.9500754000000002
0.00091,3.91216092,2.9500754000000002
0.0009199999999999999,3.92020112,2.9500754000000002
0.00093,3.89407047,2.79932163
0.0009400000000000001,3.90814082,2.84957289
0.00095,3.90412072,3.15108043
0.0009599999999999999,3.91216092,3.15108043
0.0009699999999999999,3.90211067,3.00032666
0.00098,3.90412072,3.15108043
0.00099,3.89608052,3.15108043
0.001,3.90412072,3.15108043
0.00101,3.90010062,3.35208546
0.0010199999999999999,3.88804032,3.25158294
0.00103,3.88804032,3.3018342000000005
0.0010400000000000001,3.88000011,3.35208546
0.00105,3.89809057,3.15108043
0.00106,3.90010062,3.35208546
0.00107,3.90814082,3.35208546
0.00108,3.88804032,3.55309048
0.00109,3.89206042,3.35208546
0.0011,3.89608052,3.55309048
0.0011099999999999999,3.89206042,3.50283923
0.00112,3.89608052,3.55309048
0.0011300000000000001,3.89206042,3.55309048
0.00114,3.89206042,3.55309048
0.00115,3.89206042,3.653593
0.00116,3.89608052,3.55309048
0.00117,3.91015087,3.70384425
0.00118,3.89206042,3.55309048
0.00119,3.90613077,3.75409551
0.0012,3.88000011,3.75409551
0.00121,3.89206042,3.80434677
0.00122,3.87195991,3.95510054
0.00123,3.89809057,3.75409551
0.00124,3.88804032,3.95510054
0.00125,3.88402021,3.95510054
0.00126,3.86793981,3.95510054
0.0012699999999999999,3.91819107,3.95510054
0.00128,3.89608052,4.15610556
0.0012900000000000001,3.89206042,4.00535179
0.0013,3.87598001,3.95510054
0.00131,3.89206042,4.15610556
0.00132,3.87195991,4.15610556
0.00133,3.89206042,4.00535179
0.00134,3.87598001,4.15610556
0.00135,3.86994986,4.10585431
0.0013599999999999999,3.86391971,4.35711059
0.00137,3.87396996,4.15610556
0.0013800000000000002,3.88804032,4.15610556
0.00139,3.89206042,4.30685933
0.0014,3.87195991,4.35711059
0.00141,3.87799006,4.50786436
0.0014199999999999998,3.88402021,4.55811562
0.00143,3.88804032,4.35711059
0.00144,3.88804032,4.55811562
0.00145,3.86391971,4.40736185
0.00146,3.87598001,4.55811562
0.00147,3.85989961,4.35711059
0.00148,3.88804032,4.35711059
0.00149,3.89407047,4.55811562
0.0015,3.86793981,4.4576131
0.00151,3.87396996,4.35711059
0.0015199999999999999,3.86391971,4.55811562
0.0015300000000000001,3.87799006,4.55811562
0.0015400000000000001,3.85989961,4.65861813
0.00155,3.86592976,4.60836687
0.00156,3.86391971,4.75912064
0.00157,3.88000011,4.75912064
0.00158,3.87195991,4.65861813
0.00159,3.89407047,4.75912064
0.0016,3.87195991,4.75912064
0.00161,3.88201016,4.96012567
0.00162,3.87195991,4.96012567
0.0016300000000000002,3.86190966,4.96012567
0.00164,3.87195991,4.96012567
0.00165,3.88603027,4.96012567
0.0016600000000000002,3.88402021,5.06062818
0.0016699999999999998,3.86391971,4.96012567
0.00168,3.85587951,4.96012567
0.0016899999999999999,3.87195991,4.96012567
0.0017,3.87195991,5.06062818
0.0017100000000000001,3.88000011,5.01037693
0.00172,3.88804032,4.96012567
0.00173,3.87598001,5.1611307
0.0017399999999999998,3.87598001,5.06062818
0.00175,3.87799006,5.01037693
0.00176,3.88000011,5.1611307
0.0017699999999999999,3.87195991,5.31188447
0.0017800000000000001,3.89206042,5.1611307
0.00179,3.88201016,5.31188447
0.0018,3.86391971,5.1611307
0.0018100000000000002,3.86592976,5.36213572
0.00182,3.86391971,5.26163321
0.00183,3.86592976,5.21138195
0.0018399999999999998,3.86391971,5.36213572
0.00185,3.88201016,5.41238698
0.00186,3.85989961,5.36213572
0.00187,3.87396996,5.41238698
0.0018800000000000002,3.87195991,5.36213572
0.0018899999999999998,3.86190966,5.56314075
0.0019,3.86391971,5.46263824
0.0019100000000000002,3.87799006,5.41238698
0.0019199999999999998,3.85587951,5.36213572
0.00193,3.84582926,5.51288949
0.0019399999999999999,3.86793981,5.56314075
0.00195,3.86793981,5.76414578
0.00196,3.85587951,5.56314075
0.00197,3.86994986,5.61339201
0.00198,3.86391971,5.76414578
0.00199,3.85587951,5.61339201
0.002,3.86391971,5.76414578
0.00201,3.85587951,5.81439703
0.00202,3.87598001,5.86464829
0.00203,3.85989961,5.91489955
0.0020399999999999997,3.87195991,5.76414578
0.00205,3.85788956,5.91489955
0.00206,3.86793981,5.9651508
0.00207,3.86793981,5.9651508
0.0020800000000000003,3.85587951,5.9651508
0.00209,3.86793981,6.11590457
0.0021,3.85185941,6.06565332
0.0021100000000000003,3.87396996,5.9651508
0.00212,3.87195991,5.9651508
0.00213,3.85989961,6.11590457
0.00214,3.86391971,6.06565332
0.00215,3.86592976,6.01540206
0.00216,3.88000011,5.9651508
0.00217,3.86391971,6.21640709
0.00218,3.85587951,6.36716086
0.0021899999999999997,3.85185941,6.16615583
0.0022,3.84783931,6.36716086
0.00221,3.85788956,6.16615583
0.0022199999999999998,3.86391971,6.26665834
0.00223,3.85386946,6.36716086
0.00224,3.87195991,6.56816588
0.00225,3.85185941,6.36716086
0.0022600000000000003,3.86793981,6.56816588
0.00227,3.86994986,6.36716086
0.00228,3.86391971,6.56816588
0.00229,3.86592976,6.41741211
0.0023,3.84783931,6.56816588
0.00231,3.86190966,6.76917091
0.00232,3.87195991,6.56816588
0.00233,3.85788956,6.76917091
0.00234,3.87195991,6.56816588
0.00235,3.86592976,6.61841714
0.00236,3.84783931,6.56816588
0.00237,3.86592976,6.71891965
0.00238,3.86391971,6.76917091
0.0023899999999999998,3.86391971,6.76917091
