Time,Intensity,Voltage
0.0001,2.10827881,0.33701006
0.00011,2.10023861,0.38726131
0.00011999999999999999,2.12033911,0.33701006
0.00013000000000000002,2.12033911,0.48776383
0.00014,2.10023861,0.43751257
0.00015,2.06606775,0.68876885
0.00016,2.09621851,0.53801508
0.00016999999999999999,2.09621851,0.53801508
0.00018,2.09621851,0.6385175999999999
0.00018999999999999998,2.07812806,0.53801508
0.0002,2.10425871,0.53801508
0.00021,2.10224866,0.53801508
0.00022,2.10023861,0.73902011
0.00022999999999999998,2.09420846,0.58826634
0.00023999999999999998,2.08817831,0.73902011
0.00025,2.04998735,0.58826634
0.00026000000000000003,2.0720978999999997,0.73902011
0.00027,2.0600376,0.88977388
0.00028,2.08817831,0.94002514
0.00029,2.07812806,0.94002514
0.0003,2.0560175,0.83952262
0.00031,2.06204765,1.04052765
0.00032,2.0560175,0.94002514
0.00033,2.0600376,0.94002514
0.00033999999999999997,2.0519974,1.04052765
0.00035,2.0560175,0.99027639
0.00036,2.0479773,0.94002514
0.00037,2.05802755,1.14103016
0.00037999999999999997,2.0479773,1.14103016
0.00039,2.04194715,1.14103016
0.0004,2.0318968999999996,1.34203519
0.00041,2.035917,1.19128142
0.00042,2.0519974,1.24153268
0.00043,2.02184665,1.34203519
0.00044,2.0318968999999996,1.34203519
0.00045,2.0560175,1.14103016
0.00045999999999999996,2.0479773,1.4425377000000001
0.00047000000000000004,2.04998735,1.39228645
0.00047999999999999996,2.0318968999999996,1.34203519
0.00049,2.0479773,1.49278896
0.0005,2.0077762999999997,1.4425377000000001
0.0005099999999999999,2.01782655,1.64354273
0.0005200000000000001,2.0077762999999997,1.54304022
0.00053,2.03792705,1.59329147
0.00054,2.0198366,1.54304022
0.00055,2.02586675,1.94505027
0.00056,1.9997361,1.74404524
0.00057,2.01380645,1.74404524
0.00058,2.0238567,1.84454776
0.00059,2.01782655,1.74404524
0.0006,2.0238567,2.1460553
0.00061,2.0198366,1.99530153
0.00062,2.0198366,1.94505027
0.00063,2.0117964,2.1460553
0.00064,1.9997361,2.1460553
0.00065,1.98566575,2.1460553
0.00066,1.97963559,2.1460553
0.00067,2.0158165,2.1460553
0.0006799999999999999,2.0158165,2.54806535
0.0006900000000000001,2.00978635,2.49781409
0.0007,2.0158165,2.1460553
0.0007099999999999999,1.99772605,2.49781409
0.00072,2.0077762999999997,2.34706032
0.00073,1.97963559,2.29680907
0.00074,2.0037561999999998,2.54806535
0.00075,1.98566575,2.49781409
0.0007599999999999999,1.95953509,2.54806535
0.0007700000000000001,1.97360544,2.54806535
0.00078,1.9876758,2.54806535
0.00079,1.97159539,2.69881912
0.0008,1.96757529,2.54806535
0.00081,1.99772605,2.69881912
0.00082,1.9876758,2.64856786
0.0008300000000000001,1.96958534,2.89982415
0.00084,1.97561549,2.9500754000000002
0.00085,1.98164564,2.74907038
0.00086,1.98365569,2.84957289
0.0008699999999999999,1.96154514,2.89982415
0.00088,1.98365569,2.9500754000000002
0.0008900000000000002,1.97561549,2.84957289
0.0009,1.9916958999999999,3.05057792
0.00091,1.9876758,3.00032666
0.0009199999999999999,1.95953509,3.35208546
0.00093,1.95149489,2.9500754000000002
0.0009400000000000001,1.96757529,3.15108043
0.00095,1.95953509,3.15108043
0.0009599999999999999,1.98365569,3.15108043
0.0009699999999999999,1.94345469,3.15108043
0.00098,1.95551499,3.35208546
0.00099,1.94345469,3.35208546
0.001,1.92737429,3.75409551
0.00101,1.95350494,3.35208546
0.0010199999999999999,1.96757529,3.45258797
0.00103,1.95149489,3.55309048
0.0010400000000000001,1.95953509,3.35208546
0.00105,1.98164564,3.55309048
0.00106,1.93943459,3.45258797
0.00107,1.94546474,3.55309048
0.00108,1.93541449,3.55309048
0.00109,1.94546474,3.75409551
0.0011,1.96355519,3.653593
0.0011099999999999999,1.93541449,3.75409551
0.00112,1.95149489,3.75409551
0.0011300000000000001,1.93541449,3.80434677
0.00114,1.93541449,3.75409551
0.00115,1.94747479,3.90484928
0.00116,1.96757529,3.75409551
0.00117,1.96757529,3.95510054
0.00118,1.94345469,3.85459802
0.00119,1.96556524,3.95510054
0.0012,1.94345469,3.95510054
0.00121,1.95149489,4.00535179
0.00122,1.93541449,3.95510054
0.00123,1.95149489,4.10585431
0.00124,1.96757529,3.95510054
0.00125,1.94546474,4.15610556
0.00126,1.96355519,4.25660808
0.0012699999999999999,1.96556524,4.15610556
0.00128,1.96757529,4.15610556
0.0012900000000000001,1.93541449,4.30685933
0.0013,1.95953509,4.15610556
0.00131,1.91933409,4.30685933
0.00132,1.95149489,4.15610556
0.00133,1.94948484,4.35711059
0.00134,1.94345469,4.25660808
0.00135,1.94144464,4.55811562
0.0013599999999999999,1.95149489,4.55811562
0.00137,1.92134414,4.35711059
0.0013800000000000002,1.95149489,4.35711059
0.00139,1.95350494,4.55811562
0.0014,1.96757529,4.35711059
0.00141,1.95551499,4.50786436
0.0014199999999999998,1.95551499,4.55811562
0.00143,1.93943459,4.55811562
0.00144,1.95149489,4.55811562
0.00145,1.91933409,4.75912064
0.00146,1.93139439,4.65861813
0.00147,1.93340444,4.60836687
0.00148,1.94345469,4.55811562
0.00149,1.94546474,4.85962316
0.0015,1.92737429,4.75912064
0.00151,1.94948484,4.75912064
