Time (s),Bulb Response Voltage (V),Source Voltage (V)
9e-05,1.67028894,0.33701006
0.0001,1.64616834,0.23650754
0.00011,1.67832914,0.33701006
0.00011999999999999999,1.64214824,0.53801508
0.00013000000000000002,1.65621859,0.48776383
0.00014,1.65822864,0.53801508
0.00015,1.66425879,0.53801508
0.00016,1.67430904,0.53801508
0.00016999999999999999,1.67631909,0.58826634
0.00018,1.67028894,0.53801508
0.00018999999999999998,1.67430904,0.53801508
0.0002,1.66626884,0.53801508
0.00021,1.65822864,0.53801508
0.00022,1.66224874,0.53801508
0.00022999999999999998,1.63410804,0.53801508
0.00023999999999999998,1.63410804,0.53801508
0.00025,1.63209799,0.73902011
0.00026000000000000003,1.65822864,0.6385175999999999
0.00027,1.65018844,0.78927137
0.00028,1.65822864,0.73902011
0.00029,1.65018844,0.73902011
0.0003,1.65018844,0.83952262
0.00031,1.64616834,0.94002514
0.00032,1.67430904,0.94002514
0.00033,1.65621859,0.94002514
0.00033999999999999997,1.65420854,0.83952262
0.00035,1.63008794,0.88977388
0.00036,1.66626884,0.94002514
0.00037,1.65018844,1.14103016
0.00037999999999999997,1.67832914,1.04052765
0.00039,1.66425879,1.14103016
0.0004,1.65018844,1.14103016
0.00041,1.63611809,1.19128142
0.00042,1.65018844,1.14103016
0.00043,1.66425879,1.19128142
0.00044,1.66626884,1.34203519
0.00045,1.65822864,1.24153268
0.00045999999999999996,1.63812814,1.24153268
0.00047000000000000004,1.62204774,1.34203519
0.00047999999999999996,1.65822864,1.54304022
0.00049,1.65621859,1.39228645
0.0005,1.63008794,1.54304022
0.0005099999999999999,1.63611809,1.34203519
0.0005200000000000001,1.66626884,1.54304022
0.00053,1.65018844,1.54304022
0.00054,1.61802763,1.54304022
0.00055,1.62405779,1.59329147
0.00056,1.62606784,1.54304022
0.00057,1.63410804,1.89479901
0.00058,1.65018844,1.74404524
0.00059,1.64013819,1.89479901
0.0006,1.63410804,1.74404524
0.00061,1.62405779,1.89479901
0.00062,1.64616834,2.04555278
0.00063,1.62807789,1.94505027
0.00064,1.65018844,1.94505027
0.00065,1.63008794,2.09580404
0.00066,1.64214824,1.94505027
0.00067,1.64013819,2.1460553
0.0006799999999999999,1.61802763,2.1460553
0.0006900000000000001,1.64817839,2.1460553
0.0007,1.63008794,2.1460553
0.0007099999999999999,1.64214824,2.34706032
0.00072,1.62606784,2.1460553
0.00073,1.64817839,2.19630655
0.00074,1.62204774,2.24655781
0.00075,1.63410804,2.39731158
0.0007599999999999999,1.64214824,2.34706032
0.0007700000000000001,1.61199748,2.34706032
0.00078,1.63812814,2.64856786
0.00079,1.62606784,2.59831661
0.0008,1.64214824,2.54806535
0.00081,1.65822864,2.54806535
0.00082,1.63410804,2.74907038
0.0008300000000000001,1.64214824,2.69881912
0.00084,1.65018844,2.54806535
0.00085,1.63812814,2.74907038
0.00086,1.63410804,2.74907038
0.0008699999999999999,1.62606784,2.89982415
0.00088,1.63410804,2.74907038
0.0008900000000000002,1.63209799,2.79932163
0.0009,1.62606784,2.9500754000000002
0.00091,1.61802763,2.9500754000000002
0.0009199999999999999,1.60194723,2.9500754000000002
0.00093,1.62003769,3.10082917
0.0009400000000000001,1.62204774,2.9500754000000002
0.00095,1.63008794,2.9500754000000002
0.0009599999999999999,1.60998743,3.15108043
0.0009699999999999999,1.64013819,3.00032666
0.00098,1.63410804,3.35208546
0.00099,1.59189698,3.20133169
0.001,1.58586683,3.15108043
0.00101,1.60797738,3.35208546
0.0010199999999999999,1.62606784,3.35208546
0.00103,1.63410804,3.40233671
0.0010400000000000001,1.61802763,3.35208546
0.00105,1.61199748,3.40233671
0.00106,1.60194723,3.35208546
0.00107,1.62405779,3.35208546
0.00108,1.62606784,3.55309048
0.00109,1.59993718,3.55309048
0.0011,1.61400753,3.653593
0.0011099999999999999,1.60998743,3.653593
0.00112,1.59390703,3.75409551
0.0011300000000000001,1.61802763,3.60334174
0.00114,1.59792713,3.653593
0.00115,1.59993718,3.75409551
0.00116,1.58586683,3.75409551
0.00117,1.58787688,3.90484928
0.00118,1.60194723,3.95510054
0.00119,1.62204774,3.75409551
0.0012,1.62606784,3.95510054
0.00121,1.60194723,3.80434677
0.00122,1.60194723,3.85459802
0.00123,1.61199748,4.15610556
0.00124,1.60998743,3.95510054
0.00125,1.61199748,4.10585431
0.00126,1.58988693,3.95510054
0.0012699999999999999,1.59390703,4.30685933
0.00128,1.60998743,4.15610556
0.0012900000000000001,1.60797738,3.95510054
0.0013,1.58988693,4.05560305
0.00131,1.59993718,4.15610556
0.00132,1.56978643,4.15610556
0.00133,1.58988693,4.15610556
0.00134,1.62204774,4.15610556
0.00135,1.60797738,4.20635682
0.0013599999999999999,1.60998743,4.15610556
0.00137,1.59591708,4.35711059
0.0013800000000000002,1.59390703,4.25660808
0.00139,1.59189698,4.35711059
0.0014,1.56978643,4.35711059
0.00141,1.59591708,4.35711059
0.0014199999999999998,1.59390703,4.35711059
0.00143,1.57179648,4.20635682
0.00144,1.58586683,4.15610556
0.00145,1.58184673,4.50786436
0.00146,1.59792713,4.35711059
0.00147,1.58586683,4.50786436
0.00148,1.59390703,4.35711059
0.00149,1.58184673,4.35711059
0.0015,1.58184673,4.55811562
0.00151,1.60998743,4.55811562
0.0015199999999999999,1.56174623,4.55811562
0.0015300000000000001,1.58586683,4.75912064
0.0015400000000000001,1.56174623,4.65861813
0.00155,1.58988693,4.75912064
0.00156,1.59390703,4.75912064
0.00157,1.58787688,4.75912064
0.00158,1.58988693,4.75912064
0.00159,1.57983668,4.75912064
0.0016,1.60194723,4.75912064
0.00161,1.58385678,4.8093719
0.00162,1.57782663,4.96012567
0.0016300000000000002,1.58988693,4.90987441
0.00164,1.59390703,4.75912064
0.00165,1.58586683,4.90987441
0.0016600000000000002,1.58988693,4.96012567
0.0016699999999999998,1.60998743,5.01037693
0.00168,1.56174623,5.1611307
0.0016899999999999999,1.56978643,4.96012567
0.0017,1.57782663,4.96012567
0.0017100000000000001,1.59591708,5.11087944
0.00172,1.57782663,4.96012567
0.00173,1.58586683,5.1611307
0.0017399999999999998,1.58586683,5.1611307
0.00175,1.55370603,5.1611307
0.00176,1.60998743,4.96012567
0.0017699999999999999,1.56978643,5.36213572
0.0017800000000000001,1.59390703,5.36213572
0.00179,1.58988693,5.31188447
0.0018,1.56978643,5.36213572
0.0018100000000000002,1.58184673,5.1611307
0.00182,1.56576633,5.36213572
0.00183,1.58385678,5.36213572
0.0018399999999999998,1.58586683,5.36213572
0.00185,1.57581658,5.36213572
0.00186,1.55772613,5.46263824
0.00187,1.59189698,5.56314075
0.0018800000000000002,1.60194723,5.36213572
0.0018899999999999998,1.58184673,5.56314075
0.0019,1.56174623,5.46263824
