Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,3.55695986,0.13600503
9e-05,3.58711061,0.13600503
0.0001,3.60520106,0.23650754
0.00011,3.61726136,0.2867588
0.00012,3.56500006,0.33701006
0.00013000000000000002,3.60118096,0.33701006
0.00014,3.59716086,0.33701006
0.00015,3.58510056,0.33701006
0.00016,3.58108046,0.13600503
0.00017,3.59314076,0.48776383
0.00018,3.57706036,0.33701006
0.00019,3.59716086,0.53801508
0.0002,3.59716086,0.53801508
0.00021,3.58510056,0.6385175999999999
0.00022,3.60922116,0.53801508
0.00023,3.60319101,0.53801508
0.00024,3.55695986,0.53801508
0.00025,3.5428895,0.73902011
0.00026000000000000003,3.54891966,0.6385175999999999
0.00027,3.57706036,0.68876885
0.00028,3.58108046,0.53801508
0.00029,3.56500006,0.73902011
0.0003,3.55293976,0.6385175999999999
0.00031,3.55092971,0.73902011
0.00032,3.55695986,0.73902011
0.00033,3.55092971,0.73902011
0.00034,3.55293976,0.73902011
0.00035,3.57103021,0.78927137
0.00036,3.56500006,0.94002514
0.00037,3.5428895,0.88977388
0.00038,3.53283925,0.94002514
0.00039,3.57103021,0.99027639
0.0004,3.56500006,1.14103016
0.00041,3.55695986,1.14103016
0.00042,3.57304026,1.24153268
0.00043,3.54489955,1.14103016
0.00044,3.57304026,1.14103016
0.00045,3.57304026,1.29178393
0.00046,3.52881915,1.14103016
0.00047,3.5268091,1.29178393
0.00048,3.51675885,1.34203519
0.00049,3.54891966,1.19128142
0.0005,3.52479905,1.34203519
0.0005099999999999999,3.5388693999999994,1.39228645
0.0005200000000000001,3.55695986,1.34203519
0.00053,3.55092971,1.54304022
0.00054,3.53685935,1.54304022
0.00055,3.52077895,1.54304022
0.00056,3.55695986,1.54304022
0.00057,3.54087945,1.59329147
0.00058,3.53685935,1.54304022
0.00059,3.51675885,1.69379399
0.0006,3.50871865,1.54304022
0.00061,3.5308292000000003,1.74404524
0.00062,3.52479905,1.74404524
0.00063,3.4946483,1.74404524
0.00064,3.51675885,1.94505027
0.00065,3.52077895,1.94505027
0.00066,3.50067845,1.94505027
0.00067,3.50067845,2.1460553
0.0006799999999999999,3.51675885,1.94505027
0.0006900000000000001,3.5268091,2.09580404
0.0007,3.52479905,2.1460553
0.0007099999999999999,3.5067086000000005,2.09580404
0.00072,3.53283925,2.1460553
0.00073,3.48459805,2.1460553
0.00074,3.50469855,2.24655781
0.00075,3.5107287000000005,2.1460553
0.0007599999999999999,3.50067845,2.1460553
0.0007700000000000001,3.52077895,2.19630655
0.00078,3.50469855,2.44756284
0.00079,3.522789,2.39731158
0.0008,3.46851765,2.34706032
0.00081,3.48057795,2.64856786
0.00082,3.50871865,2.54806535
0.0008300000000000001,3.482588,2.54806535
0.00084,3.47655785,2.54806535
0.00085,3.5067086000000005,2.69881912
0.00086,3.50871865,2.64856786
0.0008699999999999999,3.48057795,2.59831661
0.00088,3.46851765,2.9500754
0.0008900000000000002,3.46047745,2.74907038
0.0009,3.47253775,2.64856786
0.00091,3.49665835,2.79932163
0.00092,3.47655785,2.74907038
0.00093,3.50067845,2.9500754
0.00094,3.49665835,2.9500754
0.00095,3.46047745,2.9500754
0.00096,3.49263825,3.15108043
0.00097,3.4705277000000003,3.15108043
0.00098,3.46449755,3.05057792
0.00099,3.482588,2.9500754
0.001,3.48459805,3.15108043
0.00101,3.49263825,3.00032666
0.00102,3.48057795,3.15108043
0.00103,3.46851765,3.15108043
0.00104,3.46047745,3.35208546
0.00105,3.482588,3.20133169
0.00106,3.49263825,3.35208546
0.00107,3.49263825,3.50283923
0.00108,3.48459805,3.35208546
0.00109,3.47655785,3.45258797
0.0011,3.45243724,3.45258797
0.00111,3.46449755,3.40233671
0.00112,3.46047745,3.55309048
0.00113,3.4986684,3.55309048
0.00114,3.47655785,3.45258797
0.00115,3.48459805,3.60334174
0.00116,3.47655785,3.55309048
0.00117,3.4584674,3.60334174
0.00118,3.45243724,3.75409551
0.00119,3.43434679,3.90484928
0.0012,3.44439704,3.55309048
0.00121,3.47655785,3.75409551
0.00122,3.46047745,3.75409551
0.00123,3.4584674,3.653593
0.00124,3.43635684,3.75409551
0.00125,3.44037694,3.80434677
0.00126,3.46047745,3.95510054
