Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,2.24613689,0.33701006
9e-05,2.26623739,0.48776383
0.0001,2.23608664,0.33701006
0.00011,2.20593589,0.43751257
0.00012,2.22603639,0.33701006
0.00013000000000000002,2.20593589,0.38726131
0.00014,2.22603639,0.53801508
0.00015,2.22603639,0.53801508
0.00016,2.20593589,0.53801508
0.00017,2.20091076,0.6385175999999999
0.00018,2.16573488,0.6385175999999999
0.00019,2.17076001,0.58826634
0.0002,2.16573488,0.53801508
0.00021,2.15065951,0.53801508
0.00022,2.15568463,0.73902011
0.00023,2.18081026,0.68876885
0.00024,2.16573488,0.73902011
0.00025,2.19588564,0.73902011
0.00026000000000000003,2.14563438,0.73902011
0.00027,2.14060926,0.73902011
0.00028,2.12553388,0.73902011
0.00029,2.15065951,0.78927137
0.0003,2.13558413,0.94002514
0.00031,2.130559,0.94002514
0.00032,2.06523237,0.94002514
0.00033,2.07528262,1.04052765
0.00034,2.09538313,0.94002514
0.00035,2.0702575,1.14103016
0.00036,2.06523237,1.14103016
0.00037,2.0702575,1.14103016
0.00038,2.04513187,1.24153268
0.00039,2.10040825,1.14103016
0.0004,2.08533287,1.34203519
0.00041,2.06523237,1.29178393
0.00042,2.04513187,1.24153268
0.00043,2.02503137,1.34203519
0.00044,2.04513187,1.34203519
0.00045,2.06523237,1.49278896
0.00046,2.02503137,1.34203519
0.00047,1.99990574,1.39228645
0.00048,2.02503137,1.34203519
0.00049,2.03005649,1.49278896
0.0005,1.98483036,1.64354273
0.0005099999999999999,1.99990574,1.39228645
0.0005200000000000001,1.96472986,1.74404524
0.00053,2.02000624,1.54304022
0.00054,1.99488061,1.64354273
0.00055,1.95970473,1.69379399
0.00056,1.98483036,1.74404524
0.00057,1.96975499,1.74404524
0.00058,1.94462936,1.74404524
0.00059,1.96975499,1.89479901
0.0006,1.98483036,1.94505027
0.00061,1.94965448,1.94505027
0.00062,1.94462936,2.04555278
0.00063,1.94462936,1.94505027
0.00064,1.90442835,2.1460553
0.00065,1.93960423,2.1460553
0.00066,1.92452886,2.1460553
0.00067,1.88935298,2.34706032
0.0006799999999999999,1.94462936,2.34706032
0.0006900000000000001,1.88432785,2.34706032
0.0007,1.8943781,2.34706032
0.0007099999999999999,1.90442835,2.34706032
0.00072,1.86422735,2.34706032
0.00073,1.88935298,2.49781409
0.00074,1.90442835,2.64856786
0.00075,1.84412685,2.49781409
0.0007599999999999999,1.86422735,2.74907038
0.0007700000000000001,1.84915197,2.54806535
0.00078,1.8340766,2.74907038
0.00079,1.86422735,2.54806535
0.0008,1.86422735,2.74907038
0.00081,1.84915197,2.74907038
0.00082,1.8340766,2.64856786
0.0008300000000000001,1.80895097,2.89982415
0.00084,1.86422735,2.74907038
0.00085,1.81900122,2.9500754
0.00086,1.80392584,2.84957289
0.0008699999999999999,1.80895097,3.00032666
0.00088,1.78382534,2.9500754
0.0008900000000000002,1.81397609,2.9500754
0.0009,1.80392584,2.9500754
0.00091,1.77880021,3.15108043
0.00092,1.80392584,3.15108043
0.00093,1.78382534,3.10082917
0.00094,1.78382534,3.15108043
0.00095,1.78382534,3.20133169
0.00096,1.78382534,3.35208546
0.00097,1.74362434,3.20133169
0.00098,1.76372484,3.45258797
0.00099,1.74362434,3.35208546
0.001,1.76372484,3.35208546
0.00101,1.76372484,3.35208546
0.00102,1.72352383,3.653593
0.00103,1.72352383,3.35208546
0.00104,1.74362434,3.55309048
0.00105,1.70342333,3.40233671
0.00106,1.73357408,3.55309048
0.00107,1.73357408,3.55309048
0.00108,1.72352383,3.55309048
