Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,-0.01092968,0.13600503
9e-05,0.0242462,0.33701006
0.0001,-0.00087943,0.43751257
0.00011,0.01922107,0.33701006
0.00012,-0.01092968,0.33701006
0.00013000000000000002,0.02927132,0.48776383
0.00014,0.01922107,0.53801508
0.00015,0.03932157,0.48776383
0.00016,0.02927132,0.73902011
0.00017,0.01419594,0.73902011
0.00018,0.01922107,0.53801508
0.00019,0.01419594,0.73902011
0.0002,0.02927132,0.73902011
0.00021,0.01922107,0.73902011
0.00022,0.03932157,0.73902011
0.00023,0.02927132,0.88977388
0.00024,0.00917082,0.73902011
0.00025,0.01419594,0.73902011
0.00026000000000000003,-0.01092968,0.53801508
0.00027,0.0242462,0.73902011
0.00028,0.02927132,0.73902011
0.00029,0.02927132,0.88977388
0.0003,-0.01092968,0.73902011
0.00031,-0.00590456,0.94002514
0.00032,-0.01092968,1.14103016
0.00033,-0.01092968,0.94002514
0.00034,0.01922107,1.04052765
0.00035,0.01419594,1.04052765
0.00036,0.02927132,0.94002514
0.00037,-0.00087943,1.14103016
0.00038,0.01922107,1.14103016
0.00039,-0.00590456,1.14103016
0.0004,0.00917082,1.34203519
0.00041,0.01419594,1.14103016
0.00042,0.02927132,1.34203519
0.00043,0.01922107,1.29178393
0.00044,0.02927132,1.34203519
0.00045,0.00414569,1.34203519
0.00046,0.01922107,1.4425377
0.00047,0.02927132,1.54304022
0.00048,0.00917082,1.54304022
0.00049,-0.00087943,1.49278896
0.0005,-0.00087943,1.54304022
0.0005099999999999999,0.01922107,1.54304022
0.0005200000000000001,0.00917082,1.74404524
0.00053,0.01922107,1.59329147
0.00054,0.03932157,1.74404524
0.00055,0.00917082,1.74404524
0.00056,0.02927132,1.74404524
0.00057,0.02927132,1.74404524
0.00058,-0.00087943,1.94505027
0.00059,0.01419594,1.7942965
0.0006,0.02927132,1.94505027
0.00061,0.01419594,1.94505027
0.00062,-0.00087943,2.04555278
0.00063,0.01922107,2.1460553
0.00064,-0.01092968,1.94505027
0.00065,0.03429645,2.09580404
0.00066,-0.00087943,2.1460553
0.00067,-0.00590456,2.19630655
0.0006799999999999999,0.00917082,2.34706032
0.0006900000000000001,-0.00087943,2.34706032
0.0007,0.00917082,2.44756284
0.0007099999999999999,-0.00590456,2.34706032
0.00072,-0.01092968,2.34706032
0.00073,0.00917082,2.54806535
0.00074,0.02927132,2.44756284
0.00075,0.03429645,2.49781409
