Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,2.75358035,0.13600503
9e-05,2.7555904,0.2867588
0.0001,2.79780146,0.33701006
0.00011,2.78775121,0.33701006
0.00012,2.77770096,0.13600503
0.00013000000000000002,2.74956025,0.33701006
0.00014,2.74152005,0.33701006
0.00015,2.79378136,0.38726131
0.00016,2.78574116,0.73902011
0.00017,2.74554015,0.38726131
0.00018,2.77770096,0.43751257
0.00019,2.77770096,0.53801508
0.0002,2.73749995,0.53801508
0.00021,2.75358035,0.68876885
0.00022,2.76162056,0.53801508
0.00023,2.76966076,0.58826634
0.00024,2.73749995,0.53801508
0.00025,2.76966076,0.73902011
0.00026000000000000003,2.76564066,0.73902011
0.00027,2.77167081,0.73902011
0.00028,2.72945975,0.53801508
0.00029,2.76765071,0.73902011
0.0003,2.74554015,0.73902011
0.00031,2.7475502,0.88977388
0.00032,2.72945975,0.73902011
0.00033,2.7596105,0.88977388
0.00034,2.73347985,1.04052765
0.00035,2.73749995,0.99027639
0.00036,2.76162056,1.34203519
0.00037,2.74554015,0.94002514
0.00038,2.74956025,1.04052765
0.00039,2.73951,1.09077891
0.0004,2.73749995,1.14103016
0.00041,2.7314698,1.14103016
0.00042,2.74554015,1.24153268
0.00043,2.76765071,1.09077891
0.00044,2.75358035,1.14103016
0.00045,2.7194095000000003,1.19128142
0.00046,2.72141955,1.34203519
0.00047,2.72543965,1.29178393
0.00048,2.68925875,1.34203519
0.00049,2.73749995,1.34203519
0.0005,2.73749995,1.34203519
0.0005099999999999999,2.6912688,1.49278896
0.0005200000000000001,2.71337935,1.74404524
0.00053,2.72543965,1.64354273
0.00054,2.74956025,1.64354273
0.00055,2.7073492000000003,1.74404524
0.00056,2.71337935,1.74404524
0.00057,2.73347985,1.59329147
0.00058,2.73347985,1.74404524
0.00059,2.7033291,1.74404524
0.0006,2.74554015,1.74404524
0.00061,2.7153894,1.94505027
0.00062,2.68523865,1.84454776
0.00063,2.7073492000000003,1.94505027
0.00064,2.72945975,2.1460553
0.00065,2.699309,1.99530153
0.00066,2.69327885,2.24655781
0.00067,2.7033291,2.1460553
0.0006799999999999999,2.72141955,1.94505027
0.0006900000000000001,2.72945975,2.24655781
0.0007,2.70131905,2.34706032
0.0007099999999999999,2.7314698,2.34706032
0.00072,2.72141955,2.34706032
0.00073,2.69327885,2.34706032
0.00074,2.68925875,2.44756284
0.00075,2.70131905,2.29680907
0.0007599999999999999,2.70533915,2.34706032
0.0007700000000000001,2.7274497,2.34706032
0.00078,2.69327885,2.54806535
0.00079,2.7033291,2.54806535
0.0008,2.70533915,2.74907038
0.00081,2.67116829,2.69881912
0.00082,2.67719845,2.64856786
0.0008300000000000001,2.67116829,2.89982415
0.00084,2.69729895,2.74907038
0.00085,2.69327885,2.84957289
0.00086,2.68121855,2.74907038
0.0008699999999999999,2.65307784,2.74907038
0.00088,2.69729895,2.9500754
0.0008900000000000002,2.6912688,2.89982415
0.0009,2.66915824,3.05057792
0.00091,2.68121855,3.00032666
0.00092,2.64101754,2.9500754
0.00093,2.64302759,2.9500754
0.00094,2.66513814,2.9500754
0.00095,2.65106779,3.00032666
0.00096,2.63297734,3.35208546
0.00097,2.64905774,3.15108043
0.00098,2.65307784,3.25158294
0.00099,2.67317834,3.3018342000000005
0.001,2.64101754,3.15108043
0.00101,2.63699744,3.35208546
0.00102,2.66111804,3.35208546
0.00103,2.65910799,3.35208546
0.00104,2.62493714,3.55309048
0.00105,2.68121855,3.35208546
0.00106,2.63699744,3.45258797
0.00107,2.62292709,3.50283923
0.00108,2.63297734,3.75409551
0.00109,2.63900749,3.55309048
0.0011,2.64905774,3.55309048
0.00111,2.62895724,3.75409551
0.00112,2.61689694,3.75409551
0.00113,2.65106779,3.653593
0.00114,2.64503764,3.75409551
0.00115,2.60885674,3.75409551
0.00116,2.67317834,3.75409551
0.00117,2.64503764,3.75409551
0.00118,2.61287684,3.75409551
0.00119,2.64905774,3.75409551
0.0012,2.60885674,3.95510054
0.00121,2.62091704,3.95510054
0.00122,2.64905774,3.95510054
0.00123,2.61287684,3.95510054
0.00124,2.61689694,4.15610556
0.00125,2.62895724,3.95510054
0.00126,2.60885674,3.95510054
0.00127,2.60282659,4.10585431
0.00128,2.60885674,3.95510054
0.00129,2.59277634,4.30685933
0.0013,2.60483664,4.35711059
0.00131,2.61287684,4.15610556
0.00132,2.59277634,4.35711059
0.00133,2.62292709,4.15610556
0.00134,2.61287684,4.25660808
0.00135,2.62091704,4.30685933
0.00136,2.64101754,4.55811562
0.00137,2.60885674,4.55811562
0.0013800000000000002,2.61287684,4.35711059
0.00139,2.58875624,4.35711059
0.0014,2.60081654,4.55811562
0.00141,2.58071603,4.35711059
0.0014199999999999998,2.60081654,4.55811562
0.00143,2.61287684,4.55811562
0.00144,2.61689694,4.55811562
0.00145,2.59277634,4.55811562
0.00146,2.58071603,4.65861813
0.00147,2.59478639,4.60836687
0.00148,2.61689694,4.55811562
0.00149,2.59880649,4.55811562
0.0015,2.61689694,4.65861813
0.00151,2.58071603,4.70886939
0.00152,2.56865573,4.75912064
0.00153,2.58674619,4.75912064
0.00154,2.59277634,4.75912064
0.00155,2.56061553,4.8093719
0.00156,2.56061553,4.96012567
0.00157,2.56463563,5.01037693
0.00158,2.56061553,4.85962316
0.00159,2.56664568,4.96012567
0.0016,2.55257533,4.96012567
0.00161,2.57066578,5.11087944
0.00162,2.57669593,5.06062818
0.0016300000000000002,2.57267583,5.11087944
0.00164,2.56061553,5.1611307
0.00165,2.54855523,5.01037693
0.0016600000000000002,2.54453513,5.1611307
0.0016699999999999998,2.57870598,5.01037693
0.00168,2.55257533,5.1611307
0.00169,2.53850498,5.1611307
0.0017,2.56061553,5.06062818
0.00171,2.58071603,5.36213572
0.00172,2.56865573,5.1611307
0.00173,2.54252508,5.41238698
0.0017399999999999998,2.53247483,5.1611307
0.00175,2.54252508,5.1611307
0.00176,2.56061553,5.1611307
0.00177,2.53649493,5.36213572
0.00178,2.54855523,5.46263824
0.00179,2.53046478,5.36213572
0.0018,2.51237433,5.56314075
0.00181,2.53046478,5.56314075
0.00182,2.55257533,5.56314075
0.00183,2.52644468,5.41238698
0.00184,2.52041453,5.36213572
0.00185,2.55458538,5.61339201
0.00186,2.50433413,5.46263824
0.00187,2.53247483,5.61339201
0.00188,2.54453513,5.56314075
0.00189,2.51438438,5.66364326
0.0019,2.53247483,5.66364326
0.00191,2.49629392,5.76414578
0.00192,2.56865573,5.76414578
0.00193,2.51438438,5.76414578
0.00194,2.50433413,5.76414578
0.00195,2.54051503,5.76414578
0.00196,2.52845473,5.76414578
0.00197,2.49428387,5.76414578
0.00198,2.56061553,5.86464829
0.00199,2.50031403,5.81439703
0.002,2.50433413,5.76414578
0.00201,2.53649493,5.9651508
0.00202,2.49629392,6.16615583
0.00203,2.49629392,6.3169096
0.00204,2.51237433,6.16615583
0.00205,2.52443463,6.16615583
0.00206,2.48423362,6.06565332
0.00207,2.53046478,6.21640709
0.0020800000000000003,2.48825372,6.16615583
0.00209,2.52644468,6.11590457
0.0021,2.53649493,6.16615583
0.0021100000000000003,2.49830397,6.21640709
0.00212,2.51237433,6.16615583
0.00213,2.50433413,6.36716086
0.00214,2.50433413,6.26665834
0.00215,2.52041453,6.3169096
0.00216,2.48825372,6.36716086
0.00217,2.50232408,6.56816588
0.00218,2.53649493,6.56816588
0.00219,2.50031403,6.51791463
0.0022,2.48825372,6.56816588
0.00221,2.51237433,6.56816588
0.00222,2.49227382,6.56816588
0.00223,2.51036428,6.56816588
0.00224,2.50433413,6.76917091
0.00225,2.50835423,6.61841714
0.0022600000000000003,2.53247483,6.6686684000000005
0.00227,2.53247483,6.56816588
0.00228,2.48825372,6.76917091
0.00229,2.50433413,6.61841714
0.0023,2.52041453,6.76917091
0.00231,2.54051503,6.81942217
0.00232,2.51237433,6.97017594
0.00233,2.51639443,6.81942217
0.00234,2.52845473,6.76917091
0.00235,2.55056528,6.97017594
0.00236,2.50433413,7.17118096
0.00237,2.51237433,6.97017594
0.00238,2.54051503,6.97017594
0.00239,2.52443463,7.12092971
0.0024,2.56865573,6.97017594
0.00241,2.54453513,7.02042719
0.00242,2.52845473,7.17118096
0.00243,2.56865573,7.12092971
0.00244,2.52041453,7.17118096
0.00245,2.52845473,7.17118096
0.00246,2.54453513,7.27168348
0.00247,2.56664568,7.17118096
0.00248,2.51237433,6.97017594
0.00249,2.54855523,7.37218599
0.0025,2.56463563,7.17118096
0.00251,2.54252508,7.07067845
0.00252,2.56061553,7.17118096
0.00253,2.55659543,7.4726884999999985
0.00254,2.58071603,7.37218599
0.00255,2.55458538,7.37218599
0.00256,2.55257533,7.37218599
0.00257,2.60684669,7.37218599
0.0025800000000000003,2.58875624,7.4726884999999985
0.00259,2.55659543,7.22143222
0.0026,2.60885674,7.57319102
0.0026100000000000003,2.58071603,7.37218599
0.00262,2.57267583,7.4726884999999985
0.00263,2.59478639,7.52293976
0.00264,2.56061553,7.37218599
0.00265,2.56865573,7.57319102
0.00266,2.57267583,7.57319102
0.00267,2.59679644,7.92494981
0.00268,2.61689694,7.57319102
0.00269,2.61287684,7.77419604
0.0027,2.56865573,7.67369353
0.00271,2.63297734,7.77419604
0.00272,2.62493714,7.77419604
0.00273,2.57468588,7.77419604
0.00274,2.61287684,7.97520107
0.00275,2.60885674,7.92494981
0.0027600000000000003,2.58473613,7.97520107
0.00277,2.62694719,7.92494981
0.00278,2.62493714,7.87469856
0.00279,2.62292709,7.97520107
0.0028,2.64905774,7.77419604
0.00281,2.64101754,7.92494981
0.00282,2.62493714,8.07570358
0.00283,2.65910799,8.07570358
0.00284,2.61689694,8.1762061
0.00285,2.64905774,8.02545233
0.00286,2.65709794,7.97520107
0.00287,2.65709794,8.02545233
0.00288,2.62493714,7.97520107
0.00289,2.66513814,7.97520107
0.0029,2.63699744,8.07570358
0.0029100000000000003,2.67317834,8.1762061
0.00292,2.64101754,8.1762061
0.00293,2.66111804,8.1762061
0.00294,2.67719845,8.1762061
0.00295,2.68523865,8.02545233
0.00296,2.66513814,8.1762061
0.00297,2.6872487,8.1762061
0.00298,2.67317834,8.1762061
0.00299,2.65508789,8.02545233
0.003,2.67317834,8.1762061
0.00301,2.6792085,8.1762061
0.00302,2.69729895,8.27670861
0.00303,2.68523865,8.22645735
0.00304,2.69729895,8.1762061
0.00305,2.70935925,8.12595484
0.00306,2.71739945,8.27670861
0.00307,2.72141955,8.37721112
0.0030800000000000003,2.69729895,8.37721112
0.00309,2.699309,8.32695987
0.0031,2.72141955,8.1762061
0.0031100000000000004,2.6952889,8.52796489
0.00312,2.70533915,8.1762061
0.00313,2.70935925,8.22645735
0.00314,2.70131905,8.37721112
0.00315,2.7033291,8.37721112
0.00316,2.71337935,8.1762061
0.00317,2.72141955,8.37721112
0.00318,2.73347985,8.37721112
0.00319,2.7234296,8.52796489
0.0032,2.74554015,8.37721112
0.00321,2.74554015,8.22645735
0.00322,2.74152005,8.57821615
0.00323,2.72945975,8.57821615
0.00324,2.74554015,8.37721112
0.00325,2.7515703,8.52796489
0.0032600000000000003,2.75358035,8.47771364
0.0032700000000000003,2.74554015,8.57821615
0.00328,2.72945975,8.37721112
0.00329,2.76162056,8.37721112
0.0033,2.79378136,8.47771364
0.00331,2.77167081,8.52796489
0.0033200000000000005,2.73749995,8.37721112
0.00333,2.77971101,8.57821615
0.00334,2.74554015,8.67871866
0.00335,2.74956025,8.37721112
0.00336,2.78574116,8.57821615
0.00337,2.78172106,8.57821615
0.00338,2.77368086,8.57821615
0.00339,2.77368086,8.72896992
0.0034,2.77770096,8.57821615
0.0034100000000000003,2.78172106,8.57821615
0.0034200000000000003,2.79378136,8.57821615
0.00343,2.76564066,8.57821615
0.00344,2.80986176,8.57821615
0.00345,2.79981151,8.57821615
0.00346,2.78574116,8.67871866
0.0034700000000000004,2.79579141,8.57821615
0.00348,2.80182156,8.77922118
0.00349,2.78976126,8.57821615
0.0035,2.81388186,8.67871866
0.00351,2.81589191,8.77922118
0.00352,2.79378136,8.77922118
0.00353,2.81388186,8.57821615
0.00354,2.82594216,8.77922118
0.00355,2.83197231,8.62846741
0.00356,2.79378136,8.77922118
0.0035700000000000007,2.83197231,8.72896992
0.00358,2.85006277,8.67871866
