Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,1.62993713,0.13600503
9e-05,1.65204769,0.33701006
0.0001,1.62993713,0.43751257
0.00011,1.61385673,0.33701006
0.00012,1.63797734,0.13600503
0.00013000000000000002,1.65606779,0.53801508
0.00014,1.63395724,0.33701006
0.00015,1.63194718,0.38726131
0.00016,1.65405774,0.53801508
0.00017,1.64601754,0.53801508
0.00018,1.64199744,0.6385175999999999
0.00019,1.64199744,0.68876885
0.0002,1.59777633,0.73902011
0.00021,1.63194718,0.58826634
0.00022,1.61787683,0.73902011
0.00023,1.61586678,0.43751257
0.00024,1.63797734,0.73902011
0.00025,1.64802759,0.58826634
0.00026000000000000003,1.63797734,0.73902011
0.00027,1.61586678,0.73902011
0.00028,1.62993713,0.73902011
0.00029,1.62792708,0.94002514
0.0003,1.60983663,0.83952262
0.00031,1.60581653,0.78927137
0.00032,1.61385673,1.14103016
0.00033,1.61385673,0.94002514
0.00034,1.62993713,0.94002514
0.00035,1.63998739,0.94002514
0.00036,1.63797734,1.14103016
0.00037,1.60179643,1.09077891
0.00038,1.63797734,1.14103016
0.00039,1.62993713,1.29178393
0.0004,1.62189693,1.14103016
0.00041,1.62591703,1.14103016
0.00042,1.63395724,1.24153268
0.00043,1.61988688,1.34203519
0.00044,1.57365573,1.14103016
0.00045,1.60983663,1.34203519
0.00046,1.61787683,1.34203519
0.00047,1.59978638,1.49278896
0.00048,1.60581653,1.34203519
0.00049,1.59174618,1.54304022
0.0005,1.60983663,1.54304022
0.0005099999999999999,1.61385673,1.49278896
0.0005200000000000001,1.61385673,1.34203519
0.00053,1.62189693,1.49278896
0.00054,1.60581653,1.64354273
0.00055,1.58370598,1.69379399
0.00056,1.58169593,1.94505027
0.00057,1.59576628,1.59329147
0.00058,1.60179643,1.84454776
0.00059,1.60782658,1.74404524
0.0006,1.58169593,2.1460553
0.00061,1.61184668,1.99530153
0.00062,1.59375623,2.04555278
0.00063,1.58772608,1.99530153
0.00064,1.58169593,1.74404524
0.00065,1.58973613,2.1460553
0.00066,1.58973613,2.24655781
0.00067,1.57164568,2.19630655
0.0006799999999999999,1.59777633,2.34706032
0.0006900000000000001,1.59174618,2.19630655
0.0007,1.59375623,2.34706032
0.0007099999999999999,1.59174618,2.34706032
0.00072,1.60581653,2.34706032
0.00073,1.58169593,2.34706032
0.00074,1.57767583,2.44756284
0.00075,1.59777633,2.49781409
0.0007599999999999999,1.60581653,2.54806535
0.0007700000000000001,1.58370598,2.54806535
0.00078,1.57767583,2.54806535
0.00079,1.61385673,2.74907038
0.0008,1.58973613,2.54806535
0.00081,1.58772608,2.74907038
0.00082,1.60179643,2.64856786
0.0008300000000000001,1.56360548,2.74907038
0.00084,1.58169593,2.9500754
0.00085,1.58370598,2.74907038
0.00086,1.59375623,2.74907038
0.0008699999999999999,1.58772608,2.79932163
0.00088,1.55757533,2.74907038
0.0008900000000000002,1.59576628,2.9500754
0.0009,1.57767583,2.9500754
0.00091,1.58772608,2.9500754
0.00092,1.56561553,2.9500754
0.00093,1.58973613,2.9500754
0.00094,1.57365573,3.15108043
0.00095,1.58169593,3.15108043
0.00096,1.57365573,3.15108043
0.00097,1.56561553,3.20133169
0.00098,1.56963563,3.25158294
0.00099,1.56963563,3.50283923
0.001,1.58169593,3.35208546
0.00101,1.56360548,3.20133169
0.00102,1.57767583,3.35208546
0.00103,1.56360548,3.35208546
0.00104,1.58973613,3.35208546
0.00105,1.55958538,3.50283923
0.00106,1.58973613,3.653593
0.00107,1.57164568,3.40233671
0.00108,1.56561553,3.55309048
0.00109,1.57767583,3.55309048
0.0011,1.57767583,3.55309048
0.00111,1.54350497,3.70384425
0.00112,1.55757533,3.75409551
0.00113,1.55757533,3.75409551
0.00114,1.56963563,3.75409551
0.00115,1.56963563,3.95510054
0.00116,1.58169593,3.75409551
0.00117,1.55556528,3.95510054
0.00118,1.55757533,3.85459802
0.00119,1.53747482,3.75409551
0.0012,1.56561553,3.95510054
0.00121,1.55154518,4.00535179
0.00122,1.56159543,3.95510054
0.00123,1.56963563,3.95510054
0.00124,1.57365573,4.15610556
0.00125,1.57968588,4.10585431
0.00126,1.55355523,4.15610556
0.00127,1.54551503,4.10585431
0.00128,1.56561553,4.35711059
0.00129,1.54149492,4.30685933
0.0013,1.56159543,4.35711059
0.00131,1.53546477,4.30685933
0.00132,1.56561553,4.15610556
0.00133,1.58772608,4.35711059
0.00134,1.56561553,4.35711059
0.00135,1.54551503,4.35711059
0.00136,1.54149492,4.35711059
0.00137,1.54149492,4.40736185
0.0013800000000000002,1.54551503,4.4576131
0.00139,1.54551503,4.50786436
0.0014,1.55757533,4.55811562
0.00141,1.56963563,4.35711059
0.0014199999999999998,1.53747482,4.55811562
0.00143,1.54953513,4.55811562
0.00144,1.58169593,4.55811562
0.00145,1.54953513,4.70886939
0.00146,1.55355523,4.65861813
0.00147,1.53345472,4.65861813
0.00148,1.54953513,4.55811562
0.00149,1.54149492,4.75912064
0.0015,1.55355523,4.75912064
0.00151,1.54752508,4.70886939
0.00152,1.54953513,4.75912064
0.00153,1.55757533,4.8093719
0.00154,1.56561553,4.75912064
0.00155,1.56360548,5.11087944
0.00156,1.55757533,4.75912064
0.00157,1.54149492,4.90987441
0.00158,1.55757533,5.06062818
0.00159,1.55355523,4.96012567
0.0016,1.54149492,4.96012567
0.00161,1.55958538,5.01037693
0.00162,1.54551503,5.06062818
0.0016300000000000002,1.52541452,4.96012567
0.00164,1.55757533,5.1611307
0.00165,1.55154518,5.11087944
0.0016600000000000002,1.55355523,5.26163321
0.0016699999999999998,1.56360548,5.1611307
0.00168,1.54149492,5.36213572
0.00169,1.53948487,5.1611307
0.0017,1.53345472,5.26163321
0.00171,1.52541452,5.36213572
0.00172,1.56561553,5.36213572
0.00173,1.55355523,5.31188447
0.0017399999999999998,1.53747482,5.36213572
0.00175,1.54149492,5.36213572
0.00176,1.54953513,5.36213572
0.00177,1.55556528,5.36213572
0.00178,1.55355523,5.46263824
0.00179,1.54551503,5.51288949
0.0018,1.54149492,5.36213572
0.00181,1.53345472,5.41238698
0.00182,1.54149492,5.46263824
0.00183,1.55556528,5.56314075
0.00184,1.54953513,5.56314075
0.00185,1.51938437,5.46263824
0.00186,1.53345472,5.76414578
0.00187,1.54149492,5.56314075
0.00188,1.56561553,5.56314075
0.00189,1.54953513,5.76414578
0.0019,1.53747482,5.66364326
0.00191,1.53948487,5.61339201
0.00192,1.54953513,5.76414578
0.00193,1.55757533,5.76414578
0.00194,1.52943462,5.86464829
0.00195,1.52340447,5.76414578
0.00196,1.55757533,5.9651508
0.00197,1.57767583,5.9651508
0.00198,1.54551503,5.9651508
0.00199,1.53345472,6.01540206
0.002,1.51737432,6.16615583
0.00201,1.55154518,6.01540206
0.00202,1.52541452,6.06565332
0.00203,1.54551503,5.9651508
0.00204,1.53345472,6.16615583
0.00205,1.54350497,6.11590457
0.00206,1.53345472,6.16615583
0.00207,1.52340447,6.16615583
0.0020800000000000003,1.55757533,6.36716086
0.00209,1.55958538,6.16615583
0.0021,1.52943462,6.36716086
0.0021100000000000003,1.54551503,6.36716086
0.00212,1.55757533,6.36716086
0.00213,1.54752508,6.41741211
0.00214,1.53747482,6.26665834
0.00215,1.52541452,6.56816588
0.00216,1.51737432,6.56816588
0.00217,1.52541452,6.36716086
0.00218,1.53747482,6.46766337
0.00219,1.56561553,6.36716086
0.0022,1.55757533,6.56816588
0.00221,1.54149492,6.56816588
0.00222,1.54953513,6.56816588
0.00223,1.55355523,6.71891965
0.00224,1.54149492,6.56816588
0.00225,1.53345472,6.76917091
0.0022600000000000003,1.53345472,6.56816588
0.00227,1.53144467,6.76917091
0.00228,1.54149492,6.76917091
0.00229,1.51737432,6.76917091
0.0023,1.56159543,6.86967342
0.00231,1.53144467,6.76917091
0.00232,1.56561553,6.97017594
0.00233,1.56360548,6.97017594
0.00234,1.54149492,7.07067845
0.00235,1.53144467,6.81942217
0.00236,1.52541452,6.97017594
0.00237,1.54953513,7.12092971
0.00238,1.54149492,6.86967342
0.00239,1.53948487,7.12092971
0.0024,1.55757533,6.97017594
0.00241,1.55757533,6.97017594
0.00242,1.54953513,7.07067845
0.00243,1.55154518,7.02042719
0.00244,1.52541452,7.17118096
0.00245,1.51938437,7.17118096
0.00246,1.55757533,7.17118096
0.00247,1.55757533,7.37218599
0.00248,1.55757533,6.97017594
0.00249,1.55757533,7.22143222
0.0025,1.55757533,7.27168348
0.00251,1.53144467,7.32193473
0.00252,1.56561553,7.37218599
0.00253,1.55757533,7.37218599
0.00254,1.55355523,7.4726884999999985
0.00255,1.53345472,7.57319102
0.00256,1.53345472,7.57319102
0.00257,1.55757533,7.57319102
0.0025800000000000003,1.54551503,7.57319102
0.00259,1.55958538,7.62344227
0.0026,1.54953513,7.57319102
0.0026100000000000003,1.54350497,7.57319102
0.00262,1.56159543,7.57319102
0.00263,1.54551503,7.57319102
0.00264,1.54149492,7.57319102
0.00265,1.53948487,7.62344227
0.00266,1.55757533,7.57319102
0.00267,1.55154518,7.77419604
0.00268,1.57365573,7.57319102
0.00269,1.53747482,7.77419604
0.0027,1.55355523,7.67369353
0.00271,1.55355523,7.57319102
0.00272,1.53345472,7.77419604
0.00273,1.54953513,7.8244473
0.00274,1.53747482,7.97520107
0.00275,1.57767583,8.02545233
0.0027600000000000003,1.57365573,7.97520107
0.00277,1.56762558,7.97520107
0.00278,1.56963563,7.97520107
0.00279,1.57968588,7.97520107
0.0028,1.52541452,8.1762061
0.00281,1.53747482,7.97520107
0.00282,1.54551503,7.97520107
0.00283,1.55355523,8.02545233
0.00284,1.55757533,8.1762061
0.00285,1.55757533,8.12595484
0.00286,1.58169593,7.97520107
0.00287,1.54953513,8.02545233
0.00288,1.58169593,7.97520107
0.00289,1.55355523,8.1762061
0.0029,1.55757533,8.07570358
0.0029100000000000003,1.56963563,8.12595484
0.00292,1.54149492,8.1762061
0.00293,1.53948487,8.1762061
0.00294,1.54953513,8.27670861
0.00295,1.56762558,8.1762061
0.00296,1.58973613,7.97520107
0.00297,1.54953513,8.22645735
0.00298,1.57767583,8.37721112
0.00299,1.56963563,8.22645735
0.003,1.54953513,8.1762061
0.00301,1.56360548,8.22645735
0.00302,1.58169593,8.27670861
0.00303,1.55958538,8.1762061
0.00304,1.54149492,8.1762061
0.00305,1.60380648,8.32695987
0.00306,1.56963563,8.1762061
0.00307,1.57566578,8.1762061
0.0030800000000000003,1.55757533,8.37721112
0.00309,1.57968588,8.22645735
