Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,3.47817841,0.33701006
9e-05,3.47415831,0.13600503
0.0001,3.47013821,0.23650754
0.00011,3.48018846,0.13600503
0.00012,3.47817841,0.53801508
0.00013000000000000002,3.45606786,0.33701006
0.00014,3.47013821,0.53801508
0.00015,3.49425881,0.33701006
0.00016,3.45405781,0.53801508
0.00017,3.46008796,0.53801508
0.00018,3.45405781,0.33701006
0.00019,3.46812816,0.38726131
0.0002,3.48621861,0.53801508
0.00021,3.45606786,0.53801508
0.00022,3.46611811,0.53801508
0.00023,3.46008796,0.53801508
0.00024,3.48621861,0.53801508
0.00025,3.47817841,0.68876885
0.00026000000000000003,3.45405781,0.6385175999999999
0.00027,3.48018846,0.58826634
0.00028,3.43797741,0.73902011
0.00029,3.46008796,0.68876885
0.0003,3.43797741,0.73902011
0.00031,3.45204776,0.58826634
0.00032,3.43797741,0.94002514
0.00033,3.43998746,0.73902011
0.00034,3.45003771,0.83952262
0.00035,3.46209801,0.94002514
0.00036,3.47817841,1.14103016
0.00037,3.47013821,0.99027639
0.00038,3.44601761,0.94002514
0.00039,3.45807791,1.09077891
0.0004,3.42189701,0.94002514
0.00041,3.43194726,1.14103016
0.00042,3.45405781,1.04052765
0.00043,3.42189701,1.14103016
0.00044,3.42189701,1.14103016
0.00045,3.42792716,0.99027639
0.00046,3.42189701,1.14103016
0.00047,3.44400756,1.34203519
0.00048,3.45405781,1.54304022
0.00049,3.45003771,1.34203519
0.0005,3.42993721,1.4425377
0.0005099999999999999,3.43596736,1.34203519
0.0005200000000000001,3.43797741,1.54304022
0.00053,3.4098367,1.54304022
0.00054,3.42591711,1.4425377
0.00055,3.44400756,1.69379399
0.00056,3.42189701,1.74404524
0.00057,3.45003771,1.54304022
0.00058,3.43395731,1.64354273
0.00059,3.42390706,1.59329147
0.0006,3.42993721,1.94505027
0.00061,3.41184675,1.59329147
0.00062,3.42591711,1.74404524
0.00063,3.39978645,2.04555278
0.00064,3.3977764,1.94505027
0.00065,3.42189701,1.94505027
0.00066,3.4017965,2.04555278
0.00067,3.43797741,1.99530153
0.0006799999999999999,3.43797741,1.94505027
0.0006900000000000001,3.41184675,2.1460553
0.0007,3.4058166,2.1460553
0.0007099999999999999,3.4058166,2.29680907
0.00072,3.3897362,2.1460553
0.00073,3.39978645,2.1460553
0.00074,3.42189701,2.24655781
0.00075,3.4178769,2.34706032
0.0007599999999999999,3.4058166,2.34706032
0.0007700000000000001,3.38772615,2.49781409
0.00078,3.4178769,2.44756284
0.00079,3.39576635,2.34706032
0.0008,3.3897362,2.34706032
0.00081,3.39978645,2.54806535
0.00082,3.4058166,2.34706032
0.0008300000000000001,3.41988696,2.59831661
0.00084,3.381696,2.54806535
0.00085,3.38772615,2.74907038
0.00086,3.3977764,2.74907038
0.0008699999999999999,3.4098367,2.74907038
0.00088,3.3897362,2.9500754
0.0008900000000000002,3.39576635,2.89982415
0.0009,3.3897362,2.74907038
0.00091,3.38772615,2.89982415
0.00092,3.3977764,2.74907038
0.00093,3.3897362,2.9500754
0.00094,3.3857161,3.05057792
0.00095,3.3977764,2.9500754
0.00096,3.3897362,2.9500754
0.00097,3.39174625,3.10082917
0.00098,3.3776759,3.05057792
0.00099,3.37164575,3.15108043
0.001,3.4138568,3.15108043
0.00101,3.39174625,3.20133169
0.00102,3.4058166,3.25158294
0.00103,3.4058166,3.15108043
0.00104,3.3977764,3.35208546
0.00105,3.3857161,3.35208546
0.00106,3.3615955,3.25158294
0.00107,3.381696,3.35208546
0.00108,3.3575754,3.35208546
0.00109,3.3897362,3.35208546
0.0011,3.4017965,3.55309048
0.00111,3.3696357000000003,3.40233671
0.00112,3.3736558,3.35208546
0.00113,3.3656156000000004,3.40233671
0.00114,3.3575754,3.55309048
0.00115,3.35958545,3.60334174
0.00116,3.3575754,3.35208546
0.00117,3.3615955,3.55309048
0.00118,3.3495352,3.75409551
0.00119,3.36360555,3.70384425
0.0012,3.3495352,3.75409551
0.00121,3.3897362,3.90484928
0.00122,3.381696,3.75409551
0.00123,3.3776759,3.80434677
0.00124,3.3656156000000004,3.95510054
0.00125,3.38370605,3.95510054
0.00126,3.3696357000000003,3.85459802
0.00127,3.37164575,3.95510054
0.00128,3.3575754,3.75409551
0.00129,3.33948495,3.95510054
0.0013,3.3495352,4.05560305
0.00131,3.3696357000000003,3.95510054
0.00132,3.381696,3.95510054
0.00133,3.3575754,4.15610556
0.00134,3.3776759,4.15610556
0.00135,3.341495,4.15610556
0.00136,3.381696,4.15610556
0.00137,3.3495352,4.35711059
0.0013800000000000002,3.3374749,4.15610556
0.00139,3.3455151,4.20635682
0.0014,3.3736558,4.35711059
0.00141,3.35958545,4.35711059
0.0014199999999999998,3.3696357000000003,4.35711059
0.00143,3.3615955,4.35711059
0.00144,3.341495,4.55811562
0.00145,3.35154525,4.35711059
0.00146,3.3495352,4.35711059
0.00147,3.3455151,4.35711059
0.00148,3.341495,4.35711059
0.00149,3.35556535,4.55811562
0.0015,3.3495352,4.55811562
0.00151,3.3334548,4.55811562
0.00152,3.3334548,4.75912064
0.00153,3.3535553,4.60836687
0.00154,3.3736558,4.55811562
0.00155,3.3495352,4.75912064
0.00156,3.3575754,4.75912064
0.00157,3.34752515,4.70886939
0.00158,3.3495352,4.75912064
0.00159,3.33948495,4.75912064
0.0016,3.3575754,4.75912064
0.00161,3.33144474,4.75912064
0.00162,3.3455151,4.75912064
0.0016300000000000002,3.34350505,4.75912064
0.00164,3.341495,4.96012567
0.00165,3.3575754,4.8093719
0.0016600000000000002,3.3455151,4.85962316
0.0016699999999999998,3.32943469,5.1611307
0.00168,3.3575754,4.96012567
0.00169,3.33948495,4.96012567
0.0017,3.3374749,4.96012567
0.00171,3.33546485,4.96012567
0.00172,3.3495352,4.96012567
0.00173,3.32541459,5.11087944
0.0017399999999999998,3.341495,5.1611307
0.00175,3.35958545,5.01037693
0.00176,3.341495,5.1611307
0.00177,3.35154525,5.31188447
0.00178,3.32943469,5.1611307
0.00179,3.32541459,5.11087944
0.0018,3.3495352,5.36213572
0.00181,3.341495,5.21138195
0.00182,3.32943469,5.26163321
0.00183,3.3495352,5.21138195
0.00184,3.3495352,5.36213572
0.00185,3.3334548,5.21138195
0.00186,3.3374749,5.36213572
0.00187,3.32742464,5.56314075
0.00188,3.341495,5.36213572
0.00189,3.32139449,5.51288949
0.0019,3.32943469,5.56314075
0.00191,3.31737439,5.46263824
0.00192,3.30933419,5.56314075
0.00193,3.32139449,5.71389452
0.00194,3.32943469,5.56314075
0.00195,3.33948495,5.91489955
0.00196,3.3575754,5.56314075
0.00197,3.3495352,5.56314075
0.00198,3.32139449,5.66364326
0.00199,3.31737439,5.56314075
0.002,3.3495352,5.9651508
0.00201,3.31737439,5.61339201
0.00202,3.32943469,5.76414578
0.00203,3.32943469,5.91489955
0.00204,3.31737439,5.76414578
0.00205,3.3374749,5.81439703
0.00206,3.3615955,5.9651508
0.00207,3.32742464,5.91489955
0.0020800000000000003,3.3334548,5.9651508
0.00209,3.35556535,6.01540206
0.0021,3.32139449,6.06565332
0.0021100000000000003,3.31737439,5.9651508
0.00212,3.3334548,5.9651508
0.00213,3.32541459,6.16615583
0.00214,3.32139449,6.06565332
0.00215,3.32139449,6.11590457
0.00216,3.32541459,6.16615583
0.00217,3.3495352,6.11590457
0.00218,3.3334548,6.16615583
0.00219,3.34752515,6.01540206
0.0022,3.3495352,6.16615583
0.00221,3.32340454,6.21640709
0.00222,3.32943469,6.36716086
0.00223,3.31737439,6.36716086
0.00224,3.31737439,6.36716086
0.00225,3.33546485,6.3169096
0.0022600000000000003,3.32139449,6.36716086
0.00227,3.3334548,6.36716086
0.00228,3.3575754,6.56816588
0.00229,3.33144474,6.56816588
0.0023,3.3495352,6.56816588
0.00231,3.32340454,6.71891965
0.00232,3.31737439,6.56816588
0.00233,3.32742464,6.61841714
0.00234,3.31737439,6.56816588
0.00235,3.32742464,6.61841714
0.00236,3.31737439,6.56816588
0.00237,3.32742464,6.56816588
0.00238,3.3575754,6.56816588
0.00239,3.35154525,6.61841714
0.0024,3.341495,6.76917091
