Time,Intensity,Voltage
0.0001,2.87165835,0.23650754
0.00011,2.87969855,0.43751257
0.00012,2.85959805,0.13600503
0.00013000000000000002,2.857588,0.2867588
0.00014,2.85557795,0.33701006
0.00015,2.8495478,0.18625629
0.00016,2.85155785,0.33701006
0.00017,2.84753775,0.53801508
0.00018,2.84753775,0.43751257
0.00019,2.85959805,0.53801508
0.0002,2.87567845,0.53801508
0.00021,2.87165835,0.58826634
0.00022,2.85155785,0.73902011
0.00023,2.8616081,0.73902011
0.00024,2.83547745,0.73902011
0.00025,2.84351765,0.58826634
0.00026000000000000003,2.84351765,0.6385175999999999
0.00027,2.857588,0.88977388
0.00028,2.85155785,0.73902011
0.00029,2.82743724,0.73902011
0.0003,2.84351765,0.83952262
0.00031,2.85557795,0.78927137
0.00032,2.85155785,0.73902011
0.00033,2.85155785,1.04052765
0.00034,2.83547745,0.94002514
0.00035,2.82944729,1.09077891
0.00036,2.83547745,1.14103016
0.00037,2.82341714,0.94002514
0.00038,2.82743724,1.04052765
0.00039,2.8374875,1.09077891
0.0004,2.84351765,0.94002514
0.00041,2.81939704,1.09077891
0.00042,2.83949755,1.04052765
0.00043,2.83547745,1.14103016
0.00044,2.84351765,1.34203519
0.00045,2.84753775,1.19128142
0.00046,2.81939704,1.34203519
0.00047,2.81336689,1.34203519
0.00048,2.80331664,1.34203519
0.00049,2.81135684,1.34203519
0.0005,2.81939704,1.54304022
0.0005099999999999999,2.81738699,1.54304022
0.0005200000000000001,2.82743724,1.34203519
0.00053,2.81537694,1.4425377
0.00054,2.81135684,1.64354273
0.00055,2.82944729,1.64354273
0.00056,2.82743724,1.54304022
0.00057,2.82743724,1.7942965
0.00058,2.81135684,1.64354273
0.00059,2.81135684,1.89479901
0.0006,2.79527644,1.54304022
0.00061,2.81135684,1.89479901
0.00062,2.80733674,1.94505027
0.00063,2.80733674,1.99530153
0.00064,2.82743724,1.94505027
0.00065,2.81939704,1.94505027
0.00066,2.80733674,2.1460553
0.00067,2.80130659,2.1460553
0.0006799999999999999,2.79527644,2.1460553
0.0006900000000000001,2.79326639,2.1460553
0.0007,2.80733674,2.1460553
0.0007099999999999999,2.79125634,2.24655781
0.00072,2.79527644,2.34706032
0.00073,2.79728649,2.54806535
0.00074,2.78723624,2.34706032
0.00075,2.81939704,2.49781409
0.0007599999999999999,2.78723624,2.54806535
0.0007700000000000001,2.78723624,2.34706032
0.00078,2.81135684,2.44756284
0.00079,2.78924629,2.39731158
0.0008,2.77919604,2.54806535
0.00081,2.79125634,2.69881912
0.00082,2.78723624,2.74907038
0.0008300000000000001,2.77919604,2.54806535
0.00084,2.77115584,2.74907038
0.00085,2.76713574,2.74907038
0.00086,2.77919604,2.84957289
0.0008699999999999999,2.77919604,2.74907038
0.00088,2.80331664,2.74907038
0.0008900000000000002,2.78522619,2.79932163
0.0009,2.77115584,2.9500754
0.00091,2.76914579,2.79932163
0.00092,2.78723624,2.9500754
0.00093,2.78120609,3.10082917
0.00094,2.78723624,3.05057792
0.00095,2.76311564,2.9500754
0.00096,2.78723624,2.9500754
0.00097,2.76512569,3.10082917
0.00098,2.76713574,3.15108043
0.00099,2.78321614,3.35208546
0.001,2.76311564,3.15108043
0.00101,2.77517594,3.35208546
0.00102,2.77517594,3.45258797
0.00103,2.77517594,3.50283923
0.00104,2.77115584,3.55309048
0.00105,2.76914579,3.50283923
0.00106,2.75507544,3.653593
0.00107,2.76914579,3.35208546
0.00108,2.75507544,3.55309048
0.00109,2.76914579,3.55309048
0.0011,2.75909554,3.55309048
0.00111,2.76512569,3.60334174
0.00112,2.75507544,3.75409551
0.00113,2.78522619,3.70384425
0.00114,2.77517594,3.85459802
0.00115,2.75507544,3.90484928
0.00116,2.77115584,3.55309048
0.00117,2.75105534,3.80434677
0.00118,2.76311564,3.85459802
0.00119,2.74301513,3.75409551
0.0012,2.76311564,3.75409551
0.00121,2.76512569,3.90484928
0.00122,2.73899503,3.95510054
0.00123,2.76713574,4.15610556
0.00124,2.75507544,3.95510054
0.00125,2.76110559,3.95510054
0.00126,2.74301513,4.15610556
0.00127,2.75306539,3.95510054
0.00128,2.76311564,3.95510054
0.00129,2.73899503,4.10585431
0.0013,2.73899503,3.95510054
0.00131,2.74301513,4.15610556
0.00132,2.75507544,4.15610556
0.00133,2.73296488,4.20635682
0.00134,2.75507544,4.25660808
0.00135,2.74502518,4.35711059
0.00136,2.75507544,4.15610556
0.00137,2.74703524,4.35711059
0.0013800000000000002,2.73497493,4.55811562
0.00139,2.74301513,4.40736185
0.0014,2.73095483,4.35711059
0.00141,2.75105534,4.40736185
0.0014199999999999998,2.73497493,4.65861813
0.00143,2.72894478,4.55811562
0.00144,2.71487443,4.55811562
0.00145,2.72090458,4.55811562
0.00146,2.74703524,4.65861813
0.00147,2.74301513,4.70886939
0.00148,2.74703524,4.55811562
0.00149,2.74100508,4.55811562
0.0015,2.74703524,4.75912064
0.00151,2.72492468,4.60836687
0.00152,2.74703524,4.96012567
0.00153,2.72693473,4.75912064
0.00154,2.72693473,4.85962316
0.00155,2.73899503,4.96012567
0.00156,2.73899503,4.75912064
0.00157,2.73899503,4.96012567
0.00158,2.72693473,4.85962316
0.00159,2.73899503,4.8093719
0.0016,2.72291463,5.1611307
0.00161,2.73095483,5.01037693
0.00162,2.73497493,5.1611307
0.0016300000000000002,2.73899503,5.01037693
0.00164,2.73095483,5.1611307
0.00165,2.71487443,5.31188447
0.0016600000000000002,2.71085433,5.1611307
0.0016699999999999998,2.72894478,5.11087944
0.00168,2.70683423,5.1611307
0.00169,2.72291463,5.1611307
0.0017,2.73095483,5.1611307
0.00171,2.74100508,5.1611307
