Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,1.02169599,0.13600503
9e-05,0.99757538,0.13600503
0.0001,0.97747488,0.33701006
0.00011,0.99556533,0.33701006
0.00012,0.98149498,0.33701006
0.00013000000000000002,0.97144473,0.53801508
0.00014,0.96541458,0.33701006
0.00015,0.98149498,0.48776383
0.00016,0.94933418,0.73902011
0.00017,0.95134423,0.53801508
0.00018,0.97747488,0.6385175999999999
0.00019,0.97747488,0.53801508
0.0002,0.98149498,0.53801508
0.00021,0.94330403,0.68876885
0.00022,0.94129398,0.6385175999999999
0.00023,0.96139448,0.58826634
0.00024,0.93325378,0.73902011
0.00025,0.94933418,0.73902011
0.00026000000000000003,0.94531408,0.73902011
0.00027,0.91717337,0.73902011
0.00028,0.91717337,0.94002514
0.00029,0.94933418,0.73902011
0.0003,0.92119347,0.83952262
0.00031,0.91516332,0.94002514
0.00032,0.92521358,0.73902011
0.00033,0.90712312,0.94002514
0.00034,0.90913317,0.94002514
0.00035,0.90511307,1.29178393
0.00036,0.90913317,0.94002514
0.00037,0.88702262,0.99027639
0.00038,0.88903267,1.04052765
0.00039,0.88903267,0.99027639
0.0004,0.90109297,1.14103016
0.00041,0.90511307,0.99027639
0.00042,0.87295227,1.24153268
0.00043,0.88099247,1.09077891
0.00044,0.89305277,1.14103016
0.00045,0.87697237,1.19128142
0.00046,0.86893217,1.54304022
0.00047,0.85888192,1.39228645
0.00048,0.88501257,1.34203519
0.00049,0.85285177,1.54304022
0.0005,0.85285177,1.54304022
0.0005099999999999999,0.86290202,1.49278896
0.0005200000000000001,0.82873116,1.34203519
0.00053,0.86290202,1.54304022
0.00054,0.86491207,1.64354273
0.00055,0.86692212,1.59329147
0.00056,0.86893217,1.74404524
0.00057,0.84682162,1.74404524
0.00058,0.82873116,1.74404524
0.00059,0.82069096,1.7942965
0.0006,0.82069096,1.74404524
0.00061,0.83878142,1.94505027
0.00062,0.84481157,2.04555278
0.00063,0.82270101,1.94505027
0.00064,0.82873116,2.1460553
0.00065,0.84481157,2.1460553
0.00066,0.82471106,2.1460553
0.00067,0.81265076,2.29680907
0.0006799999999999999,0.79657036,2.1460553
0.0006900000000000001,0.82270101,2.29680907
0.0007,0.81265076,2.24655781
0.0007099999999999999,0.82270101,2.34706032
0.00072,0.81265076,2.54806535
0.00073,0.80059046,2.34706032
0.00074,0.78853016,2.34706032
0.00075,0.78048996,2.54806535
0.0007599999999999999,0.82873116,2.54806535
0.0007700000000000001,0.78853016,2.54806535
0.00078,0.77646986,2.64856786
0.00079,0.78048996,2.54806535
0.0008,0.78048996,2.54806535
0.00081,0.78652011,2.69881912
0.00082,0.76842966,2.64856786
0.0008300000000000001,0.76440956,2.74907038
0.00084,0.78853016,2.54806535
0.00085,0.75636936,2.74907038
0.00086,0.77646986,2.74907038
0.0008699999999999999,0.80461056,2.74907038
0.00088,0.77244976,2.9500754
0.0008900000000000002,0.78652011,3.00032666
0.0009,0.77244976,2.9500754
0.00091,0.77244976,2.9500754
0.00092,0.78048996,3.15108043
0.00093,0.77445981,3.00032666
0.00094,0.75636936,3.15108043
0.00095,0.77244976,2.9500754
0.00096,0.77244976,3.15108043
0.00097,0.74028895,3.15108043
