Time,Intensity,Voltage
0.0001,1.91502516,0.13600503
0.00011,1.90698496,0.2867588
0.00012,1.90296486,0.53801508
0.00013000000000000002,1.91100506,0.33701006
0.00014,1.91100506,0.33701006
0.00015,1.91301511,0.48776383
0.00016,1.89492466,0.53801508
0.00017,1.90296486,0.73902011
0.00018,1.89492466,0.43751257
0.00019,1.90497491,0.53801508
0.0002,1.88688446,0.53801508
0.00021,1.89291461,0.73902011
0.00022,1.90296486,0.53801508
0.00023,1.87683421,0.73902011
0.00024,1.87884426,0.73902011
0.00025,1.90497491,0.58826634
0.00026000000000000003,1.93110556,0.83952262
0.00027,1.93512566,0.73902011
0.00028,1.88688446,0.53801508
0.00029,1.92105531,0.73902011
0.0003,1.90296486,0.83952262
0.00031,1.90899501,0.94002514
0.00032,1.87884426,0.94002514
0.00033,1.90698496,0.78927137
0.00034,1.89894476,0.94002514
0.00035,1.88688446,0.83952262
0.00036,1.87884426,0.94002514
0.00037,1.90497491,0.88977388
0.00038,1.93110556,0.94002514
0.00039,1.92105531,0.99027639
0.0004,1.88688446,1.14103016
0.00041,1.89693471,1.14103016
0.00042,1.88688446,1.24153268
0.00043,1.87884426,1.34203519
0.00044,1.87884426,0.94002514
0.00045,1.90497491,1.14103016
0.00046,1.90698496,1.34203519
0.00047,1.90497491,1.49278896
0.00048,1.90296486,1.54304022
0.00049,1.87884426,1.34203519
0.0005,1.91502516,1.54304022
0.0005099999999999999,1.91100506,1.54304022
0.0005200000000000001,1.88688446,1.54304022
0.00053,1.89894476,1.59329147
0.00054,1.88286436,1.84454776
0.00055,1.91100506,1.54304022
0.00056,1.91100506,1.74404524
0.00057,1.87884426,1.59329147
0.00058,1.89492466,1.74404524
0.00059,1.88085431,1.69379399
0.0006,1.89492466,1.74404524
0.00061,1.88487441,1.7942965
0.00062,1.93110556,1.94505027
0.00063,1.88889451,2.09580404
0.00064,1.89492466,1.94505027
0.00065,1.88889451,1.7942965
0.00066,1.91100506,2.1460553
0.00067,1.90698496,2.1460553
0.0006799999999999999,1.91904526,2.1460553
0.0006900000000000001,1.89291461,2.29680907
0.0007,1.88688446,2.24655781
0.0007099999999999999,1.90899501,2.34706032
0.00072,1.87080406,2.34706032
0.00073,1.91703521,2.34706032
0.00074,1.90698496,2.44756284
0.00075,1.89090456,2.39731158
0.0007599999999999999,1.89492466,2.34706032
0.0007700000000000001,1.88688446,2.49781409
0.00078,1.92306536,2.64856786
0.00079,1.90899501,2.39731158
0.0008,1.91100506,2.54806535
0.00081,1.88688446,2.54806535
0.00082,1.89492466,2.74907038
0.0008300000000000001,1.87281411,2.69881912
0.00084,1.86276386,2.74907038
0.00085,1.90698496,2.74907038
0.00086,1.89090456,2.84957289
0.0008699999999999999,1.87080406,2.89982415
0.00088,1.86276386,2.9500754
0.0008900000000000002,1.86678396,2.89982415
0.0009,1.87884426,2.84957289
0.00091,1.88688446,2.9500754
0.00092,1.88688446,2.9500754
0.00093,1.86276386,3.15108043
0.00094,1.86276386,3.25158294
0.00095,1.84266335,3.15108043
0.00096,1.87884426,2.9500754
0.00097,1.87080406,3.45258797
0.00098,1.85874376,3.25158294
0.00099,1.86879401,3.20133169
0.001,1.83864325,3.35208546
0.00101,1.8406533,3.40233671
0.00102,1.82658295,3.25158294
0.00103,1.82256285,3.35208546
0.00104,1.85472365,3.75409551
0.00105,1.8486935,3.653593
0.00106,1.83060305,3.35208546
0.00107,1.84668345,3.40233671
0.00108,1.83060305,3.55309048
0.00109,1.81452265,3.50283923
0.0011,1.83060305,3.55309048
0.00111,1.81854275,3.60334174
0.00112,1.83060305,3.55309048
0.00113,1.8044724,3.70384425
0.00114,1.81452265,3.75409551
0.00115,1.81050255,3.75409551
0.00116,1.77432165,3.95510054
0.00117,1.7964322,3.95510054
0.00118,1.77834175,3.75409551
0.00119,1.8044724,3.80434677
0.0012,1.79844225,3.95510054
0.00121,1.8205528,3.95510054
0.00122,1.79040205,3.95510054
0.00123,1.76829149,4.10585431
0.00124,1.76628144,4.15610556
0.00125,1.79040205,3.95510054
0.00126,1.77432165,4.05560305
0.00127,1.75422114,4.00535179
0.00128,1.78236185,4.15610556
0.00129,1.76025129,4.10585431
0.0013,1.77030155,4.25660808
0.00131,1.76025129,4.00535179
0.00132,1.77432165,4.15610556
0.00133,1.75623119,4.4576131
0.00134,1.75824124,4.25660808
0.00135,1.74417089,4.30685933
0.00136,1.74216084,4.15610556
0.00137,1.75824124,4.35711059
0.0013800000000000002,1.73814074,4.35711059
0.00139,1.74216084,4.35711059
0.0014,1.75020104,4.35711059
0.00141,1.73010054,4.55811562
0.0014199999999999998,1.70597994,4.65861813
0.00143,1.73010054,4.55811562
0.00144,1.71000004,4.55811562
0.00145,1.73010054,4.70886939
0.00146,1.71000004,4.55811562
0.00147,1.72206034,4.70886939
0.00148,1.71804024,4.96012567
0.00149,1.68185933,4.70886939
0.0015,1.69391964,4.65861813
0.00151,1.69793974,4.90987441
0.00152,1.66979903,4.75912064
0.00153,1.70195984,4.85962316
0.00154,1.67381913,4.85962316
0.00155,1.68788949,4.8093719
0.00156,1.70195984,4.96012567
0.00157,1.66376888,5.06062818
0.00158,1.68185933,4.85962316
0.00159,1.69190959,4.96012567
0.0016,1.65371863,5.1611307
0.00161,1.64768848,5.11087944
0.00162,1.67783923,5.06062818
0.0016300000000000002,1.66778898,4.96012567
0.00164,1.62959803,5.1611307
0.00165,1.63763823,5.11087944
0.0016600000000000002,1.66175883,5.06062818
0.0016699999999999998,1.67180908,5.1611307
0.00168,1.66979903,5.36213572
0.00169,1.66979903,5.1611307
0.0017,1.64165833,5.06062818
0.00171,1.62356788,5.31188447
0.00172,1.66175883,5.1611307
0.00173,1.62356788,5.31188447
0.0017399999999999998,1.62557793,5.1611307
0.00175,1.60748748,5.36213572
0.00176,1.62155783,5.1611307
0.00177,1.60346738,5.36213572
0.00178,1.63763823,5.36213572
0.00179,1.59743723,5.51288949
0.0018,1.62959803,5.36213572
0.00181,1.59140707,5.36213572
0.00182,1.62155783,5.46263824
0.00183,1.60949753,5.56314075
0.00184,1.58939702,5.36213572
0.00185,1.60346738,5.41238698
0.00186,1.60949753,5.76414578
0.00187,1.57532667,5.71389452
0.00188,1.57331662,5.76414578
0.00189,1.59140707,6.01540206
0.0019,1.59743723,5.66364326
0.00191,1.59743723,5.91489955
0.00192,1.54919602,5.76414578
0.00193,1.58135682,5.76414578
0.00194,1.57331662,5.76414578
0.00195,1.56125632,5.76414578
0.00196,1.56527642,5.9651508
0.00197,1.54115582,5.9651508
0.00198,1.54517592,5.86464829
0.00199,1.53713572,5.9651508
0.002,1.55723622,5.9651508
0.00201,1.54517592,6.26665834
0.00202,1.54919602,6.06565332
0.00203,1.55522617,5.9651508
0.00204,1.52507542,6.16615583
0.00205,1.55120607,6.3169096
0.00206,1.50899502,6.06565332
0.00207,1.51301512,6.06565332
0.0020800000000000003,1.54115582,6.16615583
0.00209,1.50899502,6.3169096
0.0021,1.50497491,6.16615583
0.0021100000000000003,1.50296486,6.36716086
0.00212,1.48487441,6.16615583
0.00213,1.52909552,6.21640709
0.00214,1.51703522,6.26665834
0.00215,1.49693471,6.46766337
0.00216,1.47683421,6.36716086
0.00217,1.51301512,6.51791463
0.00218,1.50095481,6.36716086
0.00219,1.49291461,6.51791463
