Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,1.87080406,0.13600503
9e-05,1.90497491,0.13600503
0.0001,1.88688446,0.23650754
0.00011,1.90899501,0.33701006
0.00012,1.86276386,0.33701006
0.00013000000000000002,1.87482416,0.48776383
0.00014,1.90296486,0.33701006
0.00015,1.89492466,0.33701006
0.00016,1.88688446,0.33701006
0.00017,1.89894476,0.53801508
0.00018,1.91100506,0.53801508
0.00019,1.88487441,0.33701006
0.0002,1.87884426,0.53801508
0.00021,1.86276386,0.53801508
0.00022,1.90296486,0.43751257
0.00023,1.87482416,0.53801508
0.00024,1.88688446,0.73902011
0.00025,1.91301511,0.73902011
0.00026000000000000003,1.88688446,0.6385175999999999
0.00027,1.87884426,0.73902011
0.00028,1.89492466,0.73902011
0.00029,1.90899501,0.78927137
0.0003,1.91502516,0.83952262
0.00031,1.91703521,0.88977388
0.00032,1.87080406,0.94002514
0.00033,1.87281411,0.73902011
0.00034,1.86678396,1.04052765
0.00035,1.87080406,1.04052765
0.00036,1.87884426,0.94002514
0.00037,1.90698496,1.09077891
0.00038,1.89894476,0.94002514
0.00039,1.88889451,0.94002514
0.0004,1.88688446,0.94002514
0.00041,1.90698496,1.19128142
0.00042,1.88688446,1.14103016
0.00043,1.86276386,1.29178393
0.00044,1.91100506,1.54304022
0.00045,1.90095481,1.34203519
0.00046,1.86678396,1.24153268
0.00047,1.88487441,1.39228645
0.00048,1.87884426,1.54304022
0.00049,1.89090456,1.39228645
0.0005,1.89492466,1.4425377
0.0005099999999999999,1.86678396,1.49278896
0.0005200000000000001,1.88688446,1.54304022
0.00053,1.86678396,1.54304022
0.00054,1.87884426,1.4425377
0.00055,1.91301511,1.69379399
0.00056,1.86276386,1.54304022
0.00057,1.87884426,1.74404524
0.00058,1.91100506,1.64354273
0.00059,1.89693471,1.7942965
0.0006,1.88688446,1.94505027
0.00061,1.90497491,1.89479901
0.00062,1.87080406,1.94505027
0.00063,1.91100506,1.94505027
0.00064,1.87884426,2.1460553
0.00065,1.85472365,1.94505027
0.00066,1.89894476,2.1460553
0.00067,1.87080406,2.29680907
0.0006799999999999999,1.85472365,2.34706032
0.0006900000000000001,1.89090456,2.1460553
0.0007,1.88688446,2.1460553
0.0007099999999999999,1.89894476,2.29680907
0.00072,1.86276386,2.54806535
0.00073,1.86678396,2.44756284
0.00074,1.88688446,2.34706032
0.00075,1.87884426,2.19630655
0.0007599999999999999,1.87884426,2.34706032
0.0007700000000000001,1.89090456,2.34706032
0.00078,1.88286436,2.54806535
0.00079,1.87482416,2.54806535
0.0008,1.87884426,2.74907038
0.00081,1.88487441,2.69881912
0.00082,1.86276386,2.74907038
0.0008300000000000001,1.87080406,2.74907038
0.00084,1.86276386,2.74907038
0.00085,1.88688446,2.79932163
0.00086,1.86276386,2.84957289
0.0008699999999999999,1.88085431,2.9500754
0.00088,1.86276386,2.9500754
0.0008900000000000002,1.87683421,2.89982415
0.0009,1.86276386,2.9500754
0.00091,1.86879401,2.9500754
0.00092,1.88688446,2.9500754
0.00093,1.8406533,2.9500754
0.00094,1.86678396,3.15108043
0.00095,1.87884426,3.15108043
0.00096,1.86276386,2.9500754
0.00097,1.8406533,3.15108043
0.00098,1.83462315,3.25158294
0.00099,1.8527136,3.45258797
0.001,1.84668345,3.15108043
0.00101,1.80648245,3.3018342000000005
0.00102,1.85472365,3.35208546
0.00103,1.8326131,3.35208546
0.00104,1.83060305,3.35208546
0.00105,1.83060305,3.35208546
0.00106,1.80648245,3.45258797
0.00107,1.82658295,3.55309048
0.00108,1.84668345,3.75409551
0.00109,1.8366332,3.55309048
