Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,0.72723618,0.33701006
9e-05,0.71919598,0.33701006
0.0001,0.72723618,0.43751257
0.00011,0.73728643,0.33701006
0.00012,0.70311558,0.53801508
0.00013000000000000002,0.73125628,0.58826634
0.00014,0.72321608,0.43751257
0.00015,0.70110552,0.68876885
0.00016,0.71919598,0.33701006
0.00017,0.72723618,0.38726131
0.00018,0.70311558,0.53801508
0.00019,0.69708542,0.68876885
0.0002,0.69507537,0.53801508
0.00021,0.73125628,0.58826634
0.00022,0.71517588,0.6385175999999999
0.00023,0.70110552,0.58826634
0.00024,0.73527638,0.73902011
0.00025,0.71316583,0.73902011
0.00026000000000000003,0.69105527,0.73902011
0.00027,0.71115578,0.58826634
0.00028,0.68703517,0.73902011
0.00029,0.69708542,0.78927137
0.0003,0.70713568,0.73902011
0.00031,0.69306532,0.94002514
0.00032,0.74331658,0.94002514
0.00033,0.71316583,0.88977388
0.00034,0.68301507,1.14103016
0.00035,0.69708542,0.99027639
0.00036,0.69507537,0.94002514
0.00037,0.70110552,1.14103016
0.00038,0.69507537,1.14103016
0.00039,0.68502512,1.14103016
0.0004,0.67095477,1.14103016
0.00041,0.67095477,1.29178393
0.00042,0.68703517,1.24153268
0.00043,0.68502512,1.34203519
0.00044,0.68703517,1.34203519
0.00045,0.67497487,1.29178393
0.00046,0.69909547,1.4425377
0.00047,0.68301507,1.34203519
0.00048,0.65487437,1.34203519
0.00049,0.70110552,1.49278896
0.0005,0.69105527,1.54304022
0.0005099999999999999,0.67899497,1.74404524
0.0005200000000000001,0.67899497,1.54304022
0.00053,0.66693467,1.59329147
0.00054,0.69105527,1.84454776
0.00055,0.68703517,1.69379399
0.00056,0.65487437,1.74404524
0.00057,0.69306532,2.09580404
0.00058,0.66291457,1.84454776
0.00059,0.66894472,1.94505027
0.0006,0.66291457,1.94505027
0.00061,0.65688442,1.94505027
0.00062,0.65487437,2.04555278
0.00063,0.68100502,1.94505027
0.00064,0.65487437,2.1460553
0.00065,0.67698492,2.1460553
0.00066,0.69105527,2.24655781
0.00067,0.64884422,2.29680907
0.0006799999999999999,0.67095477,2.1460553
0.0006900000000000001,0.69507537,2.19630655
0.0007,0.66693467,2.34706032
0.0007099999999999999,0.68100502,2.39731158
0.00072,0.66291457,2.34706032
0.00073,0.68703517,2.49781409
0.00074,0.67899497,2.64856786
0.00075,0.68301507,2.54806535
0.0007599999999999999,0.66291457,2.54806535
0.0007700000000000001,0.69507537,2.54806535
0.00078,0.67899497,2.64856786
0.00079,0.70914573,2.54806535
0.0008,0.67095477,2.74907038
0.00081,0.69507537,2.79932163
0.00082,0.69909547,2.84957289
0.0008300000000000001,0.70512563,2.74907038
0.00084,0.69507537,2.9500754
0.00085,0.69105527,2.9500754
0.00086,0.70311558,2.84957289
0.0008699999999999999,0.68904522,2.74907038
0.00088,0.70311558,2.9500754
0.0008900000000000002,0.69507537,3.00032666
0.0009,0.69507537,3.05057792
0.00091,0.69708542,3.10082917
0.00092,0.72723618,2.9500754
0.00093,0.70512563,3.15108043
0.00094,0.70713568,3.05057792
0.00095,0.69708542,3.20133169
0.00096,0.70311558,3.35208546
0.00097,0.69708542,3.20133169
0.00098,0.71919598,3.45258797
0.00099,0.72120603,3.55309048
0.001,0.74331658,3.35208546
0.00101,0.70311558,3.35208546
0.00102,0.71919598,3.35208546
0.00103,0.72522613,3.50283923
0.00104,0.72723618,3.75409551
0.00105,0.72924623,3.35208546
0.00106,0.73125628,3.55309048
0.00107,0.74331658,3.55309048
0.00108,0.72723618,3.35208546
0.00109,0.75135678,3.55309048
0.0011,0.76743718,3.75409551
0.00111,0.74331658,3.75409551
0.00112,0.72723618,3.55309048
0.00113,0.78150753,3.653593
0.00114,0.73527638,3.85459802
0.00115,0.75135678,3.60334174
0.00116,0.74331658,3.95510054
0.00117,0.76140703,3.70384425
0.00118,0.74331658,3.85459802
0.00119,0.78150753,4.00535179
0.0012,0.77547738,3.95510054
0.00121,0.76944723,3.95510054
0.00122,0.76341708,4.05560305
0.00123,0.75336683,4.10585431
0.00124,0.76743718,3.95510054
0.00125,0.75738693,3.95510054
0.00126,0.75939698,3.95510054
0.00127,0.80562814,4.10585431
0.00128,0.76743718,4.15610556
0.00129,0.76341708,4.15610556
0.0013,0.79557789,4.15610556
0.00131,0.78954773,4.20635682
0.00132,0.79959799,4.15610556
0.00133,0.79155779,4.15610556
0.00134,0.78753768,4.4576131
0.00135,0.79758794,4.20635682
0.00136,0.80763819,4.35711059
0.00137,0.78954773,4.50786436
0.0013800000000000002,0.83175879,4.4576131
0.00139,0.78753768,4.55811562
0.0014,0.82371859,4.35711059
0.00141,0.80964824,4.55811562
0.0014199999999999998,0.79155779,4.55811562
0.00143,0.80160804,4.65861813
0.00144,0.82371859,4.55811562
0.00145,0.82572864,4.55811562
0.00146,0.82773869,4.65861813
0.00147,0.82170854,4.60836687
0.00148,0.80763819,4.75912064
0.00149,0.83175879,4.8093719
0.0015,0.84783919,4.85962316
0.00151,0.84783919,4.8093719
0.00152,0.84783919,4.75912064
0.00153,0.84381909,4.96012567
0.00154,0.82371859,4.85962316
0.00155,0.85386934,4.96012567
0.00156,0.83979899,4.75912064
0.00157,0.82371859,4.96012567
0.00158,0.83979899,4.96012567
0.00159,0.83577889,4.96012567
0.0016,0.84783919,5.1611307
0.00161,0.85788944,5.11087944
0.00162,0.87195979,5.06062818
0.0016300000000000002,0.87798995,5.1611307
0.00164,0.86391959,5.1611307
0.00165,0.86190954,5.1611307
0.0016600000000000002,0.87597989,5.26163321
0.0016699999999999998,0.88,5.1611307
0.00168,0.85587939,5.1611307
0.00169,0.87798995,5.31188447
0.0017,0.88,5.26163321
0.00171,0.86793969,5.31188447
0.00172,0.9041206,5.1611307
0.00173,0.88,5.36213572
0.0017399999999999998,0.8840200999999999,5.26163321
0.00175,0.90211055,5.36213572
0.00176,0.86391959,5.36213572
0.00177,0.8880402000000001,5.36213572
