Time,Intensity,Voltage
0.0001,1.75043975,0.33701006
0.00011,1.73837944,0.33701006
0.00012,1.74641965,0.33701006
0.00013000000000000002,1.7403895,0.53801508
0.00014,1.75043975,0.43751257
0.00015,1.73636939,0.38726131
0.00016,1.72229904,0.53801508
0.00017,1.72832919,0.53801508
0.00018,1.74641965,0.43751257
0.00019,1.73636939,0.53801508
0.0002,1.77054025,0.53801508
0.00021,1.73636939,0.53801508
0.00022,1.73837944,0.6385175999999999
0.00023,1.74641965,0.58826634
0.00024,1.73033924,0.94002514
0.00025,1.74239955,0.73902011
0.00026000000000000003,1.73837944,0.73902011
0.00027,1.73033924,0.68876885
0.00028,1.73033924,0.73902011
0.00029,1.75043975,0.88977388
0.0003,1.72631914,1.04052765
0.00031,1.72631914,0.94002514
0.00032,1.73837944,0.94002514
0.00033,1.74239955,0.94002514
0.00034,1.73033924,0.83952262
0.00035,1.72631914,0.94002514
0.00036,1.74641965,0.94002514
0.00037,1.73234929,0.99027639
0.00038,1.73837944,1.04052765
0.00039,1.72229904,0.94002514
0.0004,1.73837944,1.34203519
0.00041,1.72028899,1.14103016
0.00042,1.72229904,1.14103016
0.00043,1.72430909,1.29178393
0.00044,1.71425884,1.34203519
0.00045,1.72832919,1.39228645
0.00046,1.73435934,1.34203519
0.00047,1.73033924,1.54304022
0.00048,1.71425884,1.34203519
0.00049,1.71224879,1.49278896
0.0005,1.71827894,1.64354273
0.0005099999999999999,1.72631914,1.49278896
0.0005200000000000001,1.70621864,1.54304022
0.00053,1.70621864,1.54304022
0.00054,1.70621864,1.54304022
0.00055,1.73033924,1.69379399
0.00056,1.73033924,1.54304022
0.00057,1.73435934,1.69379399
0.00058,1.72229904,1.74404524
0.00059,1.70018849,1.89479901
0.0006,1.72229904,1.74404524
0.00061,1.70621864,1.7942965
0.00062,1.70621864,1.94505027
0.00063,1.70018849,1.7942965
0.00064,1.69013824,2.1460553
0.00065,1.71425884,2.09580404
0.00066,1.73033924,2.04555278
0.00067,1.71425884,2.1460553
0.0006799999999999999,1.71425884,2.34706032
0.0006900000000000001,1.71224879,2.29680907
0.0007,1.71425884,2.34706032
0.0007099999999999999,1.71425884,2.19630655
0.00072,1.69817844,2.34706032
0.00073,1.70219854,2.39731158
0.00074,1.69817844,2.24655781
0.00075,1.69616839,2.34706032
0.0007599999999999999,1.71425884,2.54806535
0.0007700000000000001,1.71023874,2.34706032
0.00078,1.70621864,2.44756284
0.00079,1.71425884,2.54806535
0.0008,1.72229904,2.54806535
0.00081,1.71023874,2.54806535
0.00082,1.71023874,2.54806535
0.0008300000000000001,1.70420859,2.69881912
0.00084,1.70621864,2.74907038
0.00085,1.71425884,2.74907038
0.00086,1.69415834,2.74907038
0.0008699999999999999,1.70420859,2.79932163
0.00088,1.70621864,2.74907038
0.0008900000000000002,1.69013824,2.9500754
0.0009,1.70219854,2.9500754
0.00091,1.70621864,2.9500754
0.00092,1.70621864,2.9500754
0.00093,1.70018849,2.9500754
0.00094,1.68209804,2.9500754
0.00095,1.68410809,2.9500754
0.00096,1.73033924,2.9500754
0.00097,1.69817844,3.10082917
0.00098,1.71023874,3.25158294
0.00099,1.68410809,3.15108043
0.001,1.68209804,2.9500754
0.00101,1.69817844,3.35208546
0.00102,1.67807794,3.15108043
0.00103,1.69415834,3.3018342000000005
0.00104,1.67405784,3.55309048
