Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,3.09445976,0.13600503
9e-05,3.09043966,0.13600503
0.0001,3.08239946,0.13600503
0.00011,3.09646981,0.18625629
0.00012,3.11054016,0.33701006
0.00013000000000000002,3.07033916,0.33701006
0.00014,3.05425876,0.33701006
0.00015,3.11456026,0.48776383
0.00016,3.10249996,0.73902011
0.00017,3.09043966,0.48776383
0.00018,3.07837936,0.43751257
0.00019,3.06028891,0.53801508
0.0002,3.05425876,0.53801508
0.00021,3.09244971,0.53801508
0.00022,3.07033916,0.73902011
0.00023,3.06028891,0.58826634
0.00024,3.09445976,0.53801508
0.00025,3.06028891,0.78927137
0.00026000000000000003,3.10652006,0.73902011
0.00027,3.07033916,0.68876885
0.00028,3.06229896,0.73902011
0.00029,3.08842961,0.88977388
0.0003,3.05023866,0.73902011
0.00031,3.04420851,0.94002514
0.00032,3.05425876,0.73902011
0.00033,3.08440951,0.99027639
0.00034,3.05425876,1.04052765
0.00035,3.05425876,0.94002514
0.00036,3.06229896,1.14103016
0.00037,3.05224871,1.09077891
0.00038,3.06631906,1.04052765
0.00039,3.05425876,1.09077891
0.0004,3.04621856,1.14103016
0.00041,3.04621856,1.29178393
0.00042,3.04621856,1.14103016
0.00043,3.05023866,1.19128142
0.00044,3.08641956,1.34203519
0.00045,3.03013815,1.34203519
0.00046,3.06631906,1.24153268
0.00047,3.05425876,1.34203519
0.00048,3.07837936,1.34203519
0.00049,3.07837936,1.39228645
0.0005,3.05023866,1.4425377
0.0005099999999999999,3.06832911,1.49278896
0.0005200000000000001,3.04621856,1.74404524
0.00053,3.0281281000000004,1.49278896
0.00054,3.01405775,1.74404524
0.00055,3.0321482000000004,1.39228645
0.00056,3.01405775,1.74404524
0.00057,3.0321482000000004,1.69379399
0.00058,3.06229896,1.74404524
0.00059,3.05827886,1.74404524
0.0006,3.07837936,1.74404524
0.00061,3.0281281000000004,2.04555278
0.00062,3.03817835,1.94505027
0.00063,3.06430901,2.09580404
0.00064,3.05425876,1.94505027
0.00065,3.06430901,2.1460553
0.00066,3.06631906,2.1460553
0.00067,3.02209795,2.29680907
0.0006799999999999999,3.04621856,2.1460553
0.0006900000000000001,3.0361683,2.19630655
0.0007,3.01807785,2.1460553
0.0007099999999999999,3.04822861,2.19630655
0.00072,3.05425876,2.54806535
0.00073,3.05626881,2.24655781
0.00074,3.07033916,2.44756284
0.00075,3.0361683,2.39731158
0.0007599999999999999,3.02209795,2.34706032
0.0007700000000000001,3.07234921,2.54806535
0.00078,3.05023866,2.44756284
0.00079,3.03415825,2.44756284
0.0008,3.01405775,2.54806535
0.00081,3.03817835,2.69881912
0.00082,3.05023866,2.54806535
0.0008300000000000001,3.01807785,2.69881912
0.00084,3.00601755,2.9500754
0.00085,2.9999874,2.74907038
0.00086,3.03013815,2.74907038
0.0008699999999999999,2.9959673,2.89982415
0.00088,3.03817835,2.74907038
0.0008900000000000002,3.01405775,2.89982415
0.0009,3.01807785,2.9500754
0.00091,3.00199745,2.9500754
0.00092,3.01405775,2.9500754
0.00093,3.0160678,2.9500754
0.00094,3.03817835,2.9500754
0.00095,2.9999874,3.00032666
0.00096,3.00601755,3.15108043
0.00097,3.00199745,3.15108043
0.00098,3.01807785,3.05057792
0.00099,3.02209795,3.20133169
0.001,2.99797735,3.35208546
0.00101,2.9758668,3.3018342000000005
0.00102,3.03817835,3.35208546
0.00103,3.0200879,3.3018342000000005
0.00104,3.03817835,3.55309048
0.00105,3.00601755,3.35208546
0.00106,3.03415825,3.45258797
0.00107,2.97787685,3.70384425
0.00108,3.04621856,3.35208546
0.00109,2.99395725,3.55309048
0.0011,3.02209795,3.55309048
0.00111,2.98591705,3.60334174
0.00112,2.98189695,3.75409551
0.00113,2.983907,3.75409551
0.00114,2.99395725,3.75409551
0.00115,3.0080276,3.60334174
0.00116,3.04621856,3.95510054
0.00117,2.9798869,3.85459802
0.00118,2.99395725,3.75409551
0.00119,3.02209795,3.90484928
0.0012,3.01405775,4.15610556
0.00121,2.97787685,3.75409551
0.00122,2.98993715,3.95510054
0.00123,2.96983665,4.10585431
0.00124,2.98189695,3.95510054
0.00125,3.00601755,4.00535179
0.00126,3.01003765,4.05560305
0.00127,2.9758668,4.00535179
0.00128,3.03013815,4.15610556
0.00129,2.99797735,4.00535179
0.0013,3.01807785,4.25660808
0.00131,3.0040075,4.10585431
0.00132,3.02209795,4.35711059
0.00133,2.9999874,4.35711059
0.00134,2.98993715,4.15610556
0.00135,2.9798869,4.35711059
0.00136,3.02209795,4.35711059
0.00137,3.0160678,4.30685933
0.0013800000000000002,2.98189695,4.4576131
0.00139,2.9597864,4.20635682
0.0014,3.01405775,4.35711059
0.00141,2.98591705,4.40736185
0.0014199999999999998,2.99797735,4.55811562
0.00143,2.99395725,4.50786436
0.00144,2.95777635,4.35711059
0.00145,2.96983665,4.55811562
0.00146,2.98993715,4.55811562
0.00147,2.99395725,4.50786436
0.00148,3.00601755,4.75912064
0.00149,2.94370599,4.55811562
0.0015,2.96581655,4.55811562
0.00151,2.98591705,4.90987441
0.00152,2.99797735,4.75912064
0.00153,3.0120477,4.8093719
0.00154,2.96983665,4.85962316
0.00155,2.93968589,4.90987441
0.00156,2.95777635,4.75912064
0.00157,2.98591705,4.75912064
0.00158,2.98591705,4.96012567
0.00159,2.9919472000000003,4.96012567
0.0016,2.98189695,4.75912064
0.00161,2.97385675,5.11087944
0.00162,2.97385675,4.96012567
0.0016300000000000002,2.9718467,5.01037693
0.00164,3.01405775,5.1611307
0.00165,2.95777635,5.11087944
0.0016600000000000002,2.96983665,5.06062818
0.0016699999999999998,2.9999874,5.01037693
0.00168,2.95777635,5.1611307
0.00169,2.94169594,5.21138195
0.0017,2.99797735,5.1611307
0.00171,2.98591705,5.21138195
0.00172,2.98993715,5.1611307
0.00173,2.94973614,5.21138195
0.0017399999999999998,2.96179645,5.26163321
0.00175,2.9798869,5.1611307
0.00176,2.94973614,5.36213572
0.00177,2.99395725,5.36213572
0.00178,2.98591705,5.1611307
0.00179,2.9919472000000003,5.41238698
0.0018,2.98993715,5.36213572
0.00181,2.98993715,5.56314075
0.00182,2.97787685,5.46263824
0.00183,2.9758668,5.36213572
0.00184,2.96581655,5.76414578
0.00185,2.9638065,5.41238698
0.00186,2.97787685,5.56314075
0.00187,3.00601755,5.61339201
0.00188,2.98189695,5.76414578
0.00189,3.0080276,5.61339201
0.0019,2.97385675,5.66364326
0.00191,2.94571604,5.71389452
0.00192,3.03013815,5.76414578
0.00193,3.0120477,5.76414578
0.00194,2.94973614,5.76414578
0.00195,2.98591705,5.76414578
0.00196,2.98189695,5.76414578
0.00197,2.9718467,5.81439703
0.00198,3.00601755,5.76414578
0.00199,3.01405775,6.06565332
0.002,2.96581655,5.9651508
0.00201,3.01807785,5.9651508
0.00202,2.98189695,5.9651508
0.00203,3.01405775,6.11590457
0.00204,3.03817835,5.9651508
0.00205,2.98189695,6.06565332
0.00206,2.97385675,6.06565332
0.00207,3.0321482000000004,6.11590457
0.0020800000000000003,2.98189695,6.36716086
0.00209,3.0281281000000004,6.16615583
0.0021,3.03415825,6.16615583
0.0021100000000000003,3.01405775,6.16615583
0.00212,2.99797735,6.16615583
0.00213,3.0160678,6.16615583
0.00214,2.99395725,6.16615583
0.00215,3.0281281000000004,6.36716086
0.00216,3.00601755,6.36716086
0.00217,3.01003765,6.36716086
0.00218,3.01807785,6.46766337
0.00219,3.01405775,6.41741211
0.0022,3.06229896,6.36716086
0.00221,3.03415825,6.56816588
0.00222,3.02209795,6.6686684000000005
0.00223,3.024108,6.61841714
0.00224,3.00601755,6.56816588
0.00225,3.04219845,6.56816588
0.0022600000000000003,3.06631906,6.56816588
0.00227,3.0120477,6.76917091
0.00228,3.00601755,6.76917091
0.00229,3.06430901,6.61841714
0.0023,3.02209795,6.76917091
0.00231,3.01807785,6.91992468
0.00232,3.03013815,6.97017594
0.00233,3.0321482000000004,6.81942217
0.00234,3.03415825,6.97017594
0.00235,3.05224871,6.91992468
0.00236,3.07033916,6.76917091
0.00237,3.06631906,7.12092971
