Time,Intensity,Voltage
0.0001,2.55521357,0.23650754
0.00011,2.53310302,0.43751257
0.00012,2.56325377,0.33701006
0.00013000000000000002,2.55722362,0.2867588
0.00014,2.52305277,0.43751257
0.00015,2.54315327,0.68876885
0.00016,2.54717337,0.53801508
0.00017,2.52506282,0.33701006
0.00018,2.53913317,0.53801508
0.00019,2.54717337,0.48776383
0.0002,2.53109297,0.53801508
0.00021,2.52506282,0.38726131
0.00022,2.54717337,0.53801508
0.00023,2.53913317,0.68876885
0.00024,2.51501257,0.53801508
0.00025,2.52104272,0.73902011
0.00026000000000000003,2.54717337,0.53801508
0.00027,2.52506282,0.73902011
0.00028,2.53109297,0.53801508
0.00029,2.52506282,0.73902011
0.0003,2.51903267,0.6385175999999999
0.00031,2.51501257,0.78927137
0.00032,2.49893216,0.73902011
0.00033,2.51501257,0.78927137
0.00034,2.51099247,0.83952262
0.00035,2.50697237,0.94002514
0.00036,2.49893216,0.94002514
0.00037,2.49089196,0.94002514
0.00038,2.53913317,0.83952262
0.00039,2.51702262,0.94002514
0.0004,2.53913317,1.14103016
0.00041,2.52506282,0.99027639
0.00042,2.49893216,1.14103016
0.00043,2.48687186,1.24153268
0.00044,2.53109297,0.94002514
0.00045,2.51300252,1.34203519
0.00046,2.50697237,1.24153268
0.00047,2.51501257,1.19128142
0.00048,2.51501257,1.34203519
0.00049,2.49893216,1.54304022
0.0005,2.53109297,1.34203519
0.0005099999999999999,2.50295226,1.29178393
0.0005200000000000001,2.53109297,1.54304022
0.00053,2.51903267,1.34203519
0.00054,2.50295226,1.54304022
0.00055,2.51903267,1.69379399
0.00056,2.51501257,1.34203519
0.00057,2.51702262,1.54304022
0.00058,2.51099247,1.64354273
0.00059,2.49893216,1.74404524
0.0006,2.49893216,1.74404524
0.00061,2.49893216,1.74404524
0.00062,2.49089196,1.94505027
0.00063,2.47682161,1.7942965
0.00064,2.49893216,1.94505027
0.00065,2.47481156,1.94505027
0.00066,2.49491206,1.84454776
0.00067,2.48888191,1.99530153
0.0006799999999999999,2.49893216,2.1460553
0.0006900000000000001,2.48888191,2.1460553
0.0007,2.47883166,2.04555278
0.0007099999999999999,2.48687186,2.1460553
0.00072,2.48285176,2.34706032
0.00073,2.46074121,2.1460553
0.00074,2.46677136,2.1460553
0.00075,2.47481156,2.29680907
0.0007599999999999999,2.47481156,2.34706032
0.0007700000000000001,2.46074121,2.19630655
0.00078,2.47481156,2.44756284
0.00079,2.47481156,2.34706032
0.0008,2.46677136,2.54806535
0.00081,2.46677136,2.34706032
0.00082,2.46275126,2.54806535
0.0008300000000000001,2.44868091,2.34706032
0.00084,2.45873116,2.54806535
0.00085,2.46677136,2.69881912
0.00086,2.48285176,2.74907038
0.0008699999999999999,2.47280151,2.74907038
0.00088,2.47481156,2.74907038
0.0008900000000000002,2.46275126,2.89982415
0.0009,2.46275126,2.84957289
0.00091,2.45270101,2.74907038
0.00092,2.48285176,2.9500754
0.00093,2.46476131,2.89982415
0.00094,2.43461056,2.9500754
0.00095,2.46677136,2.9500754
0.00096,2.44265076,3.15108043
0.00097,2.45069096,3.00032666
0.00098,2.47481156,3.05057792
0.00099,2.43461056,3.15108043
0.001,2.45873116,3.35208546
0.00101,2.43863066,3.15108043
0.00102,2.45471106,3.25158294
0.00103,2.43863066,3.35208546
0.00104,2.47481156,3.15108043
0.00105,2.47280151,3.20133169
0.00106,2.43059046,3.25158294
0.00107,2.42657036,3.20133169
0.00108,2.43461056,3.35208546
0.00109,2.43461056,3.35208546
0.0011,2.45873116,3.55309048
0.00111,2.44667086,3.35208546
0.00112,2.42657036,3.35208546
0.00113,2.45471106,3.50283923
0.00114,2.46677136,3.55309048
0.00115,2.47079146,3.55309048
0.00116,2.45069096,3.55309048
0.00117,2.45873116,3.75409551
0.00118,2.45069096,3.75409551
0.00119,2.46476131,3.75409551
0.0012,2.45873116,3.95510054
0.00121,2.42255026,3.70384425
0.00122,2.46275126,3.85459802
0.00123,2.45270101,3.80434677
0.00124,2.45873116,3.95510054
0.00125,2.42858041,3.90484928
0.00126,2.44667086,3.95510054
0.00127,2.44064071,3.95510054
0.00128,2.44265076,3.75409551
0.00129,2.44466081,3.95510054
0.0013,2.41853015,3.95510054
0.00131,2.43260051,4.00535179
0.00132,2.41853015,3.95510054
0.00133,2.44265076,4.15610556
0.00134,2.44667086,4.15610556
0.00135,2.44466081,4.15610556
0.00136,2.41048995,4.35711059
0.00137,2.43863066,4.20635682
0.0013800000000000002,2.44265076,4.25660808
0.00139,2.42255026,4.30685933
0.0014,2.45069096,4.35711059
0.00141,2.44064071,4.15610556
0.0014199999999999998,2.43863066,4.25660808
0.00143,2.42456031,4.35711059
0.00144,2.44265076,4.35711059
0.00145,2.44868091,4.4576131
0.00146,2.43461056,4.25660808
0.00147,2.4165201,4.30685933
0.00148,2.39440955,4.35711059
0.00149,2.4165201,4.35711059
0.0015,2.42255026,4.55811562
0.00151,2.40244975,4.40736185
0.00152,2.44265076,4.55811562
0.00153,2.3964196,4.55811562
0.00154,2.40646985,4.55811562
0.00155,2.4165201,4.60836687
0.00156,2.44265076,4.75912064
0.00157,2.43863066,4.60836687
0.00158,2.40646985,4.55811562
0.00159,2.41853015,4.85962316
0.0016,2.41048995,4.75912064
0.00161,2.41451005,4.8093719
0.00162,2.42255026,4.75912064
0.0016300000000000002,2.42858041,4.75912064
0.00164,2.41048995,4.75912064
0.00165,2.4044598,4.96012567
0.0016600000000000002,2.40244975,4.85962316
0.0016699999999999998,2.42657036,5.01037693
0.00168,2.42657036,4.96012567
0.00169,2.42456031,4.75912064
0.0017,2.39842965,4.96012567
0.00171,2.42054021,4.96012567
0.00172,2.43461056,4.96012567
0.00173,2.42858041,4.96012567
0.0017399999999999998,2.39842965,4.96012567
0.00175,2.42657036,5.01037693
0.00176,2.38636935,5.1611307
0.00177,2.4084799,5.01037693
0.00178,2.41048995,5.1611307
0.00179,2.42054021,5.1611307
0.0018,2.41853015,5.1611307
0.00181,2.44064071,5.21138195
0.00182,2.41853015,5.06062818
0.00183,2.41048995,5.31188447
0.00184,2.42657036,5.1611307
0.00185,2.43662061,5.36213572
0.00186,2.40646985,5.26163321
0.00187,2.41853015,5.36213572
0.00188,2.41048995,5.56314075
0.00189,2.41853015,5.36213572
0.0019,2.39038945,5.36213572
0.00191,2.4165201,5.51288949
0.00192,2.38636935,5.76414578
0.00193,2.4044598,5.36213572
0.00194,2.41048995,5.66364326
0.00195,2.41853015,5.71389452
0.00196,2.42657036,5.76414578
0.00197,2.3964196,5.56314075
0.00198,2.40244975,5.66364326
0.00199,2.3883794,5.71389452
0.002,2.38636935,5.9651508
0.00201,2.41451005,5.71389452
0.00202,2.38636935,5.66364326
0.00203,2.39440955,5.76414578
0.00204,2.41853015,5.76414578
0.00205,2.3964196,5.91489955
0.00206,2.42657036,5.76414578
0.00207,2.43059046,5.9651508
0.0020800000000000003,2.41048995,5.76414578
0.00209,2.41853015,5.91489955
0.0021,2.41048995,5.86464829
0.0021100000000000003,2.41048995,5.9651508
0.00212,2.41048995,5.9651508
0.00213,2.40646985,5.9651508
0.00214,2.39038945,5.9651508
0.00215,2.4125,6.01540206
0.00216,2.38636935,6.16615583
0.00217,2.39440955,5.9651508
0.00218,2.42255026,6.36716086
0.00219,2.42255026,6.21640709
0.0022,2.41853015,6.16615583
0.00221,2.41853015,6.16615583
0.00222,2.39038945,6.06565332
0.00223,2.41048995,6.16615583
0.00224,2.41853015,6.36716086
0.00225,2.3923995,6.36716086
0.0022600000000000003,2.39038945,6.36716086
0.00227,2.38234925,6.36716086
0.00228,2.40244975,6.36716086
0.00229,2.39842965,6.36716086
0.0023,2.40646985,6.46766337
0.00231,2.42054021,6.56816588
0.00232,2.39440955,6.56816588
0.00233,2.3923995,6.56816588
0.00234,2.39440955,6.46766337
0.00235,2.42456031,6.56816588
0.00236,2.41048995,6.56816588
0.00237,2.39440955,6.76917091
0.00238,2.42255026,6.86967342
0.00239,2.43461056,6.76917091
0.0024,2.41853015,6.76917091
0.00241,2.39440955,6.91992468
0.00242,2.42657036,6.86967342
0.00243,2.39842965,6.81942217
0.00244,2.39440955,6.76917091
0.00245,2.4125,6.91992468
0.00246,2.41451005,6.76917091
0.00247,2.3923995,6.97017594
0.00248,2.41048995,6.97017594
0.00249,2.4084799,6.97017594
0.0025,2.42255026,6.86967342
0.00251,2.42858041,6.97017594
0.00252,2.39440955,6.97017594
0.00253,2.4044598,6.97017594
0.00254,2.42657036,7.07067845
0.00255,2.40244975,7.17118096
0.00256,2.43461056,6.97017594
0.00257,2.41048995,7.12092971
0.0025800000000000003,2.40646985,7.17118096
0.00259,2.43260051,7.37218599
0.0026,2.41048995,7.17118096
0.0026100000000000003,2.4004397,7.17118096
0.00262,2.39842965,7.17118096
0.00263,2.44667086,7.32193473
0.00264,2.43461056,7.17118096
0.00265,2.42456031,7.37218599
0.00266,2.43059046,7.37218599
0.00267,2.3964196,7.32193473
0.00268,2.39440955,7.37218599
0.00269,2.41048995,7.37218599
0.0027,2.39842965,7.37218599
0.00271,2.44868091,7.37218599
0.00272,2.44265076,7.57319102
0.00273,2.4165201,7.57319102
0.00274,2.42657036,7.57319102
0.00275,2.4044598,7.62344227
0.0027600000000000003,2.42657036,7.57319102
0.00277,2.43260051,7.42243725
0.00278,2.41048995,7.57319102
0.00279,2.44064071,7.57319102
0.0028,2.39440955,7.57319102
0.00281,2.44466081,7.57319102
0.00282,2.44265076,7.67369353
0.00283,2.40646985,7.57319102
0.00284,2.45069096,7.77419604
0.00285,2.42255026,7.57319102
0.00286,2.44265076,7.67369353
0.00287,2.43059046,7.62344227
0.00288,2.41048995,7.77419604
0.00289,2.42054021,7.8244473
0.0029,2.41853015,7.67369353
0.0029100000000000003,2.42456031,7.87469856
0.00292,2.41853015,7.77419604
0.00293,2.42456031,7.77419604
0.00294,2.44265076,7.57319102
0.00295,2.42657036,7.8244473
0.00296,2.41048995,7.77419604
0.00297,2.44667086,7.92494981
0.00298,2.43863066,7.67369353
0.00299,2.40646985,7.8244473
0.003,2.45873116,7.97520107
0.00301,2.44466081,8.12595484
0.00302,2.43863066,7.87469856
0.00303,2.48285176,7.8244473
0.00304,2.45873116,7.97520107
0.00305,2.46677136,7.97520107
0.00306,2.44667086,7.87469856
0.00307,2.45873116,7.92494981
0.0030800000000000003,2.44265076,7.97520107
0.00309,2.41853015,7.97520107
0.0031,2.42657036,7.87469856
0.0031100000000000004,2.45471106,7.92494981
0.00312,2.42657036,7.97520107
0.00313,2.49089196,7.97520107
0.00314,2.44265076,7.97520107
0.00315,2.44265076,7.97520107
0.00316,2.44265076,7.97520107
0.00317,2.44265076,7.97520107
0.00318,2.45069096,8.07570358
0.00319,2.46275126,8.02545233
0.0032,2.47481156,7.97520107
0.00321,2.46275126,7.97520107
0.00322,2.45069096,8.07570358
0.00323,2.46677136,7.97520107
0.00324,2.45873116,7.97520107
0.00325,2.48084171,8.1762061
0.0032600000000000003,2.43461056,8.07570358
0.0032700000000000003,2.49089196,7.97520107
0.00328,2.48285176,7.97520107
0.00329,2.46878141,8.02545233
0.0033,2.45873116,8.07570358
0.00331,2.47682161,8.12595484
0.0033200000000000005,2.45873116,7.97520107
0.00333,2.47883166,8.22645735
0.00334,2.47883166,8.27670861
0.00335,2.46878141,8.1762061
0.00336,2.44265076,8.1762061
0.00337,2.47280151,8.07570358
0.00338,2.43863066,8.1762061
0.00339,2.48285176,8.22645735
0.0034,2.45873116,8.37721112
0.0034100000000000003,2.45873116,8.12595484
0.0034200000000000003,2.49893216,8.1762061
0.00343,2.47883166,8.1762061
0.00344,2.49893216,8.37721112
0.00345,2.45873116,8.32695987
0.00346,2.47079146,8.27670861
0.0034700000000000004,2.48687186,8.27670861
0.00348,2.49089196,8.1762061
0.00349,2.45471106,8.37721112
0.0035,2.48687186,8.37721112
0.00351,2.45873116,8.22645735
0.00352,2.49089196,8.37721112
0.00353,2.47280151,8.37721112
0.00354,2.47883166,8.27670861
0.00355,2.47883166,8.1762061
0.00356,2.46677136,8.37721112
0.0035700000000000007,2.50898242,8.22645735
0.00358,2.47079146,8.37721112
0.00359,2.47883166,8.37721112
0.0036,2.47481156,8.37721112
0.00361,2.49290201,8.37721112
0.00362,2.48285176,8.27670861
0.00363,2.51099247,8.37721112
0.00364,2.51501257,8.57821615
0.00365,2.51099247,8.37721112
0.00366,2.49491206,8.47771364
0.00367,2.51300252,8.37721112
0.00368,2.51501257,8.37721112
0.00369,2.50697237,8.37721112
0.0037,2.51099247,8.37721112
0.00371,2.51903267,8.42746238
0.00372,2.53109297,8.37721112
0.00373,2.51099247,8.37721112
0.00374,2.50295226,8.37721112
0.00375,2.50295226,8.37721112
0.00376,2.49893216,8.37721112
0.00377,2.52707287,8.22645735
0.00378,2.51501257,8.27670861
0.00379,2.49692211,8.42746238
0.0038,2.52305277,8.37721112
0.00381,2.50094221,8.52796489
0.003820000000000001,2.51501257,8.37721112
0.00383,2.51300252,8.42746238
0.00384,2.53109297,8.37721112
0.00385,2.51300252,8.57821615
0.00386,2.53511307,8.47771364
0.00387,2.54114322,8.37721112
0.00388,2.53913317,8.37721112
0.00389,2.52506282,8.37721112
0.0039,2.51099247,8.47771364
0.00391,2.52506282,8.37721112
0.00392,2.52305277,8.57821615
0.00393,2.51702262,8.37721112
0.00394,2.55119347,8.37721112
0.00395,2.51501257,8.52796489
0.00396,2.54717337,8.37721112
0.00397,2.53913317,8.37721112
0.00398,2.51099247,8.37721112
0.00399,2.53511307,8.37721112
0.004,2.53913317,8.57821615
0.0040100000000000005,2.52707287,8.37721112
0.00402,2.51903267,8.47771364
0.00403,2.52506282,8.52796489
0.00404,2.53109297,8.57821615
0.00405,2.54315327,8.37721112
0.00406,2.55119347,8.37721112
0.004070000000000001,2.53109297,8.52796489
0.004079999999999999,2.53109297,8.37721112
0.00409,2.55923367,8.37721112
0.0041,2.53913317,8.47771364
0.00411,2.55923367,8.37721112
0.00412,2.54717337,8.57821615
0.00413,2.54516332,8.57821615
0.00414,2.54717337,8.47771364
0.00415,2.52506282,8.47771364
0.0041600000000000005,2.54717337,8.37721112
0.00417,2.57531407,8.42746238
0.00418,2.51903267,8.47771364
0.00419,2.55320352,8.22645735
0.0042,2.54717337,8.57821615
0.00421,2.55722362,8.52796489
0.004220000000000001,2.56727387,8.57821615
0.004229999999999999,2.55923367,8.37721112
0.00424,2.54717337,8.57821615
0.00425,2.56325377,8.42746238
0.00426,2.55119347,8.37721112
0.00427,2.56526382,8.37721112
0.00428,2.58737437,8.37721112
0.00429,2.54918342,8.42746238
0.0043,2.54717337,8.37721112
0.0043100000000000005,2.58134422,8.57821615
0.00432,2.53913317,8.37721112
0.00433,2.55320352,8.37721112
0.00434,2.57933417,8.37721112
0.00435,2.56325377,8.22645735
0.00436,2.57933417,8.37721112
0.004370000000000001,2.57330402,8.42746238
0.004379999999999999,2.58737437,8.37721112
0.00439,2.59541458,8.22645735
0.0044,2.57933417,8.37721112
0.00441,2.56325377,8.22645735
0.00442,2.55923367,8.37721112
0.00443,2.54717337,8.37721112
0.00444,2.59541458,8.37721112
0.00445,2.57330402,8.37721112
0.00446,2.57129397,8.27670861
0.00447,2.57330402,8.47771364
0.00448,2.59541458,8.37721112
0.00449,2.59541458,8.57821615
0.0045,2.57129397,8.37721112
0.00451,2.59340452,8.37721112
0.004520000000000001,2.56325377,8.37721112
0.004529999999999999,2.58134422,8.1762061
0.00454,2.58737437,8.37721112
0.00455,2.57531407,8.37721112
0.00456,2.57129397,8.37721112
0.00457,2.59139447,8.37721112
0.00458,2.59541458,8.37721112
0.00459,2.58335427,8.37721112
0.0046,2.56325377,8.37721112
0.00461,2.60345478,8.37721112
0.00462,2.57933417,8.47771364
0.00463,2.60144473,8.37721112
0.00464,2.57129397,8.1762061
0.00465,2.58737437,8.37721112
0.00466,2.57933417,8.37721112
