Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,2.53913317,0.13600503
9e-05,2.56124372,0.2867588
0.0001,2.51903267,0.33701006
0.00011,2.51099247,0.18625629
0.00012,2.52305277,0.33701006
0.00013000000000000002,2.49692211,0.18625629
0.00014,2.49893216,0.53801508
0.00015,2.52908292,0.33701006
0.00016,2.51501257,0.53801508
0.00017,2.49692211,0.33701006
0.00018,2.52707287,0.43751257
0.00019,2.50094221,0.38726131
0.0002,2.49089196,0.53801508
0.00021,2.50094221,0.58826634
0.00022,2.49893216,0.6385175999999999
0.00023,2.52506282,0.53801508
0.00024,2.48285176,0.53801508
0.00025,2.48084171,0.53801508
0.00026000000000000003,2.50295226,0.53801508
0.00027,2.49893216,0.68876885
0.00028,2.52305277,0.73902011
0.00029,2.52104272,0.73902011
0.0003,2.50697237,0.73902011
0.00031,2.49089196,0.73902011
0.00032,2.49893216,0.73902011
0.00033,2.47280151,0.94002514
0.00034,2.49893216,0.73902011
0.00035,2.48486181,0.58826634
0.00036,2.45873116,1.14103016
0.00037,2.50496231,0.88977388
0.00038,2.49893216,0.94002514
0.00039,2.50295226,0.88977388
0.0004,2.50697237,1.14103016
0.00041,2.49893216,1.09077891
0.00042,2.48687186,1.14103016
0.00043,2.49089196,0.99027639
0.00044,2.49893216,1.14103016
0.00045,2.48687186,1.29178393
0.00046,2.49893216,1.24153268
0.00047,2.49290201,1.39228645
0.00048,2.45873116,1.34203519
0.00049,2.46476131,1.34203519
0.0005,2.47079146,1.34203519
0.0005099999999999999,2.45270101,1.39228645
0.0005200000000000001,2.45873116,1.34203519
0.00053,2.45069096,1.34203519
0.00054,2.43461056,1.54304022
0.00055,2.44667086,1.49278896
0.00056,2.46677136,1.74404524
0.00057,2.45270101,1.59329147
0.00058,2.47481156,1.54304022
0.00059,2.44868091,1.69379399
0.0006,2.44265076,1.54304022
0.00061,2.44868091,1.74404524
0.00062,2.48285176,1.64354273
0.00063,2.44667086,1.7942965
0.00064,2.46677136,1.74404524
0.00065,2.45873116,1.89479901
0.00066,2.43461056,1.94505027
0.00067,2.48084171,2.1460553
0.0006799999999999999,2.43461056,2.1460553
0.0006900000000000001,2.46878141,2.1460553
0.0007,2.45471106,2.1460553
0.0007099999999999999,2.47682161,2.1460553
0.00072,2.46677136,2.1460553
0.00073,2.43863066,2.19630655
0.00074,2.45069096,2.1460553
0.00075,2.44667086,2.19630655
0.0007599999999999999,2.45069096,2.54806535
0.0007700000000000001,2.45270101,2.34706032
0.00078,2.45873116,2.24655781
0.00079,2.45873116,2.34706032
0.0008,2.45069096,2.34706032
0.00081,2.42657036,2.39731158
0.00082,2.42255026,2.54806535
0.0008300000000000001,2.43461056,2.59831661
0.00084,2.42657036,2.54806535
0.00085,2.46074121,2.74907038
0.00086,2.43059046,2.64856786
0.0008699999999999999,2.43461056,2.59831661
0.00088,2.46677136,2.74907038
0.0008900000000000002,2.42255026,2.74907038
0.0009,2.43059046,2.84957289
0.00091,2.43059046,2.74907038
0.00092,2.45873116,2.74907038
0.00093,2.41853015,2.9500754
0.00094,2.45873116,2.84957289
0.00095,2.43461056,2.9500754
0.00096,2.44265076,2.9500754
0.00097,2.4125,2.9500754
0.00098,2.44667086,3.15108043
0.00099,2.44064071,3.15108043
0.001,2.45069096,3.15108043
0.00101,2.4165201,3.15108043
0.00102,2.44667086,3.35208546
0.00103,2.4165201,3.3018342000000005
0.00104,2.43461056,3.15108043
0.00105,2.4044598,3.35208546
0.00106,2.42255026,3.55309048
0.00107,2.3964196,3.3018342000000005
0.00108,2.40244975,3.35208546
0.00109,2.40244975,3.50283923
0.0011,2.44265076,3.45258797
0.00111,2.41048995,3.35208546
0.00112,2.38636935,3.55309048
0.00113,2.4125,3.55309048
0.00114,2.41451005,3.55309048
0.00115,2.42456031,3.75409551
0.00116,2.37832915,3.55309048
0.00117,2.3883794,3.60334174
0.00118,2.41451005,3.75409551
0.00119,2.41048995,3.55309048
0.0012,2.41853015,3.75409551
0.00121,2.42456031,3.70384425
0.00122,2.41451005,3.85459802
0.00123,2.37832915,3.75409551
0.00124,2.37832915,3.75409551
0.00125,2.4165201,3.95510054
0.00126,2.42255026,3.95510054
0.00127,2.4084799,3.90484928
0.00128,2.38636935,3.95510054
0.00129,2.39038945,4.00535179
0.0013,2.39842965,4.05560305
0.00131,2.42657036,4.15610556
0.00132,2.39440955,4.35711059
0.00133,2.4004397,4.10585431
0.00134,2.42255026,4.15610556
0.00135,2.41451005,4.10585431
0.00136,2.37832915,4.15610556
0.00137,2.38234925,4.30685933
0.0013800000000000002,2.42657036,4.35711059
0.00139,2.3682789,4.30685933
0.0014,2.37028895,4.15610556
0.00141,2.39440955,4.20635682
0.0014199999999999998,2.38636935,4.35711059
0.00143,2.41853015,4.20635682
0.00144,2.40244975,4.35711059
0.00145,2.3642588,4.4576131
0.00146,2.41048995,4.35711059
0.00147,2.4044598,4.35711059
0.00148,2.41853015,4.35711059
0.00149,2.4044598,4.40736185
0.0015,2.38636935,4.35711059
0.00151,2.37832915,4.40736185
0.00152,2.40244975,4.35711059
0.00153,2.37430905,4.55811562
0.00154,2.37430905,4.55811562
0.00155,2.4044598,4.75912064
0.00156,2.42657036,4.75912064
0.00157,2.3883794,4.60836687
0.00158,2.37028895,4.75912064
0.00159,2.41853015,4.60836687
0.0016,2.39440955,4.75912064
0.00161,2.40244975,4.90987441
0.00162,2.37430905,4.65861813
0.0016300000000000002,2.4044598,4.75912064
0.00164,2.35420855,4.96012567
0.00165,2.3923995,4.90987441
0.0016600000000000002,2.38636935,4.96012567
0.0016699999999999998,2.37430905,4.96012567
0.00168,2.40244975,4.75912064
0.00169,2.36224875,4.90987441
0.0017,2.40646985,4.85962316
0.00171,2.3803392000000003,4.8093719
0.00172,2.36224875,4.96012567
0.00173,2.3682789,5.01037693
0.0017399999999999998,2.36626885,5.06062818
0.00175,2.35822865,5.11087944
0.00176,2.37832915,5.1611307
0.00177,2.3883794,5.01037693
0.00178,2.38636935,5.1611307
0.00179,2.3763191000000004,5.1611307
0.0018,2.38636935,5.1611307
0.00181,2.3722990000000004,5.1611307
0.00182,2.39440955,5.1611307
0.00183,2.3682789,5.36213572
0.00184,2.34616835,5.36213572
0.00185,2.3562186,5.36213572
0.00186,2.37832915,5.46263824
0.00187,2.36626885,5.31188447
0.00188,2.39440955,5.36213572
0.00189,2.3602387,5.36213572
0.0019,2.38234925,5.56314075
0.00191,2.3401382,5.56314075
0.00192,2.36224875,5.76414578
0.00193,2.4004397,5.56314075
0.00194,2.37028895,5.56314075
0.00195,2.35822865,5.51288949
0.00196,2.40244975,5.56314075
0.00197,2.3722990000000004,5.56314075
0.00198,2.37028895,5.76414578
0.00199,2.3883794,5.66364326
0.002,2.35420855,5.76414578
0.00201,2.38234925,5.61339201
0.00202,2.36626885,5.76414578
0.00203,2.3481784,5.76414578
0.00204,2.35420855,5.76414578
0.00205,2.37430905,5.76414578
0.00206,2.39842965,5.76414578
0.00207,2.39038945,5.81439703
0.0020800000000000003,2.40244975,5.76414578
0.00209,2.3763191000000004,5.91489955
0.0021,2.39440955,5.86464829
0.0021100000000000003,2.37028895,6.11590457
0.00212,2.36224875,5.9651508
0.00213,2.3682789,6.16615583
0.00214,2.37430905,5.86464829
0.00215,2.36224875,5.9651508
0.00216,2.37028895,5.9651508
0.00217,2.40244975,6.16615583
0.00218,2.42255026,6.16615583
0.00219,2.3682789,6.26665834
0.0022,2.40244975,6.16615583
0.00221,2.3602387,6.11590457
0.00222,2.38636935,6.36716086
0.00223,2.4004397,6.16615583
0.00224,2.38636935,6.36716086
0.00225,2.37832915,6.16615583
0.0022600000000000003,2.37832915,6.36716086
0.00227,2.3843593,6.51791463
0.00228,2.40244975,6.36716086
0.00229,2.37028895,6.41741211
0.0023,2.37832915,6.46766337
0.00231,2.3763191000000004,6.36716086
0.00232,2.38636935,6.56816588
0.00233,2.3682789,6.56816588
0.00234,2.36224875,6.56816588
0.00235,2.3481784,6.71891965
0.00236,2.37028895,6.76917091
0.00237,2.4004397,6.61841714
0.00238,2.37832915,6.6686684000000005
0.00239,2.39440955,6.76917091
0.0024,2.35420855,6.76917091
0.00241,2.36626885,6.56816588
0.00242,2.38636935,6.6686684000000005
0.00243,2.35822865,6.76917091
0.00244,2.40244975,6.97017594
0.00245,2.4004397,6.71891965
0.00246,2.37832915,6.86967342
0.00247,2.40244975,6.81942217
0.00248,2.37028895,6.76917091
0.00249,2.3562186,6.86967342
0.0025,2.37028895,6.97017594
0.00251,2.4044598,6.97017594
0.00252,2.35420855,6.76917091
0.00253,2.38636935,7.02042719
0.00254,2.37832915,7.07067845
0.00255,2.3722990000000004,6.97017594
0.00256,2.37028895,6.97017594
0.00257,2.40244975,6.97017594
0.0025800000000000003,2.36224875,7.27168348
0.00259,2.3722990000000004,7.02042719
0.0026,2.41048995,7.17118096
0.0026100000000000003,2.39038945,7.12092971
0.00262,2.37832915,7.07067845
0.00263,2.3562186,7.22143222
0.00264,2.36224875,7.37218599
0.00265,2.4044598,7.22143222
0.00266,2.36626885,7.37218599
0.00267,2.3682789,7.37218599
0.00268,2.39440955,7.37218599
0.00269,2.3923995,7.37218599
0.0027,2.39842965,7.37218599
0.00271,2.39038945,7.37218599
0.00272,2.40244975,7.37218599
0.00273,2.3803392000000003,7.37218599
0.00274,2.38234925,7.27168348
