Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,3.55054022,0.13600503
9e-05,3.54652012,0.13600503
0.0001,3.54652012,0.33701006
0.00011,3.55255027,0.18625629
0.00012,3.55054022,0.33701006
0.00013000000000000002,3.53445982,0.33701006
0.00014,3.53445982,0.43751257
0.00015,3.52641962,0.33701006
0.00016,3.54250002,0.13600503
0.00017,3.52440957,0.38726131
0.00018,3.53043972,0.53801508
0.00019,3.52641962,0.38726131
0.0002,3.53445982,0.53801508
0.00021,3.52239952,0.68876885
0.00022,3.52239952,0.6385175999999999
0.00023,3.52641962,0.53801508
0.00024,3.51837942,0.53801508
0.00025,3.52440957,0.53801508
0.00026000000000000003,3.51837942,0.6385175999999999
0.00027,3.51033922,0.83952262
0.00028,3.50229901,0.73902011
0.00029,3.51033922,0.88977388
0.0003,3.50631911,0.6385175999999999
0.00031,3.51636937,0.88977388
0.00032,3.50229901,0.73902011
0.00033,3.50832917,0.94002514
0.00034,3.49827891,0.94002514
0.00035,3.50430906,1.04052765
0.00036,3.50229901,0.94002514
0.00037,3.49023871,0.78927137
0.00038,3.49827891,1.14103016
0.00039,3.48621861,0.99027639
0.0004,3.48621861,1.14103016
0.00041,3.49023871,1.14103016
0.00042,3.48621861,1.24153268
0.00043,3.47616836,1.09077891
0.00044,3.47013821,1.14103016
0.00045,3.48219851,1.34203519
0.00046,3.47817841,1.24153268
0.00047,3.45807791,1.34203519
0.00048,3.47013821,1.34203519
0.00049,3.46209801,1.34203519
0.0005,3.47013821,1.34203519
0.0005099999999999999,3.46410806,1.34203519
0.0005200000000000001,3.47013821,1.54304022
0.00053,3.47415831,1.49278896
0.00054,3.45003771,1.54304022
0.00055,3.45405781,1.54304022
0.00056,3.45405781,1.54304022
0.00057,3.46209801,1.59329147
0.00058,3.45807791,1.74404524
0.00059,3.44400756,1.4425377
0.0006,3.45405781,1.74404524
0.00061,3.45204776,1.84454776
0.00062,3.44601761,1.64354273
0.00063,3.44601761,1.7942965
0.00064,3.42993721,2.1460553
0.00065,3.46008796,1.94505027
0.00066,3.45003771,1.84454776
0.00067,3.43797741,1.99530153
0.0006799999999999999,3.45405781,2.1460553
0.0006900000000000001,3.44400756,2.1460553
0.0007,3.44601761,2.04555278
0.0007099999999999999,3.43395731,2.19630655
0.00072,3.43797741,2.1460553
0.00073,3.42591711,2.1460553
0.00074,3.43395731,2.34706032
0.00075,3.43998746,2.49781409
0.0007599999999999999,3.42993721,2.34706032
0.0007700000000000001,3.4138568,2.39731158
0.00078,3.42993721,2.34706032
0.00079,3.41988696,2.54806535
0.0008,3.42189701,2.34706032
0.00081,3.42792716,2.54806535
0.00082,3.4138568,2.54806535
0.0008300000000000001,3.41184675,2.74907038
0.00084,3.4138568,2.74907038
0.00085,3.4138568,2.74907038
0.00086,3.4098367,2.64856786
0.0008699999999999999,3.4138568,2.89982415
0.00088,3.3897362,2.9500754
0.0008900000000000002,3.40782665,2.74907038
0.0009,3.4017965,2.74907038
0.00091,3.4138568,2.79932163
0.00092,3.381696,2.9500754
0.00093,3.4017965,2.9500754
0.00094,3.3937562999999993,2.9500754
0.00095,3.38370605,3.15108043
0.00096,3.3897362,3.15108043
0.00097,3.39174625,3.15108043
0.00098,3.3897362,3.15108043
0.00099,3.3977764,3.15108043
0.001,3.381696,3.35208546
0.00101,3.37566585,3.15108043
0.00102,3.3897362,3.15108043
0.00103,3.37566585,3.10082917
0.00104,3.381696,3.15108043
0.00105,3.37968595,3.40233671
0.00106,3.3857161,3.45258797
0.00107,3.381696,3.35208546
0.00108,3.3736558,3.35208546
0.00109,3.37968595,3.55309048
0.0011,3.3776759,3.55309048
0.00111,3.35958545,3.40233671
0.00112,3.381696,3.55309048
0.00113,3.37566585,3.55309048
0.00114,3.3615955,3.653593
0.00115,3.35958545,3.55309048
0.00116,3.3736558,3.75409551
0.00117,3.37566585,3.85459802
0.00118,3.3615955,3.85459802
0.00119,3.3656156000000004,3.90484928
0.0012,3.3495352,3.95510054
0.00121,3.3495352,3.95510054
0.00122,3.3575754,3.75409551
0.00123,3.36360555,3.80434677
0.00124,3.3575754,3.95510054
0.00125,3.35556535,3.95510054
0.00126,3.3535553,4.05560305
0.00127,3.3495352,3.80434677
0.00128,3.3575754,3.95510054
0.00129,3.33546485,3.95510054
0.0013,3.3455151,4.15610556
0.00131,3.34350505,4.00535179
0.00132,3.3334548,3.95510054
0.00133,3.3455151,4.15610556
0.00134,3.341495,4.15610556
0.00135,3.34752515,4.15610556
0.00136,3.3575754,4.15610556
0.00137,3.35556535,4.15610556
0.0013800000000000002,3.3575754,4.35711059
0.00139,3.3455151,4.20635682
0.0014,3.3495352,4.35711059
0.00141,3.3495352,4.35711059
0.0014199999999999998,3.3374749,4.35711059
0.00143,3.3374749,4.40736185
0.00144,3.3334548,4.35711059
0.00145,3.3374749,4.35711059
0.00146,3.3374749,4.4576131
0.00147,3.3374749,4.55811562
0.00148,3.3334548,4.55811562
0.00149,3.32541459,4.50786436
0.0015,3.3334548,4.55811562
0.00151,3.3334548,4.55811562
0.00152,3.32541459,4.55811562
0.00153,3.32541459,4.70886939
0.00154,3.31737439,4.75912064
0.00155,3.32340454,4.70886939
0.00156,3.31737439,4.75912064
0.00157,3.31737439,4.75912064
0.00158,3.31737439,4.85962316
0.00159,3.31938444,4.75912064
0.0016,3.32541459,4.75912064
0.00161,3.33144474,4.75912064
0.00162,3.31335429,4.75912064
0.0016300000000000002,3.32340454,4.96012567
0.00164,3.31737439,4.96012567
0.00165,3.32340454,4.75912064
0.0016600000000000002,3.32541459,4.85962316
0.0016699999999999998,3.31737439,4.90987441
0.00168,3.30933419,4.96012567
0.00169,3.31737439,4.96012567
0.0017,3.31737439,4.96012567
0.00171,3.31335429,5.11087944
0.00172,3.31737439,5.1611307
0.00173,3.30933419,4.96012567
0.0017399999999999998,3.31335429,5.1611307
0.00175,3.31536434,5.01037693
0.00176,3.30933419,5.1611307
0.00177,3.30330404,5.1611307
0.00178,3.31737439,4.96012567
0.00179,3.31134424,5.1611307
0.0018,3.31737439,5.1611307
0.00181,3.31134424,5.51288949
0.00182,3.30129399,5.26163321
0.00183,3.30531409,5.36213572
0.00184,3.29325379,5.36213572
0.00185,3.30933419,5.56314075
0.00186,3.30129399,5.36213572
0.00187,3.30933419,5.36213572
0.00188,3.29325379,5.36213572
0.00189,3.31737439,5.41238698
0.0019,3.30129399,5.36213572
0.00191,3.29928394,5.51288949
0.00192,3.30129399,5.76414578
0.00193,3.29928394,5.41238698
0.00194,3.30129399,5.66364326
0.00195,3.29928394,5.56314075
0.00196,3.30933419,5.76414578
0.00197,3.30531409,5.71389452
0.00198,3.29325379,5.76414578
0.00199,3.29124374,5.81439703
0.002,3.30933419,5.9651508
0.00201,3.29928394,5.61339201
0.00202,3.30531409,5.76414578
0.00203,3.29727389,5.76414578
0.00204,3.31737439,5.76414578
0.00205,3.31536434,5.81439703
0.00206,3.30933419,5.9651508
0.00207,3.30531409,5.91489955
0.0020800000000000003,3.31737439,5.76414578
0.00209,3.29325379,5.76414578
0.0021,3.30531409,6.06565332
0.0021100000000000003,3.31134424,5.9651508
0.00212,3.29325379,5.9651508
0.00213,3.30933419,6.11590457
0.00214,3.30129399,5.9651508
0.00215,3.30129399,6.16615583
0.00216,3.30129399,5.9651508
0.00217,3.29727389,5.9651508
0.00218,3.29727389,6.36716086
0.00219,3.31134424,6.01540206
0.0022,3.29325379,6.36716086
0.00221,3.29727389,6.16615583
0.00222,3.30129399,6.56816588
0.00223,3.30933419,6.16615583
0.00224,3.30129399,6.36716086
0.00225,3.28923369,6.36716086
0.0022600000000000003,3.30129399,6.46766337
0.00227,3.30330404,6.41741211
0.00228,3.30129399,6.56816588
0.00229,3.30129399,6.36716086
0.0023,3.30531409,6.46766337
0.00231,3.30129399,6.56816588
0.00232,3.30933419,6.76917091
0.00233,3.30933419,6.56816588
0.00234,3.29325379,6.46766337
0.00235,3.30531409,6.76917091
0.00236,3.30933419,6.56816588
0.00237,3.30531409,6.76917091
0.00238,3.28923369,6.6686684000000005
0.00239,3.29727389,6.6686684000000005
0.0024,3.30129399,6.76917091
0.00241,3.30531409,6.81942217
0.00242,3.30129399,6.86967342
0.00243,3.30933419,6.76917091
0.00244,3.29325379,6.97017594
0.00245,3.29325379,6.81942217
0.00246,3.30933419,6.97017594
0.00247,3.29727389,6.97017594
0.00248,3.30129399,6.97017594
0.00249,3.30732414,7.02042719
0.0025,3.30531409,6.97017594
0.00251,3.30732414,7.02042719
0.00252,3.30933419,6.97017594
0.00253,3.31536434,7.12092971
0.00254,3.29727389,6.97017594
0.00255,3.31335429,7.12092971
0.00256,3.32541459,6.97017594
0.00257,3.30732414,7.17118096
0.0025800000000000003,3.30531409,7.07067845
0.00259,3.32541459,7.12092971
0.0026,3.30129399,7.37218599
0.0026100000000000003,3.30531409,7.37218599
0.00262,3.32139449,7.27168348
0.00263,3.30933419,7.02042719
0.00264,3.31737439,7.57319102
0.00265,3.31938444,7.32193473
0.00266,3.31737439,7.4726884999999985
0.00267,3.32541459,7.4726884999999985
0.00268,3.31737439,7.37218599
0.00269,3.31536434,7.37218599
0.0027,3.31737439,7.37218599
0.00271,3.32742464,7.52293976
0.00272,3.3334548,7.57319102
0.00273,3.3495352,7.42243725
0.00274,3.3374749,7.4726884999999985
0.00275,3.3535553,7.57319102
0.0027600000000000003,3.341495,7.37218599
0.00277,3.32943469,7.57319102
0.00278,3.3334548,7.67369353
0.00279,3.32943469,7.57319102
0.0028,3.32541459,7.57319102
0.00281,3.33546485,7.57319102
0.00282,3.3374749,7.77419604
0.00283,3.32742464,7.67369353
0.00284,3.3334548,7.77419604
0.00285,3.33546485,7.77419604
0.00286,3.3334548,7.67369353
0.00287,3.341495,7.77419604
0.00288,3.3575754,7.97520107
0.00289,3.35154525,7.77419604
0.0029,3.3455151,7.57319102
0.0029100000000000003,3.341495,7.77419604
0.00292,3.341495,7.77419604
0.00293,3.3455151,7.67369353
0.00294,3.3374749,7.87469856
0.00295,3.341495,8.07570358
0.00296,3.3495352,7.97520107
0.00297,3.34350505,7.92494981
0.00298,3.3495352,7.87469856
0.00299,3.34752515,7.8244473
0.003,3.3495352,7.77419604
0.00301,3.3495352,7.97520107
0.00302,3.3495352,7.87469856
0.00303,3.35154525,7.92494981
0.00304,3.3575754,8.1762061
0.00305,3.3656156000000004,7.8244473
0.00306,3.3656156000000004,7.97520107
0.00307,3.3615955,7.97520107
0.0030800000000000003,3.3495352,7.77419604
0.00309,3.3696357000000003,8.02545233
0.0031,3.3575754,8.07570358
0.0031100000000000004,3.3736558,8.02545233
0.00312,3.3656156000000004,7.97520107
0.00313,3.3776759,7.97520107
0.00314,3.3736558,8.07570358
0.00315,3.3776759,8.1762061
0.00316,3.381696,8.1762061
0.00317,3.38772615,8.1762061
0.00318,3.3696357000000003,8.07570358
0.00319,3.37164575,8.12595484
0.0032,3.3897362,8.1762061
0.00321,3.381696,8.1762061
0.00322,3.3857161,8.1762061
0.00323,3.3897362,7.97520107
0.00324,3.381696,8.1762061
0.00325,3.4017965,8.02545233
0.0032600000000000003,3.3897362,8.1762061
0.0032700000000000003,3.3897362,8.22645735
0.00328,3.3977764,8.37721112
0.00329,3.3977764,8.02545233
0.0033,3.3937562999999993,8.37721112
0.00331,3.381696,8.32695987
0.0033200000000000005,3.4058166,8.1762061
0.00333,3.4017965,8.1762061
0.00334,3.3977764,8.1762061
0.00335,3.39978645,8.02545233
0.00336,3.3897362,8.1762061
0.00337,3.39978645,8.37721112
0.00338,3.42591711,8.27670861
0.00339,3.4138568,8.1762061
0.0034,3.42189701,8.37721112
0.0034100000000000003,3.42591711,8.1762061
0.0034200000000000003,3.42189701,8.1762061
0.00343,3.40782665,8.37721112
0.00344,3.42189701,8.37721112
0.00345,3.42993721,8.22645735
0.00346,3.42591711,8.37721112
0.0034700000000000004,3.41586685,8.32695987
0.00348,3.42993721,8.37721112
0.00349,3.42390706,8.32695987
0.0035,3.42591711,8.27670861
0.00351,3.43194726,8.37721112
0.00352,3.42993721,8.37721112
0.00353,3.44400756,8.37721112
0.00354,3.44601761,8.47771364
0.00355,3.44601761,8.37721112
0.00356,3.42993721,8.57821615
0.0035700000000000007,3.43797741,8.37721112
0.00358,3.43395731,8.57821615
0.00359,3.44199751,8.32695987
0.0036,3.43797741,8.57821615
0.00361,3.43194726,8.37721112
0.00362,3.45003771,8.37721112
0.00363,3.46209801,8.42746238
0.00364,3.46209801,8.37721112
0.00365,3.46008796,8.52796489
0.00366,3.45807791,8.57821615
0.00367,3.44802766,8.42746238
0.00368,3.44601761,8.57821615
0.00369,3.45003771,8.52796489
0.0037,3.46209801,8.67871866
0.00371,3.46008796,8.42746238
0.00372,3.46209801,8.37721112
0.00373,3.46209801,8.37721112
0.00374,3.47817841,8.37721112
0.00375,3.49425881,8.42746238
0.00376,3.48621861,8.1762061
0.00377,3.48822866,8.57821615
0.00378,3.47817841,8.47771364
0.00379,3.49224876,8.57821615
0.0038,3.48621861,8.37721112
0.00381,3.48219851,8.37721112
0.003820000000000001,3.47817841,8.47771364
0.00383,3.48420856,8.72896992
0.00384,3.51033922,8.57821615
0.00385,3.50028896,8.42746238
0.00386,3.49827891,8.37721112
0.00387,3.48822866,8.52796489
0.00388,3.48621861,8.57821615
0.00389,3.48822866,8.42746238
0.0039,3.50229901,8.47771364
0.00391,3.50430906,8.57821615
0.00392,3.51837942,8.57821615
0.00393,3.49224876,8.62846741
0.00394,3.52239952,8.57821615
0.00395,3.51435932,8.52796489
0.00396,3.51837942,8.37721112
0.00397,3.52440957,8.57821615
0.00398,3.51435932,8.47771364
0.00399,3.52038947,8.52796489
0.004,3.51033922,8.57821615
0.0040100000000000005,3.51033922,8.57821615
0.00402,3.51435932,8.37721112
0.00403,3.51636937,8.57821615
0.00404,3.52641962,8.57821615
0.00405,3.54853017,8.42746238
0.00406,3.52641962,8.57821615
0.004070000000000001,3.52842967,8.42746238
0.004079999999999999,3.54250002,8.37721112
0.00409,3.53244977,8.52796489
0.0041,3.54250002,8.47771364
0.00411,3.53244977,8.42746238
0.00412,3.54250002,8.57821615
0.00413,3.52842967,8.67871866
0.00414,3.53847992,8.47771364
0.00415,3.53847992,8.42746238
0.0041600000000000005,3.55858042,8.37721112
0.00417,3.56461057,8.57821615
0.00418,3.55054022,8.47771364
0.00419,3.55456032,8.67871866
0.0042,3.55858042,8.37721112
0.00421,3.55657037,8.52796489
0.004220000000000001,3.55858042,8.47771364
0.004229999999999999,3.55858042,8.62846741
0.00424,3.55858042,8.37721112
0.00425,3.57064072,8.42746238
0.00426,3.55858042,8.47771364
0.00427,3.56863067,8.52796489
0.00428,3.55858042,8.37721112
0.00429,3.59878143,8.42746238
0.0043,3.58270102,8.47771364
0.0043100000000000005,3.57064072,8.52796489
0.00432,3.56662062,8.37721112
0.00433,3.57667087,8.37721112
0.00434,3.59476133,8.47771364
0.00435,3.59074122,8.62846741
0.00436,3.57466082,8.37721112
0.004370000000000001,3.57466082,8.37721112
0.004379999999999999,3.58672112,8.37721112
0.00439,3.57868092,8.42746238
0.0044,3.58270102,8.37721112
0.00441,3.60079148,8.42746238
0.00442,3.59878143,8.47771364
0.00443,3.58873117,8.37721112
0.00444,3.59878143,8.57821615
0.00445,3.59677138,8.42746238
0.00446,3.59878143,8.47771364
0.00447,3.59074122,8.37721112
0.00448,3.59878143,8.57821615
0.00449,3.62290203,8.52796489
0.0045,3.61084173,8.57821615
0.00451,3.60280153,8.37721112
0.004520000000000001,3.59878143,8.57821615
0.004529999999999999,3.61486183,8.37721112
0.00454,3.61486183,8.37721112
0.00455,3.61285178,8.42746238
0.00456,3.61486183,8.57821615
0.00457,3.63094223,8.42746238
0.00458,3.63094223,8.37721112
0.00459,3.62089198,8.57821615
0.0046,3.63094223,8.37721112
0.00461,3.62692213,8.52796489
0.00462,3.62692213,8.37721112
0.00463,3.62290203,8.42746238
0.00464,3.64702263,8.57821615
0.00465,3.63295228,8.37721112
0.00466,3.63496233,8.37721112
0.0046700000000000005,3.63898243,8.37721112
0.00468,3.62290203,8.37721112
0.00469,3.63496233,8.52796489
0.0047,3.64702263,8.37721112
0.00471,3.65104273,8.42746238
0.00472,3.64702263,8.37721112
0.00473,3.65506283,8.22645735
0.00474,3.64702263,8.47771364
0.00475,3.67717338,8.22645735
0.00476,3.67114323,8.37721112
0.00477,3.65104273,8.52796489
0.00478,3.65506283,8.47771364
0.00479,3.66511308,8.22645735
0.0048,3.67114323,8.57821615
0.00481,3.67516333,8.22645735
0.0048200000000000005,3.66310303,8.27670861
0.00483,3.67315328,8.22645735
0.00484,3.65506283,8.37721112
0.00485,3.67516333,8.37721112
0.00486,3.67114323,8.37721112
0.00487,3.66310303,8.52796489
0.00488,3.67114323,8.37721112
0.00489,3.67717338,8.1762061
0.0049,3.68320354,8.27670861
0.00491,3.69526384,8.32695987
0.00492,3.67114323,8.1762061
0.00493,3.67516333,8.1762061
0.00494,3.68320354,8.1762061
0.00495,3.67717338,8.22645735
0.00496,3.68722364,8.1762061
0.0049700000000000005,3.68119348,8.37721112
0.00498,3.68320354,8.27670861
0.00499,3.70330404,8.1762061
0.005,3.70330404,8.1762061
0.0050100000000000006,3.69727389,8.12595484
0.00502,3.69124374,8.1762061
0.00503,3.69928394,8.27670861
0.00504,3.70330404,7.97520107
0.00505,3.69727389,8.12595484
0.00506,3.69526384,8.1762061
0.00507,3.70531409,8.1762061
0.00508,3.71938444,7.97520107
0.00509,3.70933419,8.02545233
0.0051,3.71134424,8.1762061
