Time (s),Bulb Response Voltage (V),Source Voltage (V)
8e-05,2.13811564,0.13600503
9e-05,2.11399503,0.33701006
0.0001,2.13811564,0.23650754
0.00011,2.11600508,0.33701006
0.00012,2.10595483,0.33701006
0.00013000000000000002,2.12404529,0.33701006
0.00014,2.08987443,0.33701006
0.00015,2.08987443,0.2867588
0.00016,2.09791463,0.13600503
0.00017,2.08585433,0.33701006
0.00018,2.05771363,0.43751257
0.00019,2.08786438,0.53801508
0.0002,2.08987443,0.53801508
0.00021,2.09188448,0.68876885
0.00022,2.06173373,0.6385175999999999
0.00023,2.05168348,0.68876885
0.00024,2.08987443,0.53801508
0.00025,2.04766338,0.58826634
0.00026000000000000003,2.04967343,0.53801508
0.00027,2.05168348,0.78927137
0.00028,2.05771363,0.53801508
0.00029,2.03962318,0.68876885
0.0003,2.03761313,0.6385175999999999
0.00031,2.02957292,0.78927137
0.00032,2.02555282,0.94002514
0.00033,2.03962318,0.94002514
0.00034,2.02555282,0.73902011
0.00035,2.00746237,0.94002514
0.00036,2.01751262,1.14103016
0.00037,2.00143222,0.99027639
0.00038,2.00143222,1.14103016
0.00039,2.00545232,0.99027639
0.0004,2.00947242,1.14103016
0.00041,2.02555282,1.14103016
0.00042,1.99741212,1.34203519
0.00043,1.99138197,1.29178393
0.00044,2.00947242,1.14103016
0.00045,1.97932167,1.14103016
0.00046,1.96927142,1.34203519
0.00047,1.99339202,1.39228645
0.00048,1.95319102,1.34203519
0.00049,1.95721112,1.49278896
0.0005,1.95721112,1.54304022
0.0005099999999999999,1.96927142,1.39228645
0.0005200000000000001,1.96123122,1.34203519
0.00053,1.95118097,1.54304022
0.00054,1.96525132,1.54304022
0.00055,1.94515081,1.54304022
0.00056,1.95319102,1.74404524
0.00057,1.94917092,1.7942965
0.00058,1.97731162,1.74404524
0.00059,1.93510056,1.7942965
0.0006,1.92907041,1.74404524
0.00061,1.95922117,1.89479901
0.00062,1.93711061,2.04555278
0.00063,1.91902016,1.94505027
0.00064,1.94515081,1.94505027
0.00065,1.92505031,2.19630655
0.00066,1.91701011,2.1460553
0.00067,1.93108046,2.1460553
0.0006799999999999999,1.89690961,2.1460553
0.0006900000000000001,1.89690961,2.1460553
0.0007,1.90494981,2.24655781
0.0007099999999999999,1.90494981,2.29680907
0.00072,1.91299001,2.34706032
0.00073,1.89690961,2.19630655
0.00074,1.88886941,2.1460553
0.00075,1.91299001,2.49781409
0.0007599999999999999,1.90494981,2.54806535
0.0007700000000000001,1.89087946,2.69881912
0.00078,1.90896991,2.34706032
0.00079,1.88484931,2.54806535
0.0008,1.89690961,2.54806535
0.00081,1.90494981,2.74907038
0.00082,1.89288951,2.64856786
0.0008300000000000001,1.87881916,2.69881912
0.00084,1.87278901,2.74907038
0.00085,1.88283926,2.74907038
0.00086,1.8567086,2.84957289
0.0008699999999999999,1.86474881,2.89982415
0.00088,1.86474881,2.74907038
0.0008900000000000002,1.88484931,2.89982415
0.0009,1.88082921,3.05057792
0.00091,1.84665835,2.9500754
0.00092,1.86474881,2.9500754
0.00093,1.87278901,3.00032666
0.00094,1.86072871,3.15108043
0.00095,1.87479906,3.3018342000000005
0.00096,1.8406282,3.15108043
0.00097,1.87680911,3.3018342000000005
0.00098,1.8567086,3.25158294
0.00099,1.86474881,3.20133169
0.001,1.87278901,3.15108043
0.00101,1.8406282,3.3018342000000005
0.00102,1.8526885,3.45258797
0.00103,1.87278901,3.55309048
0.00104,1.8567086,3.35208546
0.00105,1.84665835,3.55309048
0.00106,1.8486684,3.55309048
0.00107,1.8486684,3.55309048
0.00108,1.8245478,3.55309048
0.00109,1.84263825,3.60334174
0.0011,1.832588,3.55309048
0.00111,1.8406282,3.75409551
0.00112,1.832588,3.55309048
0.00113,1.8245478,3.75409551
0.00114,1.8366081000000003,3.95510054
0.00115,1.8446483,3.75409551
0.00116,1.8084674,3.75409551
0.00117,1.8526885,3.75409551
