Label,Base_Name,Lat,Long,Ortho,Yaw_X,Pitch_Y,Roll_Z
1_straight0,high0,32.87504,-117.21855,81.5,357.191,-105.36,-2.713
1_straight1,high1,32.87504,-117.21852,78.9,356.755,-105.445,-2.399
1_straight2,high3,32.87506,-117.21851,77.4,359.943,-104.881,-2.391
1_straight3,high4,32.87506,-117.2185,72.2,357.854,-104.53,-0.847
1_corner0,high5,32.87506,-117.2185,71.8,351.823,-100.857,-0.716
12_corner1,high6,32.87507,-117.21846,69.3,15.266,-103.432,0.722
2_corner2,high7,32.87506,-117.21848,72.6,41.496,-102.063,-1.251
4_corner3,high8,32.87506,-117.21841,68.9,61.912,-105.667,5.051
4_straight0,high9,32.87506,-117.21841,71.9,72.825,-104.623,0.986
4_straight1,high10,32.87505,-117.21842,71.7,66.633,-105.697,1.75
4_straight2,high11,32.87503,-117.21842,78.6,64.34,-105.023,1.88
