Label,Base_Name,Lat,Long,Ortho,Yaw_X,Pitch_Y,Roll_Z,Geocentric_X,Geocentric_Y,Geocentric_Z
1_straight0,high0,32.87504,-117.21855,81.5,357.191,-105.36,-2.713,-2452525.411,-4768300.441,3442352.97
1_straight1,high1,32.87504,-117.21852,78.9,356.755,-105.445,-2.399,-2452521.916,-4768299.783,3442351.559
1_straight2,high3,32.87506,-117.21851,77.4,359.943,-104.881,-2.391,-2452519.956,-4768298.02,3442352.608
1_straight3,high4,32.87506,-117.2185,72.2,357.854,-104.53,-0.847,-2452517.127,-4768294.565,3442349.785
1_corner0,high5,32.87506,-117.2185,71.8,351.823,-100.857,-0.716,-2452516.973,-4768294.266,3442349.568
12_corner1,high6,32.87507,-117.21846,69.3,15.266,-103.432,0.722,-2452512.409,-4768293.576,3442349.142
2_corner2,high7,32.87506,-117.21848,72.6,41.496,-102.063,-1.251,-2452515.616,-4768295.72,3442350.002
4_corner3,high8,32.87506,-117.21841,68.9,61.912,-105.667,5.051,-2452508.369,-4768295.953,3442347.994
4_straight0,high9,32.87506,-117.21841,71.9,72.825,-104.623,0.986,-2452509.522,-4768298.193,3442349.622
4_straight1,high10,32.87505,-117.21842,71.7,66.633,-105.697,1.75,-2452510.552,-4768298.151,3442348.582
4_straight2,high11,32.87503,-117.21842,78.6,64.34,-105.023,1.88,-2452513.754,-4768304.375,3442350.465
