Label,Lat,Long,Ortho,Yaw_X,Pitch_Y,Roll_Z,Geocentric_X,Geocentric_Y,Geocentric_Z
1_straight0,32.87504,-117.21581,81.2,1.88,-101.063,-1.638,,,
1_straight1,32.87503,-117.21581,79.2,4.834,-100.446,-1.074,,,
1_straight2,32.87502,-117.21848,78,355.93,-99.766,0.325,,,
1_corner0,32.87503,-117.21846,77.3,355.015,-97.766,1.486,,,
12_corner1,32.87503,-117.21843,71.4,13.501,-100.441,0.546,,,
2_corner2,32.87505,-117.21845,74.6,20.967,-97.349,4.382,,,
24_corner3,32.87505,-117.21848,75,33.409,-99.929,5.976,,,
4_corner4,32.87505,-117.21842,77.9,72.803,-97.508,3.556,,,
4_straight0,32.87504,-117.21848,78.3,72.152,-95.938,0.893,,,
4_straight1,32.87502,-117.21848,78.6,66.118,-96.837,2.284,,,
