Image_Name,X_geocentric_coord,Y_geocentric_coord,Z_geocentric_coord,ellipsoid_height
1_straight0,-2452297.26884,-4768417.50707,3442352.81529,46.2350266239
1_straight1,-2452296.77595,-4768416.54865,3442350.79824,44.2350097356
1_straight2,-2452518.79168,-4768301.89398,3442349.20756,43.0204872848
1_corner0,-2452516.58304,-4768301.69203,3442349.75909,42.3206125916
12_corner1,-2452511.82002,-4768298.56982,3442346.55661,36.4207757354
2_corner2,-2452514.163,-4768299.03296,3442350.15641,39.6207000655
24_corner3,-2452516.81326,-4768298.04745,3442350.37344,40.0205369115
4_corner4,-2452512.93403,-4768302.78185,3442351.94776,42.9208632157
4_straight0,-2452518.35625,-4768301.0474,3442351.23327,43.3205203692
4_straight1,-2452519.02216,-4768302.3421,3442349.53325,43.6204872848
