Image_Name,X_geocentric_coord,Y_geocentric_coord,Z_geocentric_coord,ellipsoid_height,,,,X,Y,Z
corner0_0,-2452517.98,-4768303.345,3442350.005,44.22490365,,,corner0,-2452517.791,-4768302.977,3442350.031
corner0_1,-2452517.696,-4768302.793,3442350.044,43.72490916,,,corner1,-2452519.301,-4768299.979,3442350.896
corner0_2,-2452517.696,-4768302.793,3442350.044,43.72490916,,,corner2,-2452516.015,-4768301.229,3442349.558
corner1_0,-2452519.692,-4768300.063,3442350.913,42.92475666,,,corner3,-2452514.927,-4768301.91,3442348.94
corner1_1,-2452519.276,-4768299.931,3442350.714,42.55810794,,,corner4,-2452209.74,-4767708.652,3443384.443
corner1_2,-2452518.936,-4768299.943,3442351.061,42.62479806,,,straight0,-2452523.174,-4768301.473,3442355.861
corner2_0,-2452514.839,-4768303.11,3442349.603,42.62506801,,,straight1,-2452515.547,-4768296.178,3442350.225
corner2_1,-2452515.31,-4768302.653,3442349.039,42.15835939,,,straight2,-2452511.871,-4768299.712,3442351.05
corner2_2,-2452517.896,-4768297.922,3442350.033,40.15813692,,,,,,
corner3_0,-2452514.961,-4768301.977,3442348.988,41.49169824,,,,,,
corner3_1,-2452514.91,-4768301.877,3442348.915,41.35836491,,,,,,
corner3_2,-2452514.91,-4768301.877,3442348.915,41.35836491,,,,,,
corner4_0,-2451598.415,-4766518.038,3445453.88,43.49917128,,,,,,
corner4_1,-2452514.115,-4768304.526,3442349.671,43.44113638,,,,,,
corner4_2,-2452516.689,-4768303.391,3442349.779,43.64097324,,,,,,
straight0_0,-2452523.174,-4768301.473,3442355.861,48.0006531,,,,,,
straight0_1,-2452523.174,-4768301.473,3442355.861,48.0006531,,,,,,
straight0_2,-2452523.174,-4768301.473,3442355.861,48.0006531,,,,,,
straight1_0,-2452524.889,-4768297.933,3442347.956,41.72505717,,,,,,
straight1_1,-2452510.875,-4768295.301,3442351.36,36.22415824,,,,,,
straight1_2,-2452510.875,-4768295.301,3442351.36,36.22415824,,,,,,
straight2_0,-2452511.871,-4768299.712,3442351.05,39.73218469,,,,,,
straight2_1,-2452511.871,-4768299.712,3442351.05,39.73218469,,,,,,
straight2_2,-2452511.871,-4768299.712,3442351.05,39.73218469,,,,,,
