Name,Lat_avg,Long_avg,Orthometric_Height_avg
corner0_0,32.87502154,-117.2184652,79.20433333
corner0_1,32.87502487,-117.2184652,78.70433333
corner0_2,32.87502487,-117.2184652,78.70433333
corner1_0,32.87503887,-117.2184975,77.90433333
corner1_1,32.87503887,-117.2184942,77.53766667
corner1_2,32.8750422,-117.2184909,77.60433333
corner2_0,32.87502655,-117.2184365,77.60433333
corner2_1,32.87502321,-117.2184432,77.13766667
corner2_2,32.87504554,-117.2184909,75.13766667
corner3_0,32.87502655,-117.2184432,76.471
corner3_1,32.87502655,-117.2184432,76.33766667
corner3_2,32.87502655,-117.2184432,76.33766667
corner4_0,32.90835585,-117.2184527,78.42033333
corner4_1,32.87502252,-117.2184227,78.42033333
corner4_2,32.87502252,-117.2184527,78.62033333
straight0_0,32.87506241,-117.2185237,82.98033333
straight0_1,32.87506241,-117.2185237,82.98033333
straight0_2,32.87506241,-117.2185237,82.98033333
straight1_0,32.87501411,-117.2185573,76.705
straight1_1,32.87508272,-117.218437,71.20333333
straight1_2,32.87508272,-117.218437,71.20333333
straight2_0,32.87505894,-117.2184249,74.71133333
straight2_1,32.87505894,-117.2184249,74.71133333
straight2_2,32.87505894,-117.2184249,74.71133333
