,Light_Number,Error,Est_Geocentric_X,Est_Geocentric_Y,Est_Geocentric_Z,Lat,Long,EllipsoidHeight
0,1,16.751015,-2452521.163,-4768300.872,3442378.983,32.875245,-117.218508,59.330242
1,2,16.08619029,-2452493.067,-4768304.722,3442389.885,32.875373,-117.218222,57.330967
2,1,16.73849153,-2452520.525,-4768301.227,3442379.204,32.875246,-117.2185,59.470448
3,2,22.93808976,-2452486.69,-4768307.518,3442396.474,32.875425,-117.218147,60.546217
4,2,32.85835822,-2452478.109,-4768311.594,3442403.621,32.875481,-117.218046,64.173408
5,4,26.73181192,-2452474.422,-4768335.755,3442366.161,32.8751,-117.217893,60.46848
6,1,9.131565441,-2452516.387,-4768302.361,3442370.736,32.875186,-117.218455,54.131092
7,1,10.67357457,-2452516.206,-4768302.221,3442373.24,32.875206,-117.218454,55.316614
8,2,95.38184983,-2452436.888,-4768319.004,3442452.152,32.875908,-117.217618,80.217137
9,2,21.70223817,-2452478.204,-4768314.049,3442387.956,32.875351,-117.218035,57.540333
10,2,19.62948926,-2452478.505,-4768311.864,3442386.882,32.875352,-117.218048,55.441241
11,4,18.3008388,-2452481.27,-4768330.713,3442362.41,32.875079,-117.217983,57.296686
12,4,23.38626558,-2452475.656,-4768333.485,3442363.084,32.875084,-117.217916,57.576961
