,Light_Number,Error,Est_Geocentric_X,Est_Geocentric_Y,Est_Geocentric_Z,Lat,Long,EllipsoidHeight
0,1,15.33293215,-2452515.774,-4768301.033,3442379.454,32.87526,-117.218456,57.635904
1,2,16.30670451,-2452487.655,-4768304.884,3442390.381,32.875388,-117.21817,55.642354
2,1,15.54087615,-2452515.091,-4768301.309,3442379.699,32.875262,-117.218448,57.713214
3,2,24.76748531,-2452481.165,-4768307.619,3442397.028,32.875441,-117.218094,58.80043
4,2,35.42864157,-2452472.653,-4768311.606,3442403.986,32.875496,-117.217994,62.285234
5,4,28.04447754,-2452473.267,-4768335.903,3442367.882,32.875115,-117.217881,61.069707
6,1,9.379284584,-2452515.819,-4768301.654,3442372.109,32.875201,-117.218453,54.130451
7,1,11.11953666,-2452515.544,-4768301.355,3442374.62,32.875222,-117.218452,55.164169
8,2,95.91497463,-2452436.689,-4768318.061,3442452.882,32.875919,-117.217621,79.832891
9,2,22.77768286,-2452478.998,-4768314.042,3442390.211,32.875367,-117.218042,59.064623
10,2,20.87359598,-2452479.085,-4768311.821,3442389.249,32.875369,-117.218054,56.91645
11,4,18.65873579,-2452482.059,-4768330.624,3442364.574,32.875094,-117.217991,58.708178
12,4,23.35649694,-2452476.501,-4768333.248,3442365.163,32.875099,-117.217925,58.853179
