,Param_Name,Parameter_Delta_value,Original_Median_Error,New_Median_Error,Percent_Error_Reduced_Med
0,cx_left,0.0,11.293307560994402,11.293307560994402,0.0
1,cx_right,0.0,11.293307560994402,11.293307560994402,0.0
2,cy_left,40.0,11.293307560994402,10.788870001424424,4.4666946051503835
3,cy_right,-75.0,11.293307560994402,11.362837024682227,-0.615669619483054
4,fx_left,0.0,11.293307560994402,11.293307560994402,0.0
5,fx_right,0.0,11.293307560994402,11.293307560994402,0.0
6,fy_left,-50.0,11.293307560994402,10.754124450890536,4.774359568193579
7,fy_right,50.0,11.293307560994402,10.581169343678775,6.305842761028292
8,img1_x,-20.0,33.726124464884826,33.72318130431601,0.008726649194108276
9,img1_y,4.0,11.293307560994402,11.401629088304494,-0.9591656538623006
10,img2_x,0.0,11.293307560994402,11.293307560994402,0.0
11,img2_y,0.0,11.293307560994402,11.293307560994402,0.0
12,omega_x,0.001,11.293307560994402,10.717747346613413,5.096471616241978
13,omega_y,-0.0002,11.293307560994402,10.762021957394817,4.704428713467218
14,omega_z,-0.0008,11.293307560994402,10.761239820107768,4.711354384116177
15,ori_x,0.01953125,11.293307560994402,11.240106956470768,0.47108080813614933
16,ori_y,-0.01171875,11.293307560994402,11.190300790896726,0.9121045321872481
17,ori_z,-0.01171875,11.293307560994402,11.18987691680748,0.9158578532312162
18,t12_x,-0.004,11.293307560994402,10.58175612341889,6.300646942735509
19,t12_y,0.0,11.293307560994402,11.293307560994402,0.0
20,t12_z,-0.006,11.293307560994402,10.752869579351287,4.785471206944862
