,Param_Name,Parameter_Delta_value,Original_Average_Error,New_Average_Error,Percent_Error_Reduced_Avg
0,cx_left,-20.0,25.070401066215613,11.592565239994673,53.75995298449138
1,cx_right,20.0,25.070401066215613,11.601304856548364,53.7250926863629
2,cy_left,-50.0,25.070401066215613,25.070401066215613,0.0
3,cy_right,-60.0,25.070401066215613,22.392455137587476,10.68170358166661
4,fx_left,20.0,25.070401066215613,11.376160828054392,54.623139861193984
5,fx_right,-20.0,25.070401066215613,11.159652580461731,55.48674091416805
6,fy_left,-40.0,25.070401066215613,24.8707526793716,0.7963509890276814
7,fy_right,-30.0,25.070401066215613,24.937314132816027,0.5308528293906356
8,img1_x,16.0,25.070401066215613,11.106703279797772,55.69794336172408
9,img1_y,16.0,25.070401066215613,10.772048160437917,57.03280481238841
10,img2_x,-16.0,25.070401066215613,11.114319904334122,55.66756241761299
11,img2_y,16.0,25.070401066215613,10.768412708530697,57.04730578466094
12,omega_x,0.0004,25.070401066215613,24.983175908956948,0.3479208690291269
13,omega_y,0.001,25.070401066215613,17.193444138541537,31.41934948256137
14,omega_z,0.0006000000000000001,25.070401066215613,22.544699703076063,10.074435412775014
15,ori_x,0.00390625,25.070401066215613,24.991190768995924,0.3159514561034722
16,ori_y,0.01171875,25.070401066215613,24.986342468716657,0.33529019849718944
17,ori_z,-0.0078125,25.070401066215613,24.995750263686965,0.29776469204254596
18,t12_x,0.01,25.070401066215613,21.351730046062695,14.832913962290483
19,t12_y,0.002,25.070401066215613,11.36654759291625,54.66148482070521
20,t12_z,0.01,25.070401066215613,22.67327488152838,9.561578924708769
