,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-50,14.81290791,31.73693598,14.81310279,41.15135727,52.39342214,41.89638612,9.247299686,10.96050337,110.7839803,39.46179396,37.40327352,31.74074952,37.50403118
1,-40,13.36823974,29.27258402,13.26966421,38.42744991,49.3686108,39.18525737,8.145700709,9.738665823,106.6785707,36.85772079,34.82248725,29.39748388,34.90081406
2,-30,11.43645317,25.87423576,11.3603641,34.56755644,45.16702892,35.40820517,6.821023506,8.242471242,100.4607299,33.09453412,31.09099196,26.14092646,31.35683721
3,-20,8.777941137,20.96559038,8.732330025,28.76389974,38.42074609,29.61518628,5.140051997,6.259322201,90.19949854,27.52360185,25.65216329,21.36246124,25.95557938
4,-10,5.213248328,13.4977386,5.194556263,19.2747662,26.69976527,19.88602208,2.938820408,3.581005447,69.07891359,18.41062537,16.83560424,13.83199378,17.19676964
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,8.717612843,30.14823307,8.572757438,57.37984643,115.1682057,64.39438199,4.015030936,5.501185806,1299.229961,55.55800768,44.67798058,33.42505396,48.48780081
7,20,25.75413935,160.4693357,25.07585717,3.22358E+11,345.2201824,1156.974583,10.51665661,14.45432204,237.0620812,10793350706,540.4028528,235.0310249,1065.055869
8,30,73.9882969,360.369149,68.56702836,172.6691804,147.8058007,157.668181,21.78258427,31.73217534,186.282532,165.878112,202.7319106,235.0863967,177.2239888
9,40,1.39259E+11,131.8605929,1118.860023,112.4230346,113.1267534,107.7558515,50.15464507,91.47555066,167.2559351,107.9248377,116.5253623,113.2581999,109.0857131
10,50,138.1050304,98.33677028,155.0173369,94.81545512,100.6561096,92.10701083,166.6537649,24776364288,158.3799769,90.96723348,94.9622621,88.77078804,90.47335895
