,Light_Number,Error,Est_Geocentric_X,Est_Geocentric_Y,Est_Geocentric_Z
0,1,16.751015000608724,-2452521.162857468,-4768300.87185056,3442378.982773959
1,2,16.086190287900816,-2452493.0665040677,-4768304.722444269,3442389.884644313
2,1,16.738491530866785,-2452520.5248013176,-4768301.2271138085,3442379.203801497
3,2,22.938089762946266,-2452486.6897158595,-4768307.518103036,3442396.474050354
4,2,32.85835822378937,-2452478.10910066,-4768311.593783145,3442403.6207204307
5,4,26.73181191567014,-2452474.422161295,-4768335.75461447,3442366.1613437757
6,1,9.131565441155226,-2452516.3872034904,-4768302.360601391,3442370.7358381487
7,1,10.673574573632012,-2452516.2062214464,-4768302.220692746,3442373.240458854
8,2,95.3818498346595,-2452436.8877601707,-4768319.0040244395,3442452.1517686043
9,2,21.702238169924104,-2452478.2037985544,-4768314.048530406,3442387.9564305223
10,2,19.629489261646548,-2452478.5053637866,-4768311.863590138,3442386.8822279316
11,4,18.300838801075145,-2452481.26961835,-4768330.71272727,3442362.4095328497
12,4,23.38626558137607,-2452475.6559344386,-4768333.484894631,3442363.0842398107
