timestamp,Latitude,Lat,Lat_Direction,Longitude,Long,Long_Direction,Altitude,Altitude_Units,Sat_Number,Geo_Separation,Geo_Sep_Units
1721253973983.897,32.881276166666666,3252.876570,N,-117.23452111666667,11714.071267,W,None,,,,
1721253975244.297,0.0,,,0.0,,,120.118,M,8,-35.643,M
1721253976503.652,32.88126451666667,3252.875871,N,-117.2345088,11714.070528,W,120.07,M,8,-35.643,M
1721253977762.753,0.0,,,0.0,,,120.07,M,8,-35.643,M
1721253979021.251,32.8812592,3252.875552,N,-117.2345012,11714.070072,W,120.008,M,8,-35.643,M
1721253980281.035,32.88124653333333,3252.874792,N,-117.23450385,11714.070231,W,119.932,M,8,-35.643,M
1721253981540.858,32.8812382,3252.874292,N,-117.23450816666667,11714.070490,W,119.844,M,8,,
1721253983057.646,32.881227816666666,3252.873669,N,-117.23450861666667,11714.070517,W,119.844,M,8,,
1721253984317.575,32.88121923333333,3252.873154,N,-117.23451031666667,11714.070619,W,119.61,M,6,-35.643,M
1721253985577.1,32.88121923333333,3252.873154,N,-117.23451031666667,11714.070619,W,119.61,M,6,-35.643,M
1721253986837.477,32.88120925,3252.872555,N,-117.2345193,11714.071158,W,119.444,M,6,-35.643,M
1721253988096.52,0.0,,,0.0,,,119.287,M,6,-35.643,M
1721253989355.265,32.881202933333334,3252.872176,N,-117.23451168333334,11714.070701,W,119.1,M,7,-35.643,M
1721253990615.783,32.88120895,3252.872537,N,-117.23449803333334,11714.069882,W,119.034,M,8,-35.643,M
1721253991875.648,32.881210683333336,3252.872641,N,-117.23448096666667,11714.068858,W,118.894,M,8,-35.643,
